,species,gn,mw,genus
0,choleraesuis,aaex,7878.68,salmonella
1,gallinarum,aaex,7877.74,salmonella
2,enteritidis,acpp,8639.54,salmonella
3,paratyphi,acpp,8639.54,salmonella
4,schwarzengrund,acpp,8639.54,salmonella
5,agona,aaex,7878.68,salmonella
6,arizonae,aaex,7846.62,salmonella
7,typhimurium,acpp,8639.54,salmonella
8,heidelberg,aaex,7878.68,salmonella
9,typhimurium,aaex,7878.68,salmonella
10,dublin,aaex,7878.68,salmonella
11,paratyphi,aaex,7878.68,salmonella
12,newport,acpp,8639.54,salmonella
14,typhi,yccx,10328.82,salmonella
15,enteritidis,aaex,7878.68,salmonella
18,typhi,aaex,7878.68,salmonella
20,schwarzengrund,aaex,7878.68,salmonella
21,heidelberg,acpp,8639.54,salmonella
22,typhi,acpp,8639.54,salmonella
23,newport,aaex,7878.68,salmonella
24,agona,acpp,8639.54,salmonella
25,dublin,acpp,8639.54,salmonella
27,arizonae,yccx,10427.82,salmonella
28,choleraesuis,acpp,8639.54,salmonella
29,gallinarum,acpp,8639.54,salmonella
31,paratyphi,yccx,10309.78,salmonella
32,typhimurium,yccx,10328.82,salmonella
33,typhimurium,asr,8470.91,salmonella
34,heidelberg,asr,8676.08,salmonella
35,typhi,asr,8633.05,salmonella
36,dublin,atpe,8256.16,salmonella
37,paratyphi,atpe,8256.16,salmonella
38,arizonae,atpe,8256.16,salmonella
40,choleraesuis,atpe,8256.16,salmonella
41,typhimurium,atpe,8256.16,salmonella
42,typhi,atpe,8256.16,salmonella
43,gallinarum,atpe,8256.16,salmonella
44,heidelberg,atpe,8256.16,salmonella
46,enteritidis,atpe,8256.16,salmonella
47,schwarzengrund,atpe,8256.16,salmonella
49,agona,atpe,8256.16,salmonella
50,newport,atpe,8256.16,salmonella
51,typhi,bfd,7458.81,salmonella
52,typhimurium,bfd,7458.81,salmonella
53,agona,cbpm,11595.1,salmonella
54,heidelberg,cbpm,11595.1,salmonella
55,typhimurium,cbpm,11595.1,salmonella
56,arizonae,cbin,10277.98,salmonella
57,paratyphi,cbin,10268.97,salmonella
58,schwarzengrund,cbin,10268.97,salmonella
59,newport,cbpm,11595.1,salmonella
60,heidelberg,cbin,10268.97,salmonella
61,typhi,cbin,10268.97,salmonella
62,choleraesuis,cbpm,11595.1,salmonella
63,typhi,cbpm,11595.1,salmonella
64,dublin,cbin,10268.97,salmonella
65,gallinarum,cbin,10327.01,salmonella
67,paratyphi,cbpm,11625.13,salmonella
68,dublin,cbpm,11595.1,salmonella
70,agona,cbin,10268.97,salmonella
71,paratyphi,cbpm,11595.1,salmonella
72,enteritidis,gros,10317.91,salmonella
73,heidelberg,ceda,9371.75,salmonella
74,paratyphi,gros,10317.91,salmonella
75,arizonae,ceda,9371.82,salmonella
76,schwarzengrund,cbpm,11595.1,salmonella
77,newport,ceda,9371.75,salmonella
78,paratyphi,ceda,9371.75,salmonella
79,typhimurium,ceda,9470.89,salmonella
80,arizonae,gros,10317.91,salmonella
81,schwarzengrund,gros,10317.91,salmonella
82,typhimurium,gros,10317.91,salmonella
83,choleraesuis,cbin,10268.97,salmonella
84,paratyphi,cbin,10297.02,salmonella
85,typhimurium,cbin,10268.97,salmonella
86,gallinarum,cbpm,11595.1,salmonella
