,species,gn,mw,genus
0,marinus,acpp,8476.42,prochlorococcus
1,marinus,acpp,8657.59,prochlorococcus
2,marinus,acpp,8640.56,prochlorococcus
4,marinus,acpp,8602.47,prochlorococcus
5,marinus,acpp,8634.58,prochlorococcus
7,marinus,acpp,8490.45,prochlorococcus
8,marinus,acpp,8562.51,prochlorococcus
10,marinus,acpp,8700.62,prochlorococcus
11,marinus,atpe,7989.34,prochlorococcus
12,marinus,atpe,8018.34,prochlorococcus
13,marinus,atpe,8046.39,prochlorococcus
23,marinus,ccmk,10557.14,prochlorococcus
24,marinus,ccmk,10584.16,prochlorococcus
25,marinus,gros,10877.32,prochlorococcus
26,marinus,gros,10819.32,prochlorococcus
27,marinus,gros,10831.3,prochlorococcus
28,marinus,gros,10761.29,prochlorococcus
29,marinus,gros,10889.38,prochlorococcus
30,marinus,ccmk,10572.15,prochlorococcus
32,marinus,gros,10789.3,prochlorococcus
33,marinus,gatc,11359.83,prochlorococcus
34,marinus,gatc,10973.33,prochlorococcus
35,marinus,gatc,11220.8,prochlorococcus
36,marinus,gatc,11411.07,prochlorococcus
37,marinus,gatc,10938.5,prochlorococcus
38,marinus,gatc,11396.93,prochlorococcus
39,marinus,gatc,10956.39,prochlorococcus
40,marinus,gatc,11024.55,prochlorococcus
41,marinus,clps,11542.28,prochlorococcus
42,marinus,gros,10731.26,prochlorococcus
45,marinus,gros,10775.31,prochlorococcus
46,marinus,gatc,11478.08,prochlorococcus
47,marinus,gatc,11057.49,prochlorococcus
48,marinus,gatc,11560.25,prochlorococcus
49,marinus,kaib,11957.0,prochlorococcus
50,marinus,kaib,11827.84,prochlorococcus
51,marinus,mine,11779.55,prochlorococcus
52,marinus,mine,11504.18,prochlorococcus
53,marinus,ndho,9117.4,prochlorococcus
54,marinus,ndho,8784.98,prochlorococcus
55,marinus,ndho,9994.31,prochlorococcus
56,marinus,ndhl,9443.49,prochlorococcus
57,marinus,ndhl,8948.75,prochlorococcus
58,marinus,ndho,9151.54,prochlorococcus
59,marinus,ndhl,8899.76,prochlorococcus
60,marinus,ndhl,8969.81,prochlorococcus
61,marinus,ndhl,10068.38,prochlorococcus
62,marinus,ndhl,10194.45,prochlorococcus
63,marinus,ndhl,8974.85,prochlorococcus
65,marinus,ndho,9201.6,prochlorococcus
66,marinus,ndhl,9397.4,prochlorococcus
67,marinus,ndho,9286.74,prochlorococcus
68,marinus,ndho,9218.58,prochlorococcus
69,marinus,ndhl,8937.72,prochlorococcus
70,marinus,ndhl,10079.02,prochlorococcus
71,marinus,ndhl,8993.87,prochlorococcus
72,marinus,ndho,10012.35,prochlorococcus
73,marinus,ndho,9653.9,prochlorococcus
74,marinus,ndho,9077.42,prochlorococcus
75,marinus,ndhl,9141.97,prochlorococcus
76,marinus,ndho,9056.4,prochlorococcus
77,marinus,petg,4275.17,prochlorococcus
78,marinus,petm,3341.11,prochlorococcus
79,marinus,petm,3301.0,prochlorococcus
81,marinus,petn,3580.19,prochlorococcus
82,marinus,petn,3572.21,prochlorococcus
83,marinus,petg,4293.21,prochlorococcus
86,marinus,petg,4392.23,prochlorococcus
87,marinus,petg,4326.2,prochlorococcus
88,marinus,petn,3594.22,prochlorococcus
89,marinus,petg,4301.14,prochlorococcus
90,marinus,petn,3561.19,prochlorococcus
91,marinus,petn,3703.41,prochlorococcus
93,marinus,petm,3432.18,prochlorococcus
95,marinus,petm,3432.22,prochlorococcus
96,marinus,petm,3270.97,prochlorococcus
100,marinus,petn,3657.28,prochlorococcus
109,marinus,petn,3623.26,prochlorococcus
114,marinus,petg,4418.27,prochlorococcus
115,marinus,petg,4406.26,prochlorococcus
118,marinus,psac,8872.33,prochlorococcus
119,marinus,psac,8828.27,prochlorococcus
120,marinus,psae,7688.73,prochlorococcus
121,marinus,psaj,5118.17,prochlorococcus
122,marinus,psaj,5053.12,prochlorococcus
123,marinus,psam,3600.44,prochlorococcus
124,marinus,psbe,9182.52,prochlorococcus
125,marinus,psbe,9001.33,prochlorococcus
126,marinus,psbl,4464.21,prochlorococcus
127,marinus,psbm,3774.55,prochlorococcus
128,marinus,psbn,5218.76,prochlorococcus
129,marinus,psbn,4930.57,prochlorococcus
130,marinus,psae,7563.43,prochlorococcus
131,marinus,psae,7631.53,prochlorococcus
132,marinus,psbi,4795.62,prochlorococcus
133,marinus,psbi,4781.6,prochlorococcus
134,marinus,psbk,5203.31,prochlorococcus
135,marinus,psaj,4830.81,prochlorococcus
136,marinus,psaj,5098.16,prochlorococcus
137,marinus,psbh,6952.33,prochlorococcus
138,marinus,psbh,7059.49,prochlorococcus
139,marinus,psbh,7017.36,prochlorococcus
142,marinus,psbj,6946.06,prochlorococcus
143,marinus,psbj,6889.01,prochlorococcus
145,marinus,psbj,6855.91,prochlorococcus
146,marinus,psbk,5249.38,prochlorococcus
147,marinus,psbk,5312.44,prochlorococcus
148,marinus,psbl,4476.33,prochlorococcus
149,marinus,psbl,4430.19,prochlorococcus
150,marinus,psbm,5389.22,prochlorococcus
151,marinus,psbm,5433.27,prochlorococcus
152,marinus,psbn,5253.02,prochlorococcus
154,marinus,psbt,3512.2,prochlorococcus
155,marinus,psbt,3690.45,prochlorococcus
156,marinus,psby,4710.61,prochlorococcus
157,marinus,psby,4046.02,prochlorococcus
158,marinus,psaj,5147.21,prochlorococcus
159,marinus,psbe,9456.9,prochlorococcus
160,marinus,psbe,9102.48,prochlorococcus
161,marinus,psbe,9426.88,prochlorococcus
162,marinus,psbf,5440.56,prochlorococcus
165,marinus,psbh,6980.39,prochlorococcus
166,marinus,psbh,6696.05,prochlorococcus
167,marinus,psbh,6876.26,prochlorococcus
168,marinus,psbj,7022.11,prochlorococcus
169,marinus,psbk,5298.41,prochlorococcus
170,marinus,psbk,5288.41,prochlorococcus
171,marinus,psbl,4492.33,prochlorococcus
174,marinus,psbm,5461.28,prochlorococcus
176,marinus,psbm,5579.37,prochlorococcus
177,marinus,psbt,3580.29,prochlorococcus
178,marinus,psbx,5577.51,prochlorococcus
179,marinus,psae,7577.46,prochlorococcus
181,marinus,psaj,5133.23,prochlorococcus
182,marinus,psbe,9136.41,prochlorococcus
184,marinus,psbf,5392.43,prochlorococcus
185,marinus,psbi,4382.19,prochlorococcus
186,marinus,psbi,4398.19,prochlorococcus
188,marinus,psbk,5292.34,prochlorococcus
190,marinus,psbm,5417.27,prochlorococcus
191,marinus,psbm,5447.26,prochlorococcus
192,marinus,psae,7648.45,prochlorococcus
195,marinus,psbf,5308.33,prochlorococcus
196,marinus,psbf,5336.39,prochlorococcus
198,marinus,psbx,6460.53,prochlorococcus
199,marinus,psbx,6431.49,prochlorococcus
200,marinus,psby,4621.48,prochlorococcus
201,marinus,psac,8842.3,prochlorococcus
202,marinus,psac,8898.35,prochlorococcus
204,marinus,psae,7660.52,prochlorococcus
206,marinus,psaj,5345.41,prochlorococcus
207,marinus,psam,3583.35,prochlorococcus
209,marinus,psbe,9116.5,prochlorococcus
215,marinus,psbi,4680.49,prochlorococcus
218,marinus,psbj,6894.0,prochlorococcus
219,marinus,psbn,5349.96,prochlorococcus
221,marinus,psbt,3570.28,prochlorococcus
223,marinus,psbx,4221.06,prochlorococcus
226,marinus,psac,8856.33,prochlorococcus
227,marinus,psac,8844.27,prochlorococcus
229,marinus,psai,4080.89,prochlorococcus
236,marinus,psbt,3835.59,prochlorococcus
238,marinus,psbx,6411.5,prochlorococcus
239,marinus,psby,4299.12,prochlorococcus
240,marinus,psby,4359.21,prochlorococcus
241,marinus,psac,8876.3,prochlorococcus
243,marinus,psae,7827.82,prochlorococcus
244,marinus,psae,7605.51,prochlorococcus
246,marinus,psam,3612.49,prochlorococcus
250,marinus,psbf,5263.33,prochlorococcus
251,marinus,psbj,6936.02,prochlorococcus
252,marinus,psbj,6879.97,prochlorococcus
253,marinus,psbk,5215.36,prochlorococcus
255,marinus,psbn,5268.03,prochlorococcus
259,marinus,psbx,5526.51,prochlorococcus
260,marinus,psby,4389.24,prochlorococcus
262,marinus,psbx,6093.21,prochlorococcus
263,marinus,psbx,6598.74,prochlorococcus
265,marinus,psby,4531.44,prochlorococcus
270,marinus,psbj,6922.98,prochlorococcus
271,marinus,psbj,7074.23,prochlorococcus
272,marinus,psbl,4478.15,prochlorococcus
273,marinus,psbl,4462.15,prochlorococcus
274,marinus,psbn,4856.64,prochlorococcus
275,marinus,psbx,6362.43,prochlorococcus
280,marinus,psbi,4724.55,prochlorococcus
281,marinus,psbl,4416.17,prochlorococcus
282,marinus,psbl,4462.28,prochlorococcus
285,marinus,psbm,5365.19,prochlorococcus
286,marinus,psbn,5254.99,prochlorococcus
287,marinus,psbn,5224.97,prochlorococcus
288,marinus,psbx,6642.75,prochlorococcus
290,marinus,psby,4403.27,prochlorococcus
296,marinus,rplw,11704.73,prochlorococcus
297,marinus,rpma,9354.76,prochlorococcus
298,marinus,rpmb,8936.53,prochlorococcus
299,marinus,rpmb,8922.55,prochlorococcus
300,marinus,rpmb,8928.52,prochlorococcus
301,marinus,rpmf,6195.25,prochlorococcus
302,marinus,rpmf,6181.22,prochlorococcus
303,marinus,rpmh,5372.38,prochlorococcus
304,marinus,rpme,10634.85,prochlorococcus
306,marinus,rplw,11251.18,prochlorococcus
307,marinus,rplw,11365.12,prochlorococcus
308,marinus,rpmc,8427.68,prochlorococcus
309,marinus,rpmh,5294.36,prochlorococcus
310,marinus,rplw,11423.15,prochlorococcus
311,marinus,rpma,9344.77,prochlorococcus
312,marinus,rpmc,8066.17,prochlorococcus
313,marinus,rpmc,8436.77,prochlorococcus
314,marinus,rpma,9346.61,prochlorococcus
315,marinus,rpmb,8953.55,prochlorococcus
316,marinus,rpmb,8908.52,prochlorococcus
317,marinus,rpmc,8397.74,prochlorococcus
318,marinus,rpmc,8273.43,prochlorococcus
319,marinus,rpmc,8045.19,prochlorococcus
320,marinus,rpmc,8188.26,prochlorococcus
321,marinus,rpmb,9061.58,prochlorococcus
322,marinus,rpmb,8929.55,prochlorococcus
323,marinus,rpmb,8887.5,prochlorococcus
324,marinus,rpme,9618.86,prochlorococcus
325,marinus,rpme,9701.99,prochlorococcus
326,marinus,rpmf,6389.33,prochlorococcus
327,marinus,rpmf,6383.35,prochlorococcus
329,marinus,rpmg,7577.92,prochlorococcus
330,marinus,rplw,11266.19,prochlorococcus
331,marinus,rplw,11584.5,prochlorococcus
332,marinus,rplw,11349.28,prochlorococcus
333,marinus,rplw,11284.21,prochlorococcus
334,marinus,rplw,11237.15,prochlorococcus
335,marinus,rpma,9328.78,prochlorococcus
