,species,gn,mw,genus
0,glutamicum,leul,2535.0,corynebacterium
1,glutamicum,rpmj,4694.63,corynebacterium
2,glutamicum,rpmh,5502.58,corynebacterium
3,glutamicum,rpmg,6463.51,corynebacterium
4,glutamicum,tata,6585.77,corynebacterium
5,glutamicum,rpmf,6619.81,corynebacterium
7,glutamicum,pup,6830.28,corynebacterium
8,glutamicum,rpmd,6863.21,corynebacterium
10,glutamicum,rpmi,7254.61,corynebacterium
11,glutamicum,secg,8097.8,corynebacterium
12,glutamicum,infa,8374.8,corynebacterium
13,glutamicum,mrx1,8716.7,corynebacterium
14,glutamicum,purs,8744.06,corynebacterium
15,glutamicum,rpmc,8765.02,corynebacterium
16,glutamicum,rpmb,8831.17,corynebacterium
17,glutamicum,xseb,8961.99,corynebacterium
18,glutamicum,rpma,9440.6,corynebacterium
19,glutamicum,rpst,9552.98,corynebacterium
20,glutamicum,whib,9585.99,corynebacterium
21,glutamicum,rpsr,9755.37,corynebacterium
22,glutamicum,hise,9822.15,corynebacterium
24,glutamicum,crga,9950.01,corynebacterium
26,glutamicum,rpme,10009.27,corynebacterium
27,glutamicum,crcb,10289.28,corynebacterium
28,glutamicum,rpso,10309.86,corynebacterium
30,glutamicum,acpp,10366.38,corynebacterium
31,glutamicum,rpss,10460.1,corynebacterium
32,glutamicum,rpoz,10520.95,corynebacterium
33,glutamicum,rpsq,10580.19,corynebacterium
35,glutamicum,gatc,10635.94,corynebacterium
36,glutamicum,acyp,10663.01,corynebacterium
38,glutamicum,gros,10769.36,corynebacterium
39,glutamicum,rplu,10858.76,corynebacterium
40,glutamicum,rpsf,10958.8,corynebacterium
41,glutamicum,clps,10979.62,corynebacterium
42,glutamicum,rplw,11087.73,corynebacterium
45,glutamicum,whib,11177.74,corynebacterium
46,glutamicum,rplx,11188.87,corynebacterium
47,glutamicum,urea,11244.99,corynebacterium
49,glutamicum,rpsj,11470.36,corynebacterium
50,glutamicum,sece,11532.2,corynebacterium
52,glutamicum,rpsn,11732.39,corynebacterium
53,glutamicum,crcb,11819.14,corynebacterium
56,diphtheriae,rpmj,4694.68,corynebacterium
57,diphtheriae,rpmh,5505.54,corynebacterium
58,diphtheriae,rpmg,6460.48,corynebacterium
59,diphtheriae,rpmf,6553.68,corynebacterium
60,diphtheriae,pup,6660.99,corynebacterium
61,diphtheriae,rpmd,6661.86,corynebacterium
63,diphtheriae,rpmi,7318.68,corynebacterium
65,diphtheriae,infa,8388.83,corynebacterium
66,diphtheriae,rpmc,8677.86,corynebacterium
67,diphtheriae,rpmb,8836.19,corynebacterium
68,diphtheriae,whce,9468.74,corynebacterium
69,diphtheriae,xseb,9478.5,corynebacterium
70,diphtheriae,rpma,9507.69,corynebacterium
72,diphtheriae,rpst,9599.16,corynebacterium
73,diphtheriae,rpsr,9616.28,corynebacterium
