,species,gn,mw,genus
1,novicida,cca,9527.07,francisella
2,tularensis,gros,10244.88,francisella
4,tularensis,gros,10271.91,francisella
5,philomiragia,gros,10247.75,francisella
9,tularensis,ftsb,11141.98,francisella
12,tularensis,crcb,11911.35,francisella
21,tularensis,infa,8253.79,francisella
24,tularensis,infa,8281.84,francisella
25,tularensis,infa,8234.74,francisella
28,tularensis,mine,10183.75,francisella
33,tularensis,nuok,11476.03,francisella
34,philomiragia,nuok,11449.95,francisella
37,philomiragia,mine,10180.75,francisella
45,tularensis,rplu,11561.66,francisella
46,tularensis,rplu,11619.7,francisella
47,tularensis,rplw,11135.84,francisella
48,philomiragia,rplx,11448.3,francisella
49,tularensis,rplx,11476.35,francisella
50,philomiragia,rply,10804.5,francisella
51,tularensis,rply,10903.67,francisella
52,tularensis,rpmb,8939.46,francisella
54,tularensis,rpmf,6860.7,francisella
55,tularensis,rpmg,6141.4,francisella
57,tularensis,rpmi,7339.78,francisella
58,philomiragia,rplu,11666.75,francisella
61,tularensis,rply,10845.63,francisella
62,tularensis,rpma,9035.39,francisella
64,tularensis,rpmc,7801.22,francisella
65,tularensis,rpmf,6878.74,francisella
69,tularensis,rpma,9069.41,francisella
75,philomiragia,rpmb,8941.47,francisella
77,tularensis,rpmc,7773.16,francisella
79,philomiragia,rplw,11062.75,francisella
86,tularensis,rpmd,6871.12,francisella
89,tularensis,rpmh,5180.25,francisella
91,tularensis,rpmi,7399.84,francisella
92,tularensis,rpmi,7369.81,francisella
93,tularensis,rpmj,4423.45,francisella
97,tularensis,rplx,11534.39,francisella
105,philomiragia,rpmi,7339.78,francisella
110,tularensis,rpme,8104.47,francisella
113,tularensis,rpmj,4393.42,francisella
119,tularensis,rpme,8132.53,francisella
120,philomiragia,rpmf,6793.67,francisella
132,tularensis,rpme,8268.59,francisella
135,philomiragia,rpmg,6153.41,francisella
137,philomiragia,rpma,9053.41,francisella
145,philomiragia,rpmh,5180.25,francisella
150,tularensis,rplw,11036.71,francisella
156,philomiragia,rpmc,7757.16,francisella
158,philomiragia,rpmd,6873.09,francisella
163,philomiragia,rpoz,8095.23,francisella
164,tularensis,rpoz,8183.4,francisella
167,philomiragia,rpsn,11669.84,francisella
168,tularensis,rpsn,11683.86,francisella
172,tularensis,rpsj,11924.0,francisella
173,philomiragia,rpsq,9854.6,francisella
174,tularensis,rpsq,9863.57,francisella
175,tularensis,rpst,10146.98,francisella
176,tularensis,rpsu,7838.3,francisella
177,tularensis,rpsu,7840.32,francisella
178,tularensis,rpsn,11717.88,francisella
179,tularensis,rpso,10358.92,francisella
181,tularensis,rpsq,9851.52,francisella
182,philomiragia,rpsr,8337.79,francisella
183,tularensis,rpsr,8378.84,francisella
184,tularensis,rpsr,8351.81,francisella
185,tularensis,rpss,10499.41,francisella
187,tularensis,rpsu,7816.28,francisella
189,tularensis,rpoz,8173.36,francisella
191,tularensis,rpso,10358.97,francisella
201,tularensis,rpsp,9071.72,francisella
202,tularensis,rpsj,11895.98,francisella
205,tularensis,rpsr,8364.81,francisella
209,tularensis,rpst,10116.96,francisella
214,philomiragia,rpss,10453.32,francisella
222,tularensis,rpsp,9081.76,francisella
225,philomiragia,rpso,10273.78,francisella
230,tularensis,rpsu,7847.26,francisella
231,tularensis,rpsn,11716.94,francisella
239,philomiragia,rpst,10102.93,francisella
244,philomiragia,rpsj,11895.98,francisella
250,philomiragia,rpsp,9109.81,francisella
273,novicida,phd,9902.27,francisella
278,tularensis,ruba,6588.28,francisella
283,tularensis,trpr,10932.67,francisella
287,tularensis,rpsu,7850.27,francisella
291,tularensis,gatc,10824.46,francisella
292,tularensis,tuse,11878.69,francisella
294,tularensis,rpoz,8169.37,francisella
296,tularensis,rpmf,6820.7,francisella
299,tularensis,cas2,11555.25,francisella
301,tularensis,cas2,10579.23,francisella
307,tularensis,nuok,11463.98,francisella
311,tularensis,acpp,10659.72,francisella
313,tularensis,rpsu,7810.29,francisella
315,tularensis,ycck,11878.69,francisella
317,tularensis,grxa,10070.49,francisella
319,philomiragia,acpp,9512.67,francisella
325,philomiragia,rpsu,7810.35,francisella
326,philomiragia,hupb,9391.8,francisella
336,philomiragia,rpme,8040.34,francisella
338,philomiragia,rpsu,7850.27,francisella
339,philomiragia,rpmj,4423.45,francisella
342,philomiragia,acpp,8998.95,francisella
346,philomiragia,gatc,10735.29,francisella
347,philomiragia,ruba,6558.26,francisella
349,philomiragia,rply,10776.48,francisella
351,philomiragia,trpr,10789.48,francisella
353,philomiragia,infa,8220.71,francisella
358,philomiragia,rpsu,7836.28,francisella
360,tularensis,tuse,11906.74,francisella
371,tularensis,trpr,10931.69,francisella
376,philomiragia,rpsu,7647.17,francisella
381,philomiragia,rpme,9413.93,francisella
384,philomiragia,cas2,10616.3,francisella
388,philomiragia,ftsb,11129.03,francisella
392,hispaniensis,rpsq,9877.64,francisella
394,hispaniensis,rplx,11478.32,francisella
396,hispaniensis,rpmg,6141.4,francisella
397,hispaniensis,rpsn,11669.84,francisella
398,hispaniensis,nuok,11472.99,francisella
400,hispaniensis,rpmb,8997.5,francisella
