,species,gn,mw,genus
0,cenocepacia,acpp,8711.76,burkholderia
1,lata,acpp,8711.76,burkholderia
2,pseudomallei,acpp,8711.76,burkholderia
3,cenocepacia,acyp,11406.97,burkholderia
4,mallei,acyp,11253.66,burkholderia
5,pseudomallei,acyp,11253.66,burkholderia
6,xenovorans,acyp,10978.3,burkholderia
8,mallei,acpp,8711.76,burkholderia
10,thailandensis,acpp,8711.76,burkholderia
11,ambifaria,acyp,11375.96,burkholderia
12,lata,acyp,11396.89,burkholderia
14,vietnamiensis,acyp,11399.94,burkholderia
16,multivorans,acpp,8711.76,burkholderia
20,thailandensis,acyp,11243.66,burkholderia
21,cepacia,anda,11748.38,burkholderia
27,xenovorans,bphf,11954.59,burkholderia
28,pseudomallei,cdii,11202.77,burkholderia
29,vietnamiensis,gros,10506.21,burkholderia
30,pseudomallei,cdii,11891.3,burkholderia
31,ambifaria,cyay,11998.36,burkholderia
32,cenocepacia,cyay,11927.28,burkholderia
33,thailandensis,cyay,11646.98,burkholderia
34,cenocepacia,cyay,11941.31,burkholderia
35,pseudomallei,hupa,9621.09,burkholderia
36,multivorans,cyay,11871.22,burkholderia
37,pseudomallei,cyay,11677.01,burkholderia
39,mallei,cyay,11677.01,burkholderia
41,xenovorans,cyay,11740.98,burkholderia
42,cenocepacia,gatc,10956.51,burkholderia
43,ambifaria,gatc,10956.51,burkholderia
44,mallei,gatc,11029.54,burkholderia
46,pseudomallei,gatc,11029.54,burkholderia
47,cenocepacia,gatc,10957.49,burkholderia
49,vietnamiensis,gatc,10926.42,burkholderia
52,pseudomallei,ftsl,11915.71,burkholderia
53,cenocepacia,hfq,8849.2,burkholderia
54,cenocepacia,clps,11935.96,burkholderia
55,lata,clps,11935.96,burkholderia
56,pseudomallei,clps,11922.92,burkholderia
57,ambifaria,clps,11935.96,burkholderia
59,mallei,clps,11922.92,burkholderia
61,xenovorans,clps,11892.85,burkholderia
62,cepacia,gros,10490.17,burkholderia
64,multivorans,clps,11935.96,burkholderia
69,thailandensis,clps,11950.98,burkholderia
73,vietnamiensis,clps,11935.96,burkholderia
76,vietnamiensis,cyay,11968.34,burkholderia
83,cenocepacia,xseb,10136.32,burkholderia
84,pseudomallei,xseb,9967.16,burkholderia
85,lata,xseb,10166.35,burkholderia
86,mallei,xseb,9967.16,burkholderia
87,vietnamiensis,xseb,10054.15,burkholderia
91,ambifaria,xseb,10207.36,burkholderia
98,pseudomallei,flhd,11593.48,burkholderia
99,mallei,flie,11449.09,burkholderia
100,multivorans,xseb,9671.78,burkholderia
104,pseudomallei,flie,11449.09,burkholderia
111,lata,flie,11569.15,burkholderia
121,vietnamiensis,flie,11520.17,burkholderia
122,mallei,flhd,11621.53,burkholderia
123,cenocepacia,flie,11553.19,burkholderia
128,lata,flhd,10532.34,burkholderia
129,multivorans,flie,11486.1,burkholderia
131,lata,gatc,10936.52,burkholderia
135,xenovorans,gatc,11002.57,burkholderia
136,thailandensis,gatc,11070.63,burkholderia
139,multivorans,hfq,8849.2,burkholderia
140,mallei,hfq,8833.2,burkholderia
141,thailandensis,hfq,8833.2,burkholderia
142,ambifaria,hfq,8964.33,burkholderia
143,lata,hfq,8849.2,burkholderia
144,pseudomallei,hfq,8833.2,burkholderia
149,xenovorans,hfq,8835.17,burkholderia
152,vietnamiensis,hfq,8849.2,burkholderia
154,mallei,infa,10078.49,burkholderia
155,pseudomallei,infa,10078.49,burkholderia
156,cenocepacia,infa,8217.7,burkholderia
158,vietnamiensis,infa,8217.7,burkholderia
159,pseudomallei,infa,8217.7,burkholderia
160,xenovorans,infa,10157.55,burkholderia
161,mallei,infa,8251.71,burkholderia
164,cenocepacia,infa,9843.29,burkholderia
165,lata,infa,8217.7,burkholderia
166,ambifaria,infa,9879.34,burkholderia
169,ambifaria,ihfb,11968.77,burkholderia
170,cenocepacia,ihfb,11912.66,burkholderia
171,pseudomallei,ihfb,11917.64,burkholderia
172,ambifaria,infa,8217.7,burkholderia
174,xenovorans,infa,8217.7,burkholderia
175,cenocepacia,infa,10064.66,burkholderia
177,lata,ihfb,11926.69,burkholderia
178,mallei,ihfb,11917.64,burkholderia
180,thailandensis,ihfb,11903.61,burkholderia
183,multivorans,ihfb,11956.71,burkholderia
189,vietnamiensis,infa,9801.25,burkholderia
190,cenocepacia,ihfb,11926.69,burkholderia
193,vietnamiensis,ihfb,11968.77,burkholderia
196,lata,infa,9857.31,burkholderia
198,thailandensis,infa,8217.7,burkholderia
199,mallei,mine,9395.02,burkholderia
201,thailandensis,mine,9395.02,burkholderia
202,cenocepacia,mine,9420.97,burkholderia
203,lata,mine,9419.99,burkholderia
204,pseudomallei,mine,9395.02,burkholderia
206,xenovorans,mine,9402.96,burkholderia
208,vietnamiensis,mine,9410.98,burkholderia
210,multivorans,mine,9410.98,burkholderia
211,mallei,nuok,11084.4,burkholderia
213,vietnamiensis,nuok,11118.44,burkholderia
214,ambifaria,nuok,11084.4,burkholderia
215,cenocepacia,nuok,11086.38,burkholderia
217,pseudomallei,nuok,11084.4,burkholderia
223,multivorans,nuok,11084.4,burkholderia
225,thailandensis,nuok,11084.4,burkholderia
226,cepacia,mdh,2085.48,burkholderia
227,cepacia,mdcc,11149.69,burkholderia
228,ambifaria,mine,9439.04,burkholderia
229,cenocepacia,mine,9419.99,burkholderia
236,lata,nuok,11086.38,burkholderia
238,xenovorans,nuok,11045.28,burkholderia
251,cenocepacia,pqqa,2942.37,burkholderia
305,cenocepacia,rplu,11356.14,burkholderia
306,lata,rplu,11356.14,burkholderia
307,pseudomallei,rplw,11739.76,burkholderia
308,cenocepacia,rpma,9089.51,burkholderia
309,pseudomallei,rpma,9049.44,burkholderia
310,xenovorans,rpma,9122.47,burkholderia
311,ambifaria,rpmb,8761.06,burkholderia
312,mallei,rpmb,8761.06,burkholderia
313,pseudomallei,rpmb,8761.06,burkholderia
314,cenocepacia,rpmd,6634.87,burkholderia
315,cenocepacia,rpme,9969.33,burkholderia
316,ambifaria,rpme,9919.31,burkholderia
317,thailandensis,rpme,9864.23,burkholderia
318,cenocepacia,rpmf,6622.57,burkholderia
319,mallei,rpmg,6356.52,burkholderia
320,pseudomallei,rpmg,6356.52,burkholderia
321,mallei,rpmi,7300.75,burkholderia
322,pseudomallei,rpmi,7300.75,burkholderia
323,ambifaria,rplu,11356.14,burkholderia
324,pseudomallei,rplu,11356.1,burkholderia
325,xenovorans,rplu,11347.13,burkholderia
326,cenocepacia,rplv,11815.82,burkholderia
327,lata,rplv,11815.82,burkholderia
328,mallei,rplv,11815.82,burkholderia
329,xenovorans,rplv,11802.78,burkholderia
330,ambifaria,rplx,10708.69,burkholderia
331,thailandensis,rplx,10708.69,burkholderia
333,mallei,rpma,9049.44,burkholderia
334,thailandensis,rpma,9049.44,burkholderia
336,mallei,rpmd,6620.84,burkholderia
337,cenocepacia,rpme,9830.22,burkholderia
338,mallei,rpme,9912.27,burkholderia
339,pseudomallei,rpme,9912.27,burkholderia
340,mallei,rpmf,6682.62,burkholderia
342,mallei,rplu,11356.1,burkholderia
345,thailandensis,rplu,11356.1,burkholderia
346,ambifaria,rplv,11815.82,burkholderia
348,ambifaria,rplw,11739.76,burkholderia
349,cenocepacia,rplw,11739.76,burkholderia
350,mallei,rplw,11739.76,burkholderia
351,vietnamiensis,rplw,11739.76,burkholderia
352,multivorans,rplv,11815.82,burkholderia
353,pseudomallei,rplv,11815.82,burkholderia
358,vietnamiensis,rpma,9089.51,burkholderia
359,lata,rpmd,6634.87,burkholderia
361,thailandensis,rpmd,6620.84,burkholderia
362,mallei,rpmh,5195.26,burkholderia
363,pseudomallei,rpmh,5195.26,burkholderia
364,thailandensis,rpmh,5195.26,burkholderia
365,cenocepacia,rpmi,7300.75,burkholderia
368,cenocepacia,rpmj,4410.45,burkholderia
369,lata,rpmj,4410.45,burkholderia
372,vietnamiensis,rplu,11356.14,burkholderia
374,multivorans,rplw,11739.76,burkholderia
376,cenocepacia,rplx,10708.69,burkholderia
377,pseudomallei,rplx,10708.69,burkholderia
380,multivorans,rplu,11356.14,burkholderia
385,vietnamiensis,rplv,11815.82,burkholderia
386,lata,rplw,11739.76,burkholderia
390,multivorans,rplx,10697.71,burkholderia
391,ambifaria,rpma,9089.51,burkholderia
394,cenocepacia,rpmb,8761.06,burkholderia
395,xenovorans,rpmb,8711.04,burkholderia
396,multivorans,rpma,9077.45,burkholderia
400,vietnamiensis,rpmb,8761.06,burkholderia
401,cenocepacia,rpmc,7311.62,burkholderia
402,multivorans,rpmc,7311.62,burkholderia
403,pseudomallei,rpmc,7309.58,burkholderia
404,vietnamiensis,rpmc,7311.62,burkholderia
406,multivorans,rpmd,6634.87,burkholderia
407,vietnamiensis,rpme,9885.25,burkholderia
408,ambifaria,rpmf,6652.6,burkholderia
409,vietnamiensis,rpmf,6622.57,burkholderia
410,ambifaria,rpmi,7300.75,burkholderia
411,lata,rpmi,7300.75,burkholderia
412,xenovorans,rpmi,7316.74,burkholderia
413,ambifaria,rpmj,4410.45,burkholderia
415,mallei,rpmj,4410.45,burkholderia
416,vietnamiensis,rpmj,4410.45,burkholderia
420,mallei,rplx,10708.69,burkholderia
422,xenovorans,rplx,10748.75,burkholderia
428,xenovorans,rplw,11672.75,burkholderia
432,vietnamiensis,rplx,10708.69,burkholderia
433,pseudomallei,rpmj,4410.45,burkholderia
434,thailandensis,rpmj,4410.45,burkholderia
435,cenocepacia,rpmg,6400.59,burkholderia
438,xenovorans,rpmh,5195.26,burkholderia
441,lata,rpmf,6622.57,burkholderia
442,cenocepacia,rpmg,6381.55,burkholderia
443,lata,rpmg,6381.55,burkholderia
445,thailandensis,rpmg,6356.52,burkholderia
446,ambifaria,rpmh,5195.26,burkholderia
450,xenovorans,rpmj,4410.45,burkholderia
451,lata,rpmb,8761.06,burkholderia
452,multivorans,rpmb,8761.06,burkholderia
458,pseudomallei,rpmf,6682.62,burkholderia
459,vietnamiensis,rpmi,7300.75,burkholderia
462,multivorans,rpmj,4410.45,burkholderia
468,thailandensis,rpmb,8761.06,burkholderia
469,ambifaria,rpmc,7311.62,burkholderia
470,mallei,rpmc,7309.58,burkholderia
474,lata,rpme,9834.2,burkholderia
481,vietnamiensis,rpmg,6381.55,burkholderia
486,thailandensis,rplv,11815.82,burkholderia
488,lata,rplx,10708.69,burkholderia
491,lata,rpma,9089.51,burkholderia
495,lata,rpmc,7311.62,burkholderia
498,xenovorans,rpmc,7334.55,burkholderia
500,pseudomallei,rpmd,6620.84,burkholderia
503,multivorans,rpme,9891.3,burkholderia
505,xenovorans,rpme,10049.39,burkholderia
509,xenovorans,rpmf,6622.57,burkholderia
511,multivorans,rpmg,6356.52,burkholderia
513,cenocepacia,rpmh,5195.26,burkholderia
514,lata,rpmh,5195.26,burkholderia
516,thailandensis,rpmi,7300.75,burkholderia
521,thailandensis,rpmc,7309.58,burkholderia
524,vietnamiensis,rpmd,6634.87,burkholderia
525,ambifaria,rpmf,6622.57,burkholderia
526,multivorans,rpmf,6636.6,burkholderia
527,thailandensis,rpmf,6652.6,burkholderia
528,ambifaria,rpmg,6381.55,burkholderia
531,xenovorans,rpmg,6423.63,burkholderia
535,ambifaria,rpmd,6634.87,burkholderia
537,xenovorans,rpmd,6650.87,burkholderia
544,multivorans,rpmh,5195.26,burkholderia
546,vietnamiensis,rpmh,5195.26,burkholderia
553,thailandensis,rplw,11739.76,burkholderia
563,multivorans,rpoz,7441.81,burkholderia
564,mallei,rpoz,7399.73,burkholderia
565,vietnamiensis,rpoz,7427.78,burkholderia
566,pseudomallei,rpoz,7399.73,burkholderia
567,thailandensis,rpoz,7427.78,burkholderia
569,cenocepacia,rpoz,7427.78,burkholderia
572,cenocepacia,rpsj,11827.81,burkholderia
573,mallei,rpsj,11827.81,burkholderia
575,pseudomallei,rpsj,11827.81,burkholderia
576,vietnamiensis,rpsj,11827.81,burkholderia
577,lata,rpsn,11691.61,burkholderia
578,pseudomallei,rpsn,11647.6,burkholderia
579,xenovorans,rpsn,11589.59,burkholderia
580,ambifaria,rpoz,7452.79,burkholderia
581,lata,rpoz,7427.78,burkholderia
583,xenovorans,rpoz,7427.78,burkholderia
587,xenovorans,rpsj,11813.78,burkholderia
589,pseudomallei,rpsu,8363.05,burkholderia
590,pseudomallei,rpsu,8306.89,burkholderia
591,thailandensis,rpsu,8292.91,burkholderia
595,lata,rpsj,11827.81,burkholderia
597,thailandensis,rpsj,11827.81,burkholderia
598,cenocepacia,rpsn,11705.64,burkholderia
599,mallei,rpsn,11647.6,burkholderia
601,cenocepacia,rpsq,10320.93,burkholderia
602,multivorans,rpsq,10274.9,burkholderia
603,mallei,rpsq,10248.86,burkholderia
604,thailandensis,rpsq,10278.89,burkholderia
