,species,gn,mw,genus
0,acidophilus,acpp,9056.91,lactobacillus
1,brevis,acyp,9977.57,lactobacillus
2,johnsonii,acyp,9994.63,lactobacillus
3,salivarius,acyp,9940.51,lactobacillus
4,gasseri,acyp,9873.36,lactobacillus
5,sakei,acyp,9750.3,lactobacillus
6,casei,acyp,10123.6,lactobacillus
7,johnsonii,acpp,9216.12,lactobacillus
8,amylovorus,amyl,6536.62,lactobacillus
9,plantarum,acyp,10113.51,lactobacillus
10,brevis,atpe,7018.57,lactobacillus
11,casei,atpe,7173.7,lactobacillus
12,sakei,atpe,7288.7,lactobacillus
13,johnsonii,atpe,7219.73,lactobacillus
15,plantarum,atpe,7167.77,lactobacillus
16,fermentum,atpe,6903.33,lactobacillus
17,helveticus,atpe,7970.6,lactobacillus
18,rhamnosus,cas2,11874.08,lactobacillus
19,casei,gros,10039.61,lactobacillus
20,gasseri,gros,10280.91,lactobacillus
21,salivarius,gros,10269.71,lactobacillus
22,acidophilus,gros,10279.8,lactobacillus
23,delbrueckii,gros,10278.82,lactobacillus
24,brevis,gros,10096.45,lactobacillus
25,helveticus,gros,10207.74,lactobacillus
26,sakei,gros,10169.61,lactobacillus
27,zeae,gros,10039.61,lactobacillus
29,plantarum,csp,7256.91,lactobacillus
30,acidophilus,gatc,11738.05,lactobacillus
31,delbrueckii,gatc,11553.07,lactobacillus
33,plantarum,gatc,11566.04,lactobacillus
34,plantarum,gccf,7001.97,lactobacillus
35,casei,citd,10898.29,lactobacillus
36,helveticus,citd,10511.07,lactobacillus
37,plantarum,citd,10394.05,lactobacillus
39,johnsonii,gros,10280.91,lactobacillus
40,acidophilus,citd,10497.05,lactobacillus
42,sakei,citd,11352.11,lactobacillus
44,reuteri,gros,10148.7,lactobacillus
45,fermentum,gros,9910.28,lactobacillus
46,plantarum,gros,10292.7,lactobacillus
48,plantarum,cspl,7299.93,lactobacillus
49,plantarum,dltc,8794.01,lactobacillus
50,casei,dltc,8864.96,lactobacillus
51,delbrueckii,dltc,9259.32,lactobacillus
52,johnsonii,dltc,9011.09,lactobacillus
53,helveticus,dltc,8936.96,lactobacillus
54,sakei,dltc,8739.83,lactobacillus
55,gasseri,dltc,8953.05,lactobacillus
57,plantarum,dltc,8797.96,lactobacillus
58,acidophilus,dltc,8995.0,lactobacillus
60,rhamnosus,dltc,8920.08,lactobacillus
61,gasseri,xseb,9069.0,lactobacillus
62,plantarum,xseb,8451.34,lactobacillus
63,acidophilus,xseb,8963.86,lactobacillus
64,helveticus,xseb,8905.91,lactobacillus
65,reuteri,xseb,10268.2,lactobacillus
66,fermentum,xseb,10734.85,lactobacillus
67,johnsonii,xseb,9024.0,lactobacillus
68,sakei,xseb,8440.5,lactobacillus
69,brevis,xseb,8847.69,lactobacillus
71,johnsonii,gatc,11510.84,lactobacillus
72,salivarius,gatc,10886.31,lactobacillus
73,sanfranciscensis,guaa,2141.41,lactobacillus
74,plantarum,hisi,11967.42,lactobacillus
75,casei,infa,8147.57,lactobacillus
76,helveticus,infa,8273.73,lactobacillus
77,brevis,infa,8274.66,lactobacillus
78,reuteri,infa,8161.66,lactobacillus
79,delbrueckii,infa,8273.73,lactobacillus
80,acidophilus,infa,8273.73,lactobacillus
81,salivarius,infa,8288.72,lactobacillus
82,gasseri,infa,8287.75,lactobacillus
84,johnsonii,infa,8287.75,lactobacillus
85,plantarum,infa,8235.7,lactobacillus
86,sakei,infa,8120.52,lactobacillus
88,johnsonii,lafx,6250.18,lactobacillus
89,johnsonii,lafa,7603.85,lactobacillus
90,acidophilus,acdt,5331.06,lactobacillus
91,sakei,lasa,7258.39,lactobacillus
92,plantarum,plna,5457.67,lactobacillus
93,casei,ptsh,9253.57,lactobacillus
94,sakei,ptsh,9337.56,lactobacillus
95,casei,purq,5604.31,lactobacillus
138,helveticus,reca,10936.61,lactobacillus
139,delbrueckii,reca,10991.69,lactobacillus
140,plantarum,repa,5797.78,lactobacillus
141,helveticus,rplu,11357.04,lactobacillus
142,delbrueckii,rplw,11258.05,lactobacillus
143,casei,rplx,11230.11,lactobacillus
144,fermentum,rplx,11159.95,lactobacillus
145,helveticus,rplx,8268.67,lactobacillus
146,reuteri,rplx,10974.74,lactobacillus
147,acidophilus,rpmb,6964.26,lactobacillus
148,delbrueckii,rpmb,6857.06,lactobacillus
149,reuteri,rpmb,6927.16,lactobacillus
150,casei,rpmd,6748.95,lactobacillus
151,delbrueckii,rpmd,6673.95,lactobacillus
152,fermentum,rpmd,6571.84,lactobacillus
153,helveticus,rpmd,6573.76,lactobacillus
154,salivarius,rpmd,6560.79,lactobacillus
