,species,gn,mw,genus
0,fragilis,rpmj,4586.55,bacteroides
2,fragilis,rpmh,6173.2,bacteroides
3,fragilis,rpmd,6418.72,bacteroides
4,fragilis,rpmg,7211.5,bacteroides
5,fragilis,sece,7334.7,bacteroides
6,fragilis,rpmi,7419.88,bacteroides
7,fragilis,rpsu,7501.9,bacteroides
8,fragilis,rpmc,7691.92,bacteroides
11,fragilis,infa,8234.66,bacteroides
13,fragilis,tata,8446.97,bacteroides
14,fragilis,acpp,8518.48,bacteroides
15,fragilis,atpc,8612.61,bacteroides
16,fragilis,hup3,9417.03,bacteroides
17,fragilis,rpme,9468.87,bacteroides
18,fragilis,rpma,9612.96,bacteroides
19,fragilis,groe,9618.29,bacteroides
20,fragilis,rpmb,9701.47,bacteroides
21,fragilis,rpst,9760.55,bacteroides
22,fragilis,rpss,9910.68,bacteroides
23,fragilis,hup1,10069.76,bacteroides
24,fragilis,rpso,10402.11,bacteroides
25,fragilis,rpsq,10472.38,bacteroides
26,fragilis,rpsr,10659.78,bacteroides
27,fragilis,hup4,10683.61,bacteroides
28,fragilis,rplw,10740.57,bacteroides
29,fragilis,hup1,10912.91,bacteroides
30,fragilis,hup2,10991.82,bacteroides
31,fragilis,rpsn,11225.26,bacteroides
34,fragilis,rpsj,11402.41,bacteroides
35,fragilis,rplx,11407.27,bacteroides
36,fragilis,trxa,11470.39,bacteroides
37,fragilis,rplu,11593.4,bacteroides
38,fragilis,nuok,11889.18,bacteroides
49,fragilis,atpe,8196.04,bacteroides
59,fragilis,gros,9618.29,bacteroides
65,fragilis,cas2,10163.02,bacteroides
83,eggerthii,rpmh,6173.2,bacteroides
84,eggerthii,rpmd,6445.76,bacteroides
86,eggerthii,rpmf,6823.95,bacteroides
88,eggerthii,rpmg,7211.5,bacteroides
89,eggerthii,sece,7277.61,bacteroides
90,eggerthii,rpmi,7447.93,bacteroides
92,eggerthii,rpmc,7581.8,bacteroides
93,eggerthii,tata,7912.49,bacteroides
94,eggerthii,infa,8234.66,bacteroides
98,eggerthii,acpp,8476.4,bacteroides
101,eggerthii,rpma,9448.8,bacteroides
103,eggerthii,rpme,9520.89,bacteroides
104,eggerthii,gros,9637.33,bacteroides
105,eggerthii,rpst,9727.44,bacteroides
106,eggerthii,rpmb,9758.57,bacteroides
107,eggerthii,rpss,9894.68,bacteroides
109,eggerthii,rpso,10368.01,bacteroides
110,eggerthii,rpsq,10485.4,bacteroides
111,eggerthii,rpsr,10661.75,bacteroides
112,eggerthii,rplw,10911.64,bacteroides
113,eggerthii,rpsn,11225.26,bacteroides
116,eggerthii,rpsu,11368.82,bacteroides
117,eggerthii,rpsj,11448.44,bacteroides
118,eggerthii,rplx,11470.28,bacteroides
120,eggerthii,rplu,11634.6,bacteroides
121,eggerthii,nuok,11683.86,bacteroides
123,thetaiotaomicron,rpmh,6303.31,bacteroides
124,thetaiotaomicron,rpmd,6408.68,bacteroides
125,thetaiotaomicron,rpmf,6837.98,bacteroides
126,thetaiotaomicron,rpmg,7225.53,bacteroides
127,thetaiotaomicron,rpmi,7449.9,bacteroides
128,thetaiotaomicron,rpsu,7501.86,bacteroides
129,thetaiotaomicron,rpmc,7651.85,bacteroides
131,thetaiotaomicron,tata,7881.37,bacteroides
134,thetaiotaomicron,infa,8234.66,bacteroides
135,thetaiotaomicron,atpe,8274.11,bacteroides
138,thetaiotaomicron,acpp,8476.4,bacteroides
141,thetaiotaomicron,rpme,9598.03,bacteroides
142,thetaiotaomicron,rpma,9650.07,bacteroides
143,thetaiotaomicron,gros,9660.37,bacteroides
144,thetaiotaomicron,rpmb,9728.5,bacteroides
145,thetaiotaomicron,rpst,9796.63,bacteroides
147,thetaiotaomicron,rpss,9998.75,bacteroides
150,thetaiotaomicron,rpso,10475.12,bacteroides
151,thetaiotaomicron,rpsq,10486.41,bacteroides
153,thetaiotaomicron,rpsr,10705.76,bacteroides
154,thetaiotaomicron,rplw,10753.61,bacteroides
155,thetaiotaomicron,rpsn,11253.28,bacteroides
157,thetaiotaomicron,rplx,11340.14,bacteroides
159,thetaiotaomicron,rpsj,11418.41,bacteroides
160,thetaiotaomicron,rplu,11634.45,bacteroides
161,thetaiotaomicron,nuok,11717.94,bacteroides
162,thetaiotaomicron,rpsq,11770.0,bacteroides
165,helcogenes,rpmj,4586.55,bacteroides
167,helcogenes,rpmh,6189.2,bacteroides
168,helcogenes,rpmd,6445.76,bacteroides
169,helcogenes,rpmf,6823.95,bacteroides
170,helcogenes,rpmg,7211.5,bacteroides
171,helcogenes,sece,7263.58,bacteroides
172,helcogenes,rpmi,7417.9,bacteroides
173,helcogenes,rpsu,7558.92,bacteroides
174,helcogenes,rpmc,7632.85,bacteroides
175,helcogenes,tata,7957.49,bacteroides
178,helcogenes,infa,8234.66,bacteroides
180,helcogenes,acpp,8463.4,bacteroides
182,helcogenes,rpme,9514.89,bacteroides
183,helcogenes,rpma,9548.87,bacteroides
184,helcogenes,gros,9635.36,bacteroides
185,helcogenes,rpst,9713.45,bacteroides
186,helcogenes,rpmb,9744.5,bacteroides
188,helcogenes,rpss,9924.71,bacteroides
189,helcogenes,rpsq,10008.74,bacteroides
192,helcogenes,rpso,10457.11,bacteroides
