,species,gn,mw,genus
0,denitrificans,acpp,8574.54,shewanella
1,amazonensis,acyp,10119.52,shewanella
2,oneidensis,acyp,9696.29,shewanella
3,oneidensis,acpp,8570.56,shewanella
4,halifaxensis,atpe,8656.46,shewanella
5,sediminis,atpe,8469.5,shewanella
6,loihica,atpe,8469.5,shewanella
8,denitrificans,atpe,8499.53,shewanella
9,baltica,atpe,8483.53,shewanella
13,piezotolerans,atpe,8469.5,shewanella
14,woodyi,atpe,8469.5,shewanella
15,amazonensis,atpe,8515.51,shewanella
16,oneidensis,atpe,8483.53,shewanella
19,putrefaciens,atpe,8625.49,shewanella
21,pealeana,atpe,8656.46,shewanella
23,oneidensis,gros,10212.82,shewanella
24,woodyi,gros,10236.73,shewanella
25,baltica,gros,10184.8,shewanella
27,loihica,gros,10273.77,shewanella
29,denitrificans,gros,10212.86,shewanella
30,putrefaciens,gros,10184.8,shewanella
31,pealeana,gros,10218.75,shewanella
34,halifaxensis,gros,10204.73,shewanella
35,sediminis,gros,10204.66,shewanella
36,amazonensis,csra,7054.08,shewanella
37,frigidimarina,csra,7141.16,shewanella
39,baltica,csra,7125.16,shewanella
40,halifaxensis,csra,7125.16,shewanella
41,pealeana,csra,7125.16,shewanella
42,frigidimarina,ccta,11882.28,shewanella
44,halifaxensis,ftsb,11316.99,shewanella
45,putrefaciens,hfq,9897.28,shewanella
46,baltica,clps,11703.57,shewanella
47,halifaxensis,clps,11762.48,shewanella
50,loihica,clps,11575.35,shewanella
52,amazonensis,clps,11604.51,shewanella
54,pealeana,clps,11739.44,shewanella
55,sediminis,clps,11576.42,shewanella
57,amazonensis,gros,10316.95,shewanella
58,frigidimarina,gros,10158.76,shewanella
60,piezotolerans,gros,10151.66,shewanella
62,denitrificans,clps,11631.46,shewanella
63,oneidensis,clps,11705.54,shewanella
64,piezotolerans,clps,11711.39,shewanella
67,frigidimarina,clps,11745.54,shewanella
68,putrefaciens,clps,11691.51,shewanella
69,woodyi,clps,11548.37,shewanella
70,violacea,cspa,7583.39,shewanella
72,denitrificans,csra,7226.23,shewanella
73,sediminis,csra,7122.16,shewanella
74,piezotolerans,csra,7095.14,shewanella
75,woodyi,csra,7112.12,shewanella
77,oneidensis,csra,7125.16,shewanella
79,loihica,csra,7101.1,shewanella
80,putrefaciens,csra,7111.14,shewanella
81,violacea,cspg,7614.45,shewanella
86,denitrificans,fis,11365.08,shewanella
88,baltica,fis,11390.13,shewanella
93,amazonensis,fis,11356.14,shewanella
94,frigidimarina,fis,11381.15,shewanella
95,halifaxensis,fis,11375.14,shewanella
96,sediminis,fis,11411.13,shewanella
105,piezotolerans,fis,11344.13,shewanella
106,woodyi,fis,11411.13,shewanella
108,pealeana,fis,11344.13,shewanella
110,oneidensis,ftsb,11202.81,shewanella
113,oneidensis,fis,11390.13,shewanella
116,frigidimarina,ftsb,11666.51,shewanella
117,pealeana,ftsb,11184.88,shewanella
122,loihica,fis,11407.21,shewanella
123,putrefaciens,fis,11390.13,shewanella
129,oneidensis,glpe,11135.28,shewanella
131,woodyi,hfq,10278.67,shewanella
133,oneidensis,hfq,9873.28,shewanella
135,sediminis,hfq,10225.57,shewanella
136,oneidensis,hipb,8501.84,shewanella
137,baltica,hfq,9843.19,shewanella
138,pealeana,hfq,10270.61,shewanella
141,denitrificans,hfq,9888.36,shewanella
142,loihica,hfq,10193.53,shewanella
143,amazonensis,hfq,10036.31,shewanella
145,halifaxensis,hfq,10240.58,shewanella
146,piezotolerans,hfq,10328.69,shewanella
148,frigidimarina,hfq,9408.74,shewanella
149,baltica,infa,8272.73,shewanella
150,frigidimarina,infa,8258.7,shewanella
151,oneidensis,infa,8272.73,shewanella
153,putrefaciens,infa,8272.73,shewanella
154,baltica,ihfb,10634.13,shewanella
