,species,gn,mw,genus
0,pylori,acpp,8561.72,helicobacter
1,hepaticus,acyp,11032.78,helicobacter
2,pylori,acpp,8547.7,helicobacter
4,pylori,acpp,8589.78,helicobacter
5,hepaticus,acpp,8543.66,helicobacter
6,acinonychis,acpp,8607.79,helicobacter
7,pylori,acpp,8618.78,helicobacter
9,pylori,atpe,10657.85,helicobacter
11,hepaticus,atpe,10288.44,helicobacter
12,acinonychis,atpe,10769.97,helicobacter
13,pylori,atpe,10685.9,helicobacter
14,pylori,atpe,10673.85,helicobacter
17,hepaticus,gros,10113.93,helicobacter
18,hepaticus,clps,11313.14,helicobacter
19,pylori,clps,10344.06,helicobacter
20,felis,copp,7116.14,helicobacter
21,pylori,copp,7196.29,helicobacter
22,pylori,clps,10335.28,helicobacter
23,pylori,copp,7226.32,helicobacter
24,pylori,csra,8395.8,helicobacter
25,pylori,csra,8425.83,helicobacter
27,hepaticus,csra,8738.18,helicobacter
28,pylori,csra,8381.77,helicobacter
30,pylori,csra,8439.92,helicobacter
32,pylori,hup,10383.85,helicobacter
33,pylori,hup,10407.97,helicobacter
34,pylori,gatc,10656.2,helicobacter
35,pylori,gatc,10658.18,helicobacter
36,pylori,gatc,10741.25,helicobacter
37,pylori,nuok,11009.4,helicobacter
39,pylori,nuok,11037.42,helicobacter
41,hepaticus,nuok,11114.45,helicobacter
42,hepaticus,rpmc,7287.8,helicobacter
43,pylori,rpmc,7682.99,helicobacter
44,pylori,rpme,7651.95,helicobacter
47,pylori,rpmf,5646.66,helicobacter
49,pylori,rpmg,6066.15,helicobacter
50,hepaticus,rpmi,7236.68,helicobacter
51,pylori,rpmi,7259.76,helicobacter
53,pylori,rplw,10454.37,helicobacter
55,acinonychis,rpma,9751.13,helicobacter
56,pylori,rpma,9778.17,helicobacter
57,hepaticus,rpmb,6906.18,helicobacter
58,pylori,rpmb,6889.18,helicobacter
59,pylori,rpmb,6929.28,helicobacter
60,pylori,rpmh,5246.31,helicobacter
63,pylori,rpmj,4307.37,helicobacter
64,pylori,rplu,11837.08,helicobacter
65,hepaticus,rplw,10508.31,helicobacter
68,pylori,rpmb,6915.26,helicobacter
70,pylori,rplu,11852.07,helicobacter
71,hepaticus,rpmg,6292.4,helicobacter
73,pylori,rpmj,4321.44,helicobacter
74,pylori,rplu,11808.04,helicobacter
75,hepaticus,rplu,11811.01,helicobacter
78,acinonychis,rplx,7937.58,helicobacter
79,pylori,rplx,7914.58,helicobacter
80,pylori,rpma,9676.05,helicobacter
81,acinonychis,rpmb,7005.3,helicobacter
84,hepaticus,rpme,7844.23,helicobacter
87,hepaticus,rpmh,5317.31,helicobacter
89,acinonychis,rplu,11849.13,helicobacter
90,pylori,rplu,11851.08,helicobacter
91,hepaticus,rpma,9324.71,helicobacter
93,acinonychis,rpme,7651.95,helicobacter
98,hepaticus,rpmf,5720.81,helicobacter
