,species,gn,mw,genus
2,elongatus,kaib,11436.44,synechococcus
5,elongatus,acpp,8560.47,synechococcus
24,elongatus,atpe,7967.38,synechococcus
34,elongatus,ccmk,10903.67,synechococcus
35,elongatus,petj,11388.07,synechococcus
45,elongatus,clps,10710.32,synechococcus
47,elongatus,gros,10811.35,synechococcus
54,elongatus,petj,9178.43,synechococcus
56,lividus,petj,9129.36,synechococcus
61,elongatus,xseb,8421.51,synechococcus
62,elongatus,petf,10520.59,synechococcus
64,elongatus,petf,10847.05,synechococcus
73,elongatus,mine,10457.1,synechococcus
82,elongatus,moad,9243.85,synechococcus
86,elongatus,smta,5741.52,synechococcus
88,elongatus,nbla,7051.11,synechococcus
92,elongatus,ndhl,8561.42,synechococcus
100,elongatus,ndho,7826.02,synechococcus
116,elongatus,petn,3678.34,synechococcus
126,elongatus,petm,3876.75,synechococcus
137,elongatus,petg,3990.9,synechococcus
145,elongatus,psbm,3910.72,synechococcus
151,elongatus,psae,8138.18,synechococcus
152,elongatus,psai,4297.3,synechococcus
164,elongatus,psbl,4575.4,synechococcus
191,elongatus,psaj,4709.62,synechococcus
192,elongatus,psbe,9333.56,synechococcus
210,elongatus,psbx,4243.17,synechococcus
212,elongatus,psac,8798.29,synechococcus
216,elongatus,psaj,4766.74,synechococcus
220,elongatus,psbh,7620.12,synechococcus
227,elongatus,psbn,4987.68,synechococcus
243,elongatus,psbz,6714.3,synechococcus
244,elongatus,psac,8800.26,synechococcus
252,elongatus,psak,8480.07,synechococcus
254,elongatus,psam,3424.15,synechococcus
260,elongatus,psae,8388.52,synechococcus
265,elongatus,psbf,4924.77,synechococcus
266,elongatus,psbi,4392.23,synechococcus
274,elongatus,psby,4333.17,synechococcus
279,elongatus,psbt,3530.33,synechococcus
291,elongatus,psbj,3841.58,synechococcus
294,elongatus,psbk,5046.14,synechococcus
333,elongatus,rpmc,7649.86,synechococcus
338,elongatus,rpmi,7840.28,synechococcus
342,elongatus,rplw,11148.0,synechococcus
348,elongatus,rpma,9226.51,synechococcus
371,elongatus,rpmg,7371.6,synechococcus
383,elongatus,rpmj,4364.43,synechococcus
394,elongatus,rpmf,6533.57,synechococcus
400,elongatus,rpmh,5230.22,synechococcus
411,elongatus,rpme,8798.88,synechococcus
424,elongatus,rpmb,9118.74,synechococcus
438,elongatus,rpoz,8778.01,synechococcus
450,elongatus,rpsp,9555.14,synechococcus
451,elongatus,rpsr,8306.86,synechococcus
458,elongatus,rpso,10307.92,synechococcus
485,elongatus,rpsu,7029.22,synechococcus
498,elongatus,rpss,10238.01,synechococcus
512,elongatus,rpsq,9346.81,synechococcus
515,elongatus,rpst,10891.68,synechococcus
522,elongatus,tata,9908.46,synechococcus
523,elongatus,trxa,11648.44,synechococcus
631,elongatus,cp12,8315.88,synechococcus
1234,elongatus,gatc,10967.28,synechococcus
1235,elongatus,purs,9904.29,synechococcus
1236,elongatus,psak,8178.69,synechococcus
1239,elongatus,psak,8393.21,synechococcus
1242,elongatus,sece,8915.25,synechococcus
1243,elongatus,ndhe,11389.63,synechococcus
