,species,gn,mw,genus
0,mutans,muta,6019.8,streptococcus
1,pneumoniae,gros,9912.38,streptococcus
2,pneumoniae,gatc,11055.52,streptococcus
3,pyogenes,acpp,8343.18,streptococcus
5,pneumoniae,acpp,8268.11,streptococcus
10,thermophilus,acpp,8398.25,streptococcus
11,downei,atpd,8712.12,streptococcus
12,pneumoniae,atpe,7259.84,streptococcus
13,mutans,atpe,7059.61,streptococcus
15,gordonii,asp5,8492.42,streptococcus
24,oralis,atpe,7218.9,streptococcus
26,agalactiae,gros,9675.08,streptococcus
27,pneumoniae,gros,9940.44,streptococcus
28,sanguinis,gros,9755.21,streptococcus
29,uberis,gros,10268.85,streptococcus
30,pyogenes,gros,10331.73,streptococcus
33,mutans,gros,10038.56,streptococcus
36,pneumoniae,gros,9898.36,streptococcus
37,pyogenes,cspa,7322.16,streptococcus
38,thermophilus,hup,9605.0,streptococcus
39,pyogenes,hup,9647.08,streptococcus
41,agalactiae,gatc,11346.77,streptococcus
42,pyogenes,gatc,11069.56,streptococcus
45,suis,gatc,10939.35,streptococcus
46,pneumoniae,gatc,11042.57,streptococcus
47,gordonii,gatc,11127.5,streptococcus
49,equi,gatc,10980.51,streptococcus
51,pyogenes,gatc,11087.62,streptococcus
52,pneumoniae,gatc,11044.4,streptococcus
53,pyogenes,gatc,11083.59,streptococcus
54,sanguinis,gatc,11141.52,streptococcus
55,uberis,gatc,11097.53,streptococcus
56,equi,gatc,11056.61,streptococcus
58,agalactiae,gatc,11323.73,streptococcus
59,equi,gatc,11028.56,streptococcus
63,thermophilus,gatc,11127.62,streptococcus
64,equi,citd,11021.54,streptococcus
65,pyogenes,citd,11178.64,streptococcus
66,pyogenes,citd,11192.66,streptococcus
67,pyogenes,citd,11224.71,streptococcus
68,equi,gros,9948.52,streptococcus
69,pneumoniae,gros,9909.22,streptococcus
71,salivarius,gros,9742.08,streptococcus
72,thermophilus,gros,9912.29,streptococcus
75,equi,citd,10979.45,streptococcus
76,equi,citd,11048.56,streptococcus
78,pyogenes,citd,11178.68,streptococcus
81,gordonii,gros,9651.15,streptococcus
84,pneumoniae,gros,9704.15,streptococcus
85,sanguinis,gros,9739.21,streptococcus
87,anginosus,gros,9668.13,streptococcus
88,constellatus,gros,9840.32,streptococcus
89,intermedius,gros,9755.21,streptococcus
92,pneumoniae,gros,9926.41,streptococcus
93,agalactiae,gros,9733.12,streptococcus
94,equinus,gros,9741.18,streptococcus
95,gordonii,gros,9681.17,streptococcus
96,mitis,gros,9867.39,streptococcus
97,oralis,gros,9908.4,streptococcus
101,mutans,citd,11126.65,streptococcus
104,uberis,citd,11038.57,streptococcus
105,pneumoniae,comc,4971.02,streptococcus
106,mitis,comc,4748.69,streptococcus
108,agalactiae,copg,5115.09,streptococcus
109,agalactiae,copr,10624.0,streptococcus
111,oralis,comc,4987.72,streptococcus
113,pneumoniae,comc,4907.01,streptococcus
114,mitis,comc,4837.7,streptococcus
115,pyogenes,cspa,7295.13,streptococcus
116,pyogenes,cspa,4994.42,streptococcus
117,mitis,comc,4905.92,streptococcus
118,oralis,comc,4960.74,streptococcus
119,mitis,comc,4897.64,streptococcus
120,dysgalactiae,cspa,5052.46,streptococcus
122,pneumoniae,crcb,11988.28,streptococcus
123,equi,dltc,9008.19,streptococcus
124,pneumoniae,dltc,8980.16,streptococcus
125,pyogenes,dltc,9010.16,streptococcus
