,species,gn,mw,genus
0,arthritidis,rpmj,4398.42,mycoplasma
1,arthritidis,rpmg,5628.75,mycoplasma
2,arthritidis,rpmh,5652.81,mycoplasma
3,arthritidis,rpmg,6035.17,mycoplasma
4,arthritidis,rpmb,7160.37,mycoplasma
5,arthritidis,rpmi,7232.55,mycoplasma
6,arthritidis,rpsz,7232.87,mycoplasma
7,arthritidis,rpmf,7465.97,mycoplasma
8,arthritidis,rpme,7979.21,mycoplasma
9,arthritidis,infa,8054.53,mycoplasma
12,arthritidis,atpe,9212.01,mycoplasma
13,arthritidis,rpst,9554.95,mycoplasma
14,arthritidis,rpma,9816.2,mycoplasma
15,arthritidis,rpsp,9877.53,mycoplasma
16,arthritidis,rpso,10196.06,mycoplasma
17,arthritidis,rpmc,10238.93,mycoplasma
18,arthritidis,rpss,10305.09,mycoplasma
19,arthritidis,hup,10708.42,mycoplasma
20,arthritidis,rpsq,10832.6,mycoplasma
22,arthritidis,rplu,11287.31,mycoplasma
23,arthritidis,rpsj,11312.48,mycoplasma
24,arthritidis,gatc,11335.09,mycoplasma
25,arthritidis,acps,11390.17,mycoplasma
26,arthritidis,cas2,11629.3,mycoplasma
27,hyopneumoniae,rpmj,4421.58,mycoplasma
28,hyopneumoniae,rpss,4673.32,mycoplasma
29,hyopneumoniae,rpmg,5501.58,mycoplasma
30,hyopneumoniae,rpmh,5522.56,mycoplasma
31,hyopneumoniae,rpmg,6038.24,mycoplasma
32,hyopneumoniae,rpsz,7145.69,mycoplasma
33,hyopneumoniae,rpmb,7262.57,mycoplasma
34,hyopneumoniae,rpmi,7412.89,mycoplasma
35,hyopneumoniae,rpmf,7520.97,mycoplasma
36,hyopneumoniae,rpme,8478.99,mycoplasma
37,hyopneumoniae,infa,8666.34,mycoplasma
38,hyopneumoniae,sece,8723.68,mycoplasma
39,hyopneumoniae,rpma,9103.59,mycoplasma
40,hyopneumoniae,rpst,9924.71,mycoplasma
41,hyopneumoniae,hima,10014.83,mycoplasma
42,hyopneumoniae,rpsr,10289.29,mycoplasma
43,hyopneumoniae,rpsp,10354.1,mycoplasma
44,hyopneumoniae,rpso,10406.34,mycoplasma
46,hyopneumoniae,rpsq,11182.27,mycoplasma
47,hyopneumoniae,rplu,11269.25,mycoplasma
