,species,gn,mw,genus
0,ivanovii,rpmj,4323.43,listeria
1,ivanovii,rpmh,5299.37,listeria
2,ivanovii,rpmg,5697.62,listeria
3,ivanovii,rpmf,6313.2,listeria
4,ivanovii,rpmd,6492.75,listeria
6,ivanovii,rpsu,6845.99,listeria
8,ivanovii,sece,6896.36,listeria
9,ivanovii,rpsz,7146.68,listeria
10,ivanovii,rpmc,7401.55,listeria
11,ivanovii,rpoz,7584.83,listeria
12,ivanovii,infa,8217.58,listeria
13,ivanovii,xseb,8281.36,listeria
15,ivanovii,acpa,8389.32,listeria
20,ivanovii,hfq,8715.0,listeria
21,ivanovii,dltc,9020.3,listeria
22,ivanovii,rpsr,9097.79,listeria
23,ivanovii,rpst,9168.53,listeria
25,ivanovii,rpme,9289.37,listeria
26,ivanovii,purs,9358.84,listeria
29,ivanovii,hup,9882.41,listeria
31,ivanovii,rpsq,10035.67,listeria
32,ivanovii,gros,10134.62,listeria
34,ivanovii,rpsp,10365.14,listeria
35,ivanovii,flie,10407.81,listeria
38,ivanovii,rpsn,10439.18,listeria
39,ivanovii,rpss,10475.08,listeria
41,ivanovii,rpma,10550.9,listeria
42,ivanovii,rpso,10631.33,listeria
43,ivanovii,gatc,10640.02,listeria
45,ivanovii,cbin,10800.5,listeria
46,ivanovii,cas2,10879.66,listeria
47,ivanovii,rplw,10929.68,listeria
48,ivanovii,rplx,11193.28,listeria
49,ivanovii,rplu,11214.03,listeria
51,ivanovii,spov,11331.6,listeria
53,ivanovii,spov,11359.66,listeria
57,ivanovii,rpsf,11493.07,listeria
58,ivanovii,trxa,11622.32,listeria
59,ivanovii,rpsj,11681.65,listeria
61,ivanovii,hise,11809.63,listeria
63,fleischmannii,rpmj,4323.43,listeria
64,fleischmannii,rpmh,5269.35,listeria
65,fleischmannii,rpmg,6007.01,listeria
66,fleischmannii,rpmf,6064.11,listeria
67,fleischmannii,rpmd,6520.76,listeria
69,fleischmannii,rpmf,6620.75,listeria
70,fleischmannii,rpsu,6845.99,listeria
72,fleischmannii,sece,6871.32,listeria
73,fleischmannii,rpmb,7077.39,listeria
74,fleischmannii,rpsz,7158.7,listeria
75,fleischmannii,rpmc,7403.61,listeria
76,fleischmannii,rpoz,7473.62,listeria
77,fleischmannii,rpmi,7704.35,listeria
80,fleischmannii,infa,8217.58,listeria
81,fleischmannii,acpp,8317.29,listeria
83,fleischmannii,hfq,8585.84,listeria
85,fleischmannii,xseb,8616.74,listeria
86,fleischmannii,rpsr,9065.79,listeria
87,fleischmannii,rpst,9090.59,listeria
88,fleischmannii,dltc,9096.21,listeria
90,fleischmannii,purs,9195.44,listeria
92,fleischmannii,rpme,9278.35,listeria
96,fleischmannii,rpsq,10070.78,listeria
97,fleischmannii,gros,10105.62,listeria
100,fleischmannii,rpsp,10311.07,listeria
102,fleischmannii,rpma,10464.81,listeria
104,fleischmannii,rpss,10558.18,listeria
105,fleischmannii,rpsn,10575.38,listeria
106,fleischmannii,rpso,10631.33,listeria
107,fleischmannii,gatc,10658.13,listeria
108,fleischmannii,spov,10658.87,listeria
110,fleischmannii,rplw,10941.69,listeria
111,fleischmannii,rplx,11193.24,listeria
112,fleischmannii,rplu,11201.98,listeria
115,fleischmannii,spov,11388.62,listeria
119,fleischmannii,rpsf,11531.03,listeria
121,fleischmannii,hise,11631.3,listeria
122,fleischmannii,rpsj,11667.63,listeria
126,fleischmannii,hisi,11895.7,listeria
128,innocua,rpmj,4323.43,listeria
129,innocua,rpmh,5299.37,listeria
130,innocua,rpmg,5697.62,listeria
131,innocua,rpmg,6007.01,listeria
132,innocua,rpmf,6357.3,listeria
133,innocua,rpmd,6492.75,listeria
134,innocua,rpmf,6519.54,listeria
136,innocua,sece,6892.39,listeria
137,innocua,tata,6919.04,listeria
138,innocua,rpmb,6991.33,listeria
139,innocua,rpsz,7146.68,listeria
140,innocua,rpmc,7401.55,listeria
141,innocua,rpmi,7720.35,listeria
142,innocua,rpoz,7729.03,listeria
143,innocua,rpsu,8056.33,listeria
144,innocua,infa,8217.58,listeria
146,innocua,xseb,8281.32,listeria
148,innocua,acpp,8359.34,listeria
154,innocua,hfq,8715.0,listeria
156,innocua,dltc,8996.24,listeria
157,innocua,moad,9097.53,listeria
158,innocua,rpsr,9097.79,listeria
160,innocua,rpme,9258.36,listeria
161,innocua,purs,9359.82,listeria
165,innocua,rpsq,10035.67,listeria
166,innocua,gros,10064.48,listeria
167,innocua,rpsp,10383.18,listeria
168,innocua,flie,10384.73,listeria
170,innocua,rpsn,10449.11,listeria
172,innocua,rpss,10475.08,listeria
