,species,gn,mw,genus
0,meningitidis,acpp,8511.39,neisseria
1,gonorrhoeae,acpp,8525.41,neisseria
6,gonorrhoeae,arsc,11413.23,neisseria
7,meningitidis,clps,11739.43,neisseria
8,gonorrhoeae,gros,10286.96,neisseria
9,meningitidis,gros,10331.02,neisseria
11,meningitidis,gros,10315.02,neisseria
12,gonorrhoeae,clps,11385.15,neisseria
13,meningitidis,gros,10186.84,neisseria
14,meningitidis,clps,11411.23,neisseria
15,meningitidis,cyay,11996.15,neisseria
16,gonorrhoeae,cyay,11996.15,neisseria
17,meningitidis,cyay,11995.21,neisseria
19,meningitidis,cyay,11936.1,neisseria
20,meningitidis,hupb,9347.67,neisseria
21,meningitidis,hupb,9715.98,neisseria
23,meningitidis,gatc,10925.41,neisseria
24,gonorrhoeae,gatc,11032.51,neisseria
25,gonorrhoeae,ftsb,10563.01,neisseria
27,meningitidis,ftsb,10563.01,neisseria
29,gonorrhoeae,ftsl,9991.52,neisseria
31,meningitidis,gatc,10958.39,neisseria
32,meningitidis,grx,9282.63,neisseria
33,meningitidis,grx,9312.65,neisseria
34,gonorrhoeae,leud,9101.19,neisseria
35,gonorrhoeae,nuok,11078.34,neisseria
36,meningitidis,nuok,11078.34,neisseria
38,meningitidis,ptsh,9693.11,neisseria
39,meningitidis,rplx,11666.82,neisseria
41,gonorrhoeae,rpma,9699.02,neisseria
42,meningitidis,rpma,9685.0,neisseria
43,meningitidis,rpme,8118.3,neisseria
44,meningitidis,rpmg,5937.04,neisseria
45,gonorrhoeae,rpmh,5051.06,neisseria
46,meningitidis,rpmb,8818.24,neisseria
47,meningitidis,rpmc,7078.33,neisseria
49,gonorrhoeae,rpmd,6936.15,neisseria
50,meningitidis,rpmd,6946.19,neisseria
51,gonorrhoeae,rpme,10408.65,neisseria
52,meningitidis,rpmi,7356.87,neisseria
53,meningitidis,rpmj,4489.49,neisseria
54,meningitidis,rpmj,4942.92,neisseria
55,meningitidis,rplu,11448.44,neisseria
56,gonorrhoeae,rplw,11463.41,neisseria
57,meningitidis,rplw,11388.28,neisseria
59,gonorrhoeae,rpmi,7356.87,neisseria
60,meningitidis,rpmj,4914.91,neisseria
62,gonorrhoeae,rpmc,7078.33,neisseria
64,meningitidis,rpme,10445.67,neisseria
65,gonorrhoeae,rpmf,6533.5,neisseria
66,meningitidis,rpmf,6473.4,neisseria
68,meningitidis,rpmh,5051.06,neisseria
71,gonorrhoeae,rplv,11908.83,neisseria
72,meningitidis,rplv,11908.83,neisseria
73,gonorrhoeae,rpme,10424.7,neisseria
74,meningitidis,rpme,10464.72,neisseria
75,meningitidis,rpmf,6501.45,neisseria
76,gonorrhoeae,rpmg,5907.01,neisseria
82,meningitidis,rpme,10482.76,neisseria
87,gonorrhoeae,rplu,11447.45,neisseria
89,meningitidis,rplw,11418.31,neisseria
97,gonorrhoeae,rpmb,8818.24,neisseria
101,gonorrhoeae,rpme,8165.4,neisseria
104,gonorrhoeae,rnfh,10372.91,neisseria
106,meningitidis,rnfh,10343.87,neisseria
109,gonorrhoeae,rpmj,4958.92,neisseria
111,meningitidis,rpoz,7471.47,neisseria
112,meningitidis,rpoz,7499.53,neisseria
117,gonorrhoeae,slyx,8678.83,neisseria
118,meningitidis,slyx,8631.73,neisseria
119,meningitidis,slyx,8665.75,neisseria
120,meningitidis,slyx,8648.81,neisseria
123,gonorrhoeae,tata,7404.52,neisseria
124,meningitidis,tata,7404.52,neisseria
148,gonorrhoeae,xseb,8363.38,neisseria
149,meningitidis,xseb,8358.45,neisseria
150,meningitidis,xseb,8375.44,neisseria
151,meningitidis,xseb,8286.38,neisseria
154,gonorrhoeae,fita,8433.58,neisseria
156,meningitidis,fbp,11849.58,neisseria
160,meningitidis,fbp,11837.61,neisseria
163,meningitidis,fbp,11788.54,neisseria
165,meningitidis,ftsl,10185.86,neisseria
167,meningitidis,hfq,10841.49,neisseria
169,meningitidis,hfq,10811.46,neisseria
170,meningitidis,hise,11895.56,neisseria
171,gonorrhoeae,hita,11611.76,neisseria
172,meningitidis,hise,11923.62,neisseria
173,gonorrhoeae,hise,11925.59,neisseria
175,gonorrhoeae,hfq,10783.45,neisseria
176,gonorrhoeae,infa,8294.73,neisseria
177,gonorrhoeae,ihfa,11392.04,neisseria
178,meningitidis,ihfa,11422.06,neisseria
180,meningitidis,ihfb,11803.67,neisseria
181,meningitidis,infa,8294.73,neisseria
183,gonorrhoeae,ihfa,10836.44,neisseria
185,gonorrhoeae,ihfb,11803.67,neisseria
192,gonorrhoeae,mine,10040.7,neisseria
193,meningitidis,mine,10044.69,neisseria
194,meningitidis,mine,10074.71,neisseria
200,meningitidis,prib,11594.52,neisseria
201,meningitidis,prib,11622.57,neisseria
203,meningitidis,prib,11617.6,neisseria
204,gonorrhoeae,prib,11445.34,neisseria
213,meningitidis,rplw,11268.15,neisseria
214,gonorrhoeae,rplx,11607.84,neisseria
216,meningitidis,rpsp,9291.63,neisseria
217,meningitidis,rpsr,8992.58,neisseria
219,gonorrhoeae,rpst,9508.09,neisseria
220,gonorrhoeae,rpoz,7499.53,neisseria
221,meningitidis,rpsn,11517.62,neisseria
224,gonorrhoeae,rpsn,11517.62,neisseria
225,meningitidis,rpsn,11516.63,neisseria
226,meningitidis,rpso,10386.11,neisseria
228,gonorrhoeae,rpsj,11806.83,neisseria
229,gonorrhoeae,rpsj,11882.94,neisseria
230,meningitidis,rpsj,11806.83,neisseria
234,gonorrhoeae,rpsj,11898.99,neisseria
236,meningitidis,rpsj,11796.79,neisseria
238,gonorrhoeae,rpsp,9319.69,neisseria
241,meningitidis,rpst,9508.09,neisseria
242,gonorrhoeae,rpsq,9820.41,neisseria
243,meningitidis,rpsq,9830.45,neisseria
245,meningitidis,rpss,10362.21,neisseria
247,meningitidis,rpsu,8354.95,neisseria
248,gonorrhoeae,rpso,10386.11,neisseria
251,gonorrhoeae,rpsr,8992.58,neisseria
255,gonorrhoeae,rpss,10390.26,neisseria
262,gonorrhoeae,rpsu,8354.95,neisseria
274,gonorrhoeae,yacg,7736.8,neisseria
275,meningitidis,yacg,7811.89,neisseria
278,meningitidis,yacg,7871.0,neisseria
286,meningitidis,yacg,7851.89,neisseria
293,meningitidis,yacg,7840.98,neisseria
296,gonorrhoeae,rplu,11908.0,neisseria
297,gonorrhoeae,mine,9840.46,neisseria
300,gonorrhoeae,hfq,10166.71,neisseria
301,gonorrhoeae,prib,11553.51,neisseria
304,gonorrhoeae,rpss,8811.39,neisseria
310,gonorrhoeae,rpmi,10473.42,neisseria
311,gonorrhoeae,rpmb,8161.39,neisseria
314,gonorrhoeae,rpme,9152.6,neisseria
315,gonorrhoeae,rplw,10024.65,neisseria
316,gonorrhoeae,ftsl,9977.49,neisseria
319,gonorrhoeae,rpsf,11483.28,neisseria
320,gonorrhoeae,orf1,9977.49,neisseria
321,gonorrhoeae,pile,4275.79,neisseria
323,meningitidis,phet,10700.22,neisseria
325,meningitidis,ruba,6369.16,neisseria
326,meningitidis,ygbq,10563.01,neisseria
328,meningitidis,ycar,7065.21,neisseria
336,meningitidis,lola,11792.2,neisseria
338,meningitidis,rpsj,11822.82,neisseria
345,meningitidis,yacg,7870.93,neisseria
346,meningitidis,fis,8937.53,neisseria
349,meningitidis,cas2,11852.05,neisseria
356,meningitidis,bola,10003.41,neisseria
357,meningitidis,gcvr,10400.19,neisseria
358,meningitidis,rplr,10121.55,neisseria
359,meningitidis,ftsl,10127.82,neisseria
360,meningitidis,pile,9545.95,neisseria
363,meningitidis,isca,11581.0,neisseria
368,meningitidis,trxa,11830.79,neisseria
369,meningitidis,slyx,8747.94,neisseria
371,meningitidis,fbp3,8142.52,neisseria
372,meningitidis,xseb,8359.4,neisseria
374,meningitidis,tate,7404.52,neisseria
381,meningitidis,rplk,7643.9,neisseria
383,meningitidis,ygbq,10574.04,neisseria
391,meningitidis,ruba,6395.2,neisseria
400,meningitidis,tsf,3750.46,neisseria
408,meningitidis,xseb,11393.82,neisseria
411,meningitidis,metb,11551.23,neisseria
414,meningitidis,bola,9058.46,neisseria
418,meningitidis,lpxk,7095.24,neisseria
424,meningitidis,grea,4439.21,neisseria
430,meningitidis,fbp3,11788.54,neisseria
432,meningitidis,rplt,9159.71,neisseria
440,meningitidis,nuok,11006.27,neisseria
441,meningitidis,fkpa,11837.61,neisseria
452,meningitidis,rpme,8134.3,neisseria
459,meningitidis,tata,7346.48,neisseria
463,meningitidis,slyx,8661.76,neisseria
468,meningitidis,groe,10295.97,neisseria
