,species,gn,mw,genus
0,aphidicola,rpmj,4422.35,buchnera
1,aphidicola,rpmh,5673.77,buchnera
2,aphidicola,rpmf,6249.31,buchnera
3,aphidicola,rpmg,6462.6,buchnera
4,aphidicola,rpmd,6681.11,buchnera
5,aphidicola,csra,6899.04,buchnera
6,aphidicola,rpmi,7590.29,buchnera
7,aphidicola,rpmc,7833.42,buchnera
8,aphidicola,ftsb,7917.6,buchnera
9,aphidicola,infa,8414.93,buchnera
10,aphidicola,rpme,8419.87,buchnera
11,aphidicola,rpsu,8564.21,buchnera
12,aphidicola,rpmb,8886.71,buchnera
13,aphidicola,acpp,9040.4,buchnera
14,aphidicola,rpsr,9065.55,buchnera
15,aphidicola,rpma,9170.61,buchnera
16,aphidicola,tusa,9221.32,buchnera
20,aphidicola,mine,9770.46,buchnera
21,aphidicola,rpsq,9942.89,buchnera
22,aphidicola,rpsp,10009.75,buchnera
24,aphidicola,rpst,10041.88,buchnera
26,aphidicola,groe,10271.77,buchnera
27,aphidicola,rpso,10457.2,buchnera
28,aphidicola,rpss,10540.46,buchnera
30,aphidicola,ihfb,10887.76,buchnera
31,aphidicola,nuok,10952.32,buchnera
32,aphidicola,rply,11067.45,buchnera
34,aphidicola,rplw,11669.96,buchnera
35,aphidicola,ihfa,11790.02,buchnera
36,aphidicola,rpsj,11824.7,buchnera
37,aphidicola,rpsn,11853.14,buchnera
38,aphidicola,rplx,11939.13,buchnera
40,aphidicola,rpmj,4519.56,buchnera
41,aphidicola,rpmd,6458.91,buchnera
42,aphidicola,rpmc,7698.25,buchnera
43,aphidicola,rpsq,9811.86,buchnera
44,aphidicola,rpss,10890.03,buchnera
45,aphidicola,yhel,11007.18,buchnera
46,aphidicola,rpsj,11789.78,buchnera
47,aphidicola,rplw,11812.2,buchnera
48,aphidicola,rpsn,11995.37,buchnera
49,aphidicola,rpmj,4567.6,buchnera
50,aphidicola,rpmh,5366.48,buchnera
51,aphidicola,rpmf,6565.74,buchnera
52,aphidicola,rpmg,6580.87,buchnera
53,aphidicola,csra,6812.13,buchnera
54,aphidicola,rpmc,7432.27,buchnera
55,aphidicola,rpmd,7512.27,buchnera
56,aphidicola,rpmi,7662.23,buchnera
57,aphidicola,rpme,8084.53,buchnera
58,aphidicola,ybab,8204.48,buchnera
59,aphidicola,infa,8261.74,buchnera
60,aphidicola,rpsu,8547.13,buchnera
61,aphidicola,rpsr,8951.59,buchnera
62,aphidicola,rplx,9093.9,buchnera
63,aphidicola,acpp,9233.92,buchnera
64,aphidicola,sira,9273.38,buchnera
65,aphidicola,yebd,9553.53,buchnera
66,aphidicola,mine,9724.66,buchnera
67,aphidicola,rpsq,9771.81,buchnera
68,aphidicola,rpsp,10016.07,buchnera
69,aphidicola,rpmb,10129.26,buchnera
70,aphidicola,gros,10438.13,buchnera
71,aphidicola,rpso,10544.62,buchnera
72,aphidicola,rpss,10650.58,buchnera
73,aphidicola,rpst,10849.08,buchnera
74,aphidicola,yhel,11219.39,buchnera
75,aphidicola,ihfb,11308.21,buchnera
76,aphidicola,nuok,11501.04,buchnera
77,aphidicola,rplw,11622.99,buchnera
78,aphidicola,rpsj,11741.61,buchnera
79,aphidicola,rply,11834.14,buchnera
80,aphidicola,rpsn,11902.33,buchnera
81,aphidicola,ihfa,11923.08,buchnera
82,aphidicola,leua,6190.2,buchnera
83,aphidicola,leub,10653.31,buchnera
84,aphidicola,rpmj,4434.36,buchnera
85,aphidicola,rpmh,5674.8,buchnera
86,aphidicola,rpmf,6232.3,buchnera
87,aphidicola,rpmg,6485.68,buchnera
88,aphidicola,rpmd,6728.21,buchnera
89,aphidicola,csra,6970.12,buchnera
90,aphidicola,rpmi,7534.18,buchnera
91,aphidicola,rpmc,7832.45,buchnera
92,aphidicola,rpme,8350.89,buchnera
93,aphidicola,infa,8376.83,buchnera
94,aphidicola,rpsu,8578.19,buchnera
95,aphidicola,rpsr,8998.5,buchnera
96,aphidicola,rpma,9069.65,buchnera
97,aphidicola,rpmb,9134.02,buchnera
98,aphidicola,sira,9216.1,buchnera
99,aphidicola,acpp,9428.61,buchnera
100,aphidicola,yggx,9461.2,buchnera
101,aphidicola,yrba,9617.38,buchnera
102,aphidicola,mine,9765.39,buchnera
103,aphidicola,ftsb,9782.76,buchnera
104,aphidicola,rpsq,9793.68,buchnera
105,aphidicola,hupa,9811.46,buchnera
106,aphidicola,rpst,10100.1,buchnera
107,aphidicola,rpsp,10111.12,buchnera
108,aphidicola,ybed,10118.08,buchnera
109,aphidicola,gros,10271.86,buchnera
110,aphidicola,rpso,10549.42,buchnera
111,aphidicola,rpss,10599.61,buchnera
112,aphidicola,yhel,10985.27,buchnera
113,aphidicola,ihfb,11056.91,buchnera
114,aphidicola,rply,11217.22,buchnera
115,aphidicola,nuok,11226.67,buchnera
116,aphidicola,fis,11603.78,buchnera
117,aphidicola,yfjf,11620.7,buchnera
118,aphidicola,rplw,11627.79,buchnera
119,aphidicola,rplx,11648.72,buchnera
120,aphidicola,flie,11751.54,buchnera
121,aphidicola,rpsn,11791.83,buchnera
122,aphidicola,rpsj,11810.67,buchnera
123,aphidicola,ihfa,11840.85,buchnera
124,aphidicola,ybab,11878.76,buchnera
125,aphidicola,rpmj,4490.51,buchnera
126,aphidicola,rpmh,5632.71,buchnera
127,aphidicola,rpmf,6276.49,buchnera
128,aphidicola,rpmg,6470.62,buchnera
129,aphidicola,rpmd,6749.23,buchnera
130,aphidicola,csra,7017.22,buchnera
131,aphidicola,rpmi,7618.21,buchnera
132,aphidicola,rpme,7628.03,buchnera
133,aphidicola,rpmc,7770.51,buchnera
134,aphidicola,infa,8392.83,buchnera
135,aphidicola,rpsu,8592.22,buchnera
136,aphidicola,rpsr,9009.53,buchnera
137,aphidicola,sira,9054.95,buchnera
138,aphidicola,rpma,9078.56,buchnera
139,aphidicola,rpmb,9102.92,buchnera
140,aphidicola,acpp,9350.67,buchnera
141,aphidicola,yrba,9358.18,buchnera
142,aphidicola,yggx,9631.29,buchnera
143,aphidicola,mine,9673.25,buchnera
144,aphidicola,hupa,9807.51,buchnera
145,aphidicola,rpsq,9833.7,buchnera
146,aphidicola,rpst,10010.78,buchnera
147,aphidicola,rpsp,10040.94,buchnera
148,aphidicola,ybed,10221.31,buchnera
149,aphidicola,gros,10284.86,buchnera
150,aphidicola,rpso,10594.58,buchnera
151,aphidicola,ihfb,10966.03,buchnera
152,aphidicola,yhel,11097.28,buchnera
153,aphidicola,nuok,11245.73,buchnera
154,aphidicola,rply,11379.33,buchnera
155,aphidicola,fis,11549.8,buchnera
156,aphidicola,rplx,11632.68,buchnera
157,aphidicola,rplw,11667.86,buchnera
158,aphidicola,rpss,11696.87,buchnera
159,aphidicola,ihfa,11777.67,buchnera
161,aphidicola,rpsn,11918.11,buchnera
