,species,gn,mw,genus
0,pneumoniae,aaex,7855.62,klebsiella
1,pneumoniae,acyp,10520.12,klebsiella
2,pneumoniae,acpp,8639.54,klebsiella
4,pneumoniae,araa,5185.77,klebsiella
5,pneumoniae,atpe,8256.16,klebsiella
7,pneumoniae,cbin,10315.97,klebsiella
8,pneumoniae,cbin,10291.9,klebsiella
9,pneumoniae,gros,10359.99,klebsiella
10,pneumoniae,csra,6855.91,klebsiella
12,oxytoca,elbb,8551.84,klebsiella
13,pneumoniae,ftsb,11951.41,klebsiella
14,pneumoniae,citd,10427.09,klebsiella
15,pneumoniae,citd,10413.06,klebsiella
17,pneumoniae,gros,10384.05,klebsiella
18,pneumoniae,cspa,4982.5,klebsiella
19,oxytoca,dapd,5582.34,klebsiella
20,pneumoniae,dsrb,7005.91,klebsiella
21,pneumoniae,xseb,8824.75,klebsiella
24,pneumoniae,fis,11239.97,klebsiella
26,pneumoniae,feoc,8801.41,klebsiella
29,pneumoniae,fis,10646.27,klebsiella
30,oxytoca,niff,6704.84,klebsiella
32,pneumoniae,hisg,11408.14,klebsiella
33,pneumoniae,hfq,11003.23,klebsiella
34,oxytoca,hpf,10759.39,klebsiella
36,pneumoniae,hspq,11881.17,klebsiella
37,pneumoniae,infa,8249.6,klebsiella
38,pneumoniae,ihfb,10808.29,klebsiella
40,pneumoniae,ihfa,11353.01,klebsiella
42,pneumoniae,ihfb,10736.23,klebsiella
43,pneumoniae,mceb,10943.28,klebsiella
44,pneumoniae,isca,11448.93,klebsiella
45,pneumoniae,irap,9836.49,klebsiella
46,pneumoniae,irap,9845.5,klebsiella
47,pneumoniae,mdti,11677.0,klebsiella
48,pneumoniae,mhbi,1386.53,klebsiella
49,pneumoniae,mcea,9561.52,klebsiella
50,pneumoniae,mgrb,5543.89,klebsiella
51,pneumoniae,nuok,10798.02,klebsiella
52,pneumoniae,oadg,8956.8,klebsiella
53,pneumoniae,oadg,8908.78,klebsiella
54,pneumoniae,isca,11464.93,klebsiella
55,oxytoca,lptb,7914.14,klebsiella
56,pneumoniae,mdcc,10536.95,klebsiella
57,pneumoniae,male,1159.35,klebsiella
58,oxytoca,map,4826.42,klebsiella
59,pneumoniae,hisl,2002.17,klebsiella
60,pneumoniae,thrl,2237.63,klebsiella
62,pneumoniae,mdh,11912.83,klebsiella
63,pneumoniae,lsrg,11517.3,klebsiella
