,species,gn,mw,genus
0,abikoensis,rpob,11336.96,streptomyces
1,achromogenes,rubr,8594.13,streptomyces
2,achromogenes,rubr,8541.05,streptomyces
3,achromogenes,tomn,7063.07,streptomyces
4,achromogenes,rpob,11290.88,streptomyces
5,acidiscabies,rpob,11322.93,streptomyces
6,acidiscabies,rpob,11349.95,streptomyces
7,acidiscabies,rpob,11321.94,streptomyces
8,acidiscabies,gatc,10686.05,streptomyces
9,acidiscabies,rpoz,9592.89,streptomyces
10,acidiscabies,infa,8410.9,streptomyces
11,acidiscabies,rpmc,8402.61,streptomyces
12,acidiscabies,rpmd,7002.11,streptomyces
13,acidiscabies,acpm,8642.7,streptomyces
14,acidiscabies,rpma,8841.01,streptomyces
15,acidiscabies,whib,9878.17,streptomyces
16,acidiscabies,rpsq,10788.48,streptomyces
17,acidiscabies,hup,9821.21,streptomyces
20,acidiscabies,rpss,10497.34,streptomyces
21,acidiscabies,rpsf,11199.97,streptomyces
22,acidiscabies,ureb,10829.33,streptomyces
24,acidiscabies,purs,9528.92,streptomyces
26,acidiscabies,rpsr,9261.88,streptomyces
29,acidiscabies,rpmj,4415.43,streptomyces
30,acidiscabies,rpso,10762.57,streptomyces
31,acidiscabies,nuok,10736.94,streptomyces
34,acidiscabies,rpmi,7022.28,streptomyces
36,acidiscabies,rpsr,9027.68,streptomyces
37,acidiscabies,whmd,8902.04,streptomyces
38,acidiscabies,tata,9668.23,streptomyces
39,acidiscabies,rpst,9529.1,streptomyces
41,acidiscabies,rpsj,11521.5,streptomyces
42,acidiscabies,sece,10534.42,streptomyces
43,acidiscabies,acyp,10007.23,streptomyces
44,acidiscabies,rplx,11491.28,streptomyces
45,acidiscabies,rpmf,6588.78,streptomyces
46,acidiscabies,hise,9957.32,streptomyces
47,acidiscabies,rpmf,6339.46,streptomyces
49,acidiscabies,rpsn,6963.4,streptomyces
53,acidiscabies,rplu,11647.47,streptomyces
54,acidiscabies,urea,11076.8,streptomyces
55,acidiscabies,xseb,8222.01,streptomyces
57,acidiscabies,whib,10462.17,streptomyces
58,acidiscabies,clps,11897.5,streptomyces
60,acidiscabies,emre,10118.06,streptomyces
65,acidiscabies,gros,10957.54,streptomyces
66,acidiscabies,rpmh,10827.26,streptomyces
68,acidiscabies,tata,10222.88,streptomyces
70,acidiscabies,rpmb,6648.69,streptomyces
71,acidiscabies,pup,7971.41,streptomyces
75,acidiscabies,rpme,7982.09,streptomyces
77,acidiscabies,xseb,8236.03,streptomyces
78,acidiscabies,crga,9208.93,streptomyces
80,acidiscabies,crga,9181.91,streptomyces
83,acidiscabies,pup,8962.5,streptomyces
86,acidiscabies,gros,10944.54,streptomyces
87,acidiscabies,clps,11644.2,streptomyces
88,acidiscabies,rpme,8031.16,streptomyces
89,acidiscabies,hiuh,11077.48,streptomyces
92,acidiscabies,cas2,10885.44,streptomyces
94,acidiscabies,whib,11820.35,streptomyces
95,acidiscabies,rpmh,5296.25,streptomyces
96,actuosus,nosm,5364.01,streptomyces
97,afghaniensis,sece,10401.29,streptomyces
98,afghaniensis,rpmj,4401.4,streptomyces
99,afghaniensis,rpmc,8444.65,streptomyces
100,afghaniensis,gatc,10765.19,streptomyces
104,afghaniensis,rpoz,9694.98,streptomyces
105,afghaniensis,rplu,11694.39,streptomyces
106,afghaniensis,urea,11106.83,streptomyces
108,afghaniensis,rpmd,6887.96,streptomyces
111,afghaniensis,rpsr,9079.58,streptomyces
112,afghaniensis,whib,9259.47,streptomyces
113,afghaniensis,rpmf,6603.75,streptomyces
114,afghaniensis,rpme,9434.59,streptomyces
116,afghaniensis,rbpa,10583.67,streptomyces
118,afghaniensis,rpmh,5282.22,streptomyces
119,afghaniensis,hise,9961.36,streptomyces
123,afghaniensis,rpst,9510.14,streptomyces
124,afghaniensis,nuok,10720.94,streptomyces
125,afghaniensis,pup,7927.4,streptomyces
126,afghaniensis,whib,9323.57,streptomyces
127,afghaniensis,acpp,8916.99,streptomyces
128,afghaniensis,clps,11902.47,streptomyces
129,afghaniensis,xseb,8966.87,streptomyces
131,afghaniensis,rpsr,8497.0,streptomyces
132,afghaniensis,ureb,10803.27,streptomyces
133,afghaniensis,rpso,10754.5,streptomyces
134,afghaniensis,purs,9615.02,streptomyces
135,afghaniensis,rpme,9243.05,streptomyces
136,afghaniensis,whib,10627.16,streptomyces
139,afghaniensis,nuok,10614.9,streptomyces
140,afghaniensis,whib,9639.93,streptomyces
141,afghaniensis,purs,8744.93,streptomyces
143,afghaniensis,purs,9615.96,streptomyces
147,afghaniensis,gros,10946.47,streptomyces
148,afghaniensis,rpmi,7081.35,streptomyces
150,afghaniensis,rpsq,10821.51,streptomyces
151,afghaniensis,rpme,7930.06,streptomyces
153,afghaniensis,tata,9886.49,streptomyces
154,afghaniensis,crcb,11855.88,streptomyces
155,afghaniensis,whib,9033.07,streptomyces
157,afghaniensis,tata,8569.95,streptomyces
161,afghaniensis,rpsf,11100.84,streptomyces
162,afghaniensis,whib,9866.12,streptomyces
164,afghaniensis,rpsz,7296.76,streptomyces
165,afghaniensis,rpsn,11592.21,streptomyces
166,afghaniensis,crga,9196.94,streptomyces
167,afghaniensis,rpmb,6608.62,streptomyces
168,afghaniensis,rpmg,6406.47,streptomyces
169,afghaniensis,rpss,10543.32,streptomyces
170,afghaniensis,whib,10093.78,streptomyces
171,afghaniensis,rpsj,9793.46,streptomyces
173,afghaniensis,rpmg,6458.39,streptomyces
175,afghaniensis,rpma,8817.98,streptomyces
176,afghaniensis,rpmb,8773.16,streptomyces
177,afghaniensis,infa,8410.9,streptomyces
179,albireticuli,rpob,11336.96,streptomyces
180,albofaciens,rpob,11288.91,streptomyces
181,alboflavus,rpob,11349.95,streptomyces
182,albogriseolus,rpob,11376.98,streptomyces
183,albolongus,rpob,11322.93,streptomyces
184,alboniger,rplu,11163.85,streptomyces
185,alboniger,rpmc,7313.37,streptomyces
186,alboniger,rpoz,7827.95,streptomyces
187,alboniger,rpmg,6090.22,streptomyces
188,alboniger,rpst,8977.22,streptomyces
189,alboniger,rpme,9967.92,streptomyces
190,alboniger,rpss,10559.27,streptomyces
191,alboniger,rpsr,8972.62,streptomyces
192,alboniger,rpmh,5341.42,streptomyces
193,alboniger,rpsn,7225.65,streptomyces
195,alboniger,gros,9783.09,streptomyces
196,alboniger,rpmf,6878.99,streptomyces
197,alboniger,rpsp,10839.57,streptomyces
199,alboniger,rpsu,6801.94,streptomyces
200,alboniger,rplw,11055.97,streptomyces
201,alboniger,rpmd,6441.7,streptomyces
203,alboniger,acpp,8578.38,streptomyces
204,alboniger,rpma,10361.71,streptomyces
205,alboniger,rpsj,11607.58,streptomyces
206,alboniger,infa,8352.78,streptomyces
210,alboniger,rpmb,7045.14,streptomyces
212,alboniger,rpso,10499.05,streptomyces
213,alboniger,xseb,9041.09,streptomyces
215,alboniger,rpsf,11728.2,streptomyces
216,alboniger,rpmi,7887.18,streptomyces
219,alboniger,rpsq,10289.93,streptomyces
220,alboniger,rpob,11349.95,streptomyces
223,alboniger,sece,6614.9,streptomyces
225,alboniger,acpp,8726.68,streptomyces
226,alboviridis,rpob,11349.95,streptomyces
227,albulus,rpob,11288.91,streptomyces
228,albulus,infa,8424.97,streptomyces
229,albulus,rpsn,6963.4,streptomyces
230,albulus,rpmj,4389.43,streptomyces
231,albulus,whib,9915.26,streptomyces
232,albulus,rpsr,8961.57,streptomyces
234,albulus,whib,9802.01,streptomyces
235,albulus,sece,10517.41,streptomyces
237,albulus,rbpa,10569.64,streptomyces
238,albulus,whib,9941.23,streptomyces
239,albulus,gros,10990.57,streptomyces
240,albulus,rplu,11579.35,streptomyces
243,albulus,rpmg,6492.39,streptomyces
244,albulus,rplw,11558.32,streptomyces
245,albulus,urea,11016.71,streptomyces
247,albulus,rplu,11603.37,streptomyces
249,albulus,whib,11588.08,streptomyces
250,albulus,whib,9643.94,streptomyces
251,albulus,rpmd,6931.03,streptomyces
252,albulus,pup,7975.45,streptomyces
253,albulus,rpmf,6553.73,streptomyces
254,albulus,rpme,9599.7,streptomyces
255,albulus,rpmb,6622.65,streptomyces
256,albulus,purs,8180.41,streptomyces
257,albulus,rpmc,8428.65,streptomyces
258,albulus,rpso,10843.62,streptomyces
259,albulus,urea,11089.8,streptomyces
260,albulus,hise,9894.31,streptomyces
261,albulus,rpmf,6400.46,streptomyces
263,albulus,rpsr,9458.87,streptomyces
264,albulus,rpsq,10777.5,streptomyces
268,albulus,xseb,8486.42,streptomyces
269,albulus,rpmh,5268.19,streptomyces
270,albulus,rpmb,8788.11,streptomyces
271,albulus,rpsr,8985.61,streptomyces
272,albulus,rpme,8090.25,streptomyces
273,albulus,rplx,11665.44,streptomyces
275,albulus,gatc,10725.13,streptomyces
276,albulus,rpmh,5267.16,streptomyces
277,albulus,rpss,10573.35,streptomyces
278,albulus,nuok,10658.87,streptomyces
279,albulus,rpsf,11185.94,streptomyces
280,albulus,rpmg,6406.47,streptomyces
281,albulus,acpp,8929.99,streptomyces
283,albulus,rpsj,11521.5,streptomyces
284,albulus,rpsn,11665.4,streptomyces
285,albulus,crga,9220.0,streptomyces
286,albulus,rpst,9222.78,streptomyces
287,albulus,gatc,10743.1,streptomyces
288,albulus,rpmi,7082.44,streptomyces
289,albulus,whib,9152.21,streptomyces
291,albulus,rpma,8931.09,streptomyces
292,albulus,ureb,10803.32,streptomyces
293,albulus,tata,9759.47,streptomyces
296,albulus,rpme,8145.26,streptomyces
297,albulus,clps,11357.78,streptomyces
299,albulus,rpmc,8403.6,streptomyces
301,albulus,rpoz,9808.14,streptomyces
304,albulus,rpoz,9723.04,streptomyces
305,albulus,rpmb,8820.2,streptomyces
