,species,gn,mw,genus
1,aurum,acpm,10536.78,mycobacterium
3,avium,acyp,10818.33,mycobacterium
4,bovis,acyp,10205.66,mycobacterium
5,tuberculosis,acyp,10205.66,mycobacterium
8,smegmatis,acpm,10736.97,mycobacterium
12,smegmatis,acyp,10756.1,mycobacterium
15,vanbaalenii,acyp,10062.32,mycobacterium
16,phlei,lyta,1817.02,mycobacterium
17,tuberculosis,arfb,5244.98,mycobacterium
18,paratuberculosis,acyp,10818.33,mycobacterium
20,bovis,arfb,5244.98,mycobacterium
23,tuberculosis,atpe,8055.51,mycobacterium
24,gilvum,atpe,8012.45,mycobacterium
25,ulcerans,atpe,8069.54,mycobacterium
29,bovis,atpe,8055.51,mycobacterium
30,leprae,atpe,8204.75,mycobacterium
31,marinum,atpe,8069.54,mycobacterium
42,bovis,gros,10804.23,mycobacterium
43,leprae,gros,10800.39,mycobacterium
44,marinum,gros,10747.18,mycobacterium
45,smegmatis,grol,3047.42,mycobacterium
47,smegmatis,gros,10763.13,mycobacterium
49,gilvum,gros,10777.16,mycobacterium
51,bovis,crga,10429.7,mycobacterium
52,paratuberculosis,crga,10353.58,mycobacterium
54,ulcerans,crga,10390.69,mycobacterium
55,tuberculosis,cyso,9556.72,mycobacterium
57,marinum,crga,10390.69,mycobacterium
58,tuberculosis,crga,10429.7,mycobacterium
59,bovis,cyso,9556.72,mycobacterium
60,tuberculosis,espf,10618.05,mycobacterium
61,leprae,esxa,10464.56,mycobacterium
62,tuberculosis,esxe,9602.85,mycobacterium
63,tuberculosis,esxw,11023.3,mycobacterium
64,smegmatis,gatc,10556.84,mycobacterium
65,tuberculosis,gatc,10748.03,mycobacterium
66,bovis,gatc,10748.03,mycobacterium
67,leprae,gatc,10882.42,mycobacterium
68,paratuberculosis,gatc,10505.77,mycobacterium
70,vanbaalenii,gatc,10506.71,mycobacterium
71,abscessus,gatc,10709.92,mycobacterium
74,tuberculosis,clgr,11785.7,mycobacterium
75,bovis,clps,11221.8,mycobacterium
76,paratuberculosis,clps,11593.22,mycobacterium
77,tuberculosis,clps,11221.8,mycobacterium
81,marinum,clps,11006.51,mycobacterium
83,avium,gros,10748.16,mycobacterium
84,ulcerans,gros,10747.18,mycobacterium
86,tuberculosis,gros,10804.23,mycobacterium
