,species,gn,mw,genus
0,campestris,acpp,8802.86,xanthomonas
1,albilineans,acpp,8843.91,xanthomonas
2,oryzae,acpp,8818.86,xanthomonas
4,axonopodis,acyp,9290.79,xanthomonas
5,oryzae,acyp,9062.27,xanthomonas
7,campestris,acyp,9298.59,xanthomonas
10,axonopodis,acpp,8802.86,xanthomonas
12,campestris,acyp,9005.22,xanthomonas
14,phage,viii,4114.89,xanthomonas
15,campestris,gros,9979.47,xanthomonas
16,oryzae,gros,9979.47,xanthomonas
19,phage,viii,4342.15,xanthomonas
20,campestris,csra,7679.75,xanthomonas
21,oryzae,csra,7565.58,xanthomonas
22,phage,vii,4044.72,xanthomonas
23,phage,v,10900.54,xanthomonas
24,phage,ix,4683.52,xanthomonas
25,campestris,ftsl,10077.87,xanthomonas
26,phage,vi,10276.49,xanthomonas
27,campestris,hfq,10203.52,xanthomonas
28,oryzae,hfq,10146.46,xanthomonas
31,axonopodis,gros,9979.47,xanthomonas
33,campestris,csra,7565.58,xanthomonas
36,axonopodis,csra,7565.58,xanthomonas
37,campestris,csra,7657.79,xanthomonas
39,oryzae,xseb,9676.93,xanthomonas
40,campestris,xseb,9753.95,xanthomonas
42,campestris,xseb,9707.94,xanthomonas
46,axonopodis,xseb,9677.92,xanthomonas
57,campestris,hfq,10146.46,xanthomonas
60,axonopodis,hfq,10146.46,xanthomonas
61,campestris,infa,8375.67,xanthomonas
62,oryzae,infa,8375.67,xanthomonas
63,axonopodis,infa,8375.67,xanthomonas
64,campestris,ihfa,11213.77,xanthomonas
65,axonopodis,ihfb,11373.06,xanthomonas
66,oryzae,ihfb,11451.15,xanthomonas
67,oryzae,ihfa,11213.77,xanthomonas
71,axonopodis,ihfa,11213.77,xanthomonas
73,campestris,ihfb,11403.16,xanthomonas
74,campestris,infa,8401.71,xanthomonas
76,campestris,infa,8387.64,xanthomonas
81,campestris,mine,9612.06,xanthomonas
82,campestris,mdcc,11290.94,xanthomonas
84,campestris,mdcc,11212.73,xanthomonas
86,oryzae,mine,9598.03,xanthomonas
87,campestris,mine,9598.03,xanthomonas
89,axonopodis,nuok,10879.17,xanthomonas
90,oryzae,nuok,10551.74,xanthomonas
91,campestris,nuok,10879.17,xanthomonas
92,oryzae,nuok,10879.17,xanthomonas
98,axonopodis,mdcc,11262.88,xanthomonas
99,axonopodis,mine,9598.03,xanthomonas
102,axonopodis,pqqd,10336.73,xanthomonas
103,oryzae,pqqd,10291.69,xanthomonas
104,campestris,pqqd,10330.7,xanthomonas
105,campestris,pqqd,10355.74,xanthomonas
106,campestris,pqqd,10299.69,xanthomonas
108,oryzae,pqqd,10325.7,xanthomonas
110,campestris,slyx,8820.86,xanthomonas
111,oryzae,slyx,8761.8,xanthomonas
113,axonopodis,slyx,8843.99,xanthomonas
115,campestris,slyx,8824.94,xanthomonas
140,oryzae,rplw,11043.62,xanthomonas
141,campestris,rpma,9114.47,xanthomonas
142,campestris,rpmd,7117.31,xanthomonas
143,campestris,rpmf,7130.0,xanthomonas
144,oryzae,rpmf,7160.03,xanthomonas
145,campestris,rpmg,6405.68,xanthomonas
146,axonopodis,rplu,11797.7,xanthomonas
147,campestris,rplu,11823.74,xanthomonas
148,axonopodis,rplx,11225.81,xanthomonas
149,axonopodis,rpmb,9091.47,xanthomonas
150,campestris,rpmb,9091.47,xanthomonas
151,oryzae,rpmb,9091.47,xanthomonas
152,campestris,rpmd,7207.43,xanthomonas
153,oryzae,rpme,9363.61,xanthomonas
155,campestris,rplw,11016.6,xanthomonas
157,oryzae,rplx,11239.83,xanthomonas
158,campestris,rpmc,7237.4,xanthomonas
160,campestris,rpmf,7160.03,xanthomonas
162,oryzae,rpmg,6391.66,xanthomonas
163,campestris,rpmh,5310.27,xanthomonas
164,campestris,rpmi,7560.92,xanthomonas
166,campestris,rpmj,4871.93,xanthomonas
167,axonopodis,rplw,11043.62,xanthomonas
168,campestris,rplx,11239.83,xanthomonas
172,oryzae,rpmd,7207.43,xanthomonas
173,campestris,rplw,11043.62,xanthomonas
174,oryzae,rpma,9101.47,xanthomonas
175,axonopodis,rpmc,7238.38,xanthomonas
179,campestris,rpme,9278.46,xanthomonas
180,oryzae,rpmg,6405.68,xanthomonas
182,oryzae,rpmh,5310.27,xanthomonas
186,oryzae,rplu,11783.68,xanthomonas
189,oryzae,rpmj,4871.93,xanthomonas
190,axonopodis,rpmf,7130.0,xanthomonas
194,axonopodis,rpmi,7560.92,xanthomonas
195,oryzae,rpmi,7560.92,xanthomonas
197,oryzae,rpmc,7237.44,xanthomonas
198,axonopodis,rpmd,7207.43,xanthomonas
200,axonopodis,rpme,9363.61,xanthomonas
203,campestris,rpma,9101.43,xanthomonas
206,axonopodis,rpmg,6405.68,xanthomonas
210,axonopodis,rpmj,4871.93,xanthomonas
211,campestris,rplu,11797.7,xanthomonas
221,campestris,rpmc,7237.44,xanthomonas
223,campestris,rpme,9363.61,xanthomonas
229,oryzae,rplx,11253.86,xanthomonas
230,axonopodis,rpma,9101.43,xanthomonas
231,axonopodis,rpmh,5310.27,xanthomonas
237,oryzae,rpsj,11943.86,xanthomonas
238,campestris,rpsj,11686.52,xanthomonas
239,campestris,rpsn,11499.46,xanthomonas
240,campestris,rpoz,11142.59,xanthomonas
241,oryzae,rpoz,11098.58,xanthomonas
242,oryzae,rpss,9782.51,xanthomonas
243,campestris,rpst,9704.45,xanthomonas
244,campestris,rpsu,8614.03,xanthomonas
247,campestris,rpsp,9633.04,xanthomonas
248,axonopodis,rpss,9752.49,xanthomonas
249,oryzae,rpst,9704.45,xanthomonas
250,axonopodis,rpsu,8614.03,xanthomonas
251,oryzae,rpso,10096.68,xanthomonas
252,oryzae,rpsp,9533.91,xanthomonas
253,campestris,rpsq,10077.58,xanthomonas
254,oryzae,rpsq,10125.58,xanthomonas
255,axonopodis,rpsr,8959.41,xanthomonas
256,campestris,rpss,9782.51,xanthomonas
257,axonopodis,rpoz,11142.59,xanthomonas
261,axonopodis,rpsn,11499.46,xanthomonas
262,oryzae,rpsn,11499.46,xanthomonas
263,campestris,rpso,10039.63,xanthomonas
266,campestris,rpsp,9545.96,xanthomonas
267,campestris,rpsq,10125.58,xanthomonas
269,campestris,rpsq,10091.61,xanthomonas
270,campestris,rpsr,8959.41,xanthomonas
271,campestris,rpsr,8975.41,xanthomonas
272,campestris,rpst,9690.42,xanthomonas
275,oryzae,rpsu,8614.03,xanthomonas
277,axonopodis,rpsj,11716.55,xanthomonas
278,campestris,rpsn,11539.52,xanthomonas
279,axonopodis,rpso,10096.68,xanthomonas
284,campestris,rpso,10096.68,xanthomonas
286,axonopodis,rpsp,9545.96,xanthomonas
288,oryzae,rpsr,8975.41,xanthomonas
290,axonopodis,rpst,9704.45,xanthomonas
294,axonopodis,rpsq,10125.58,xanthomonas
313,campestris,rpss,9752.49,xanthomonas
316,campestris,tata,8313.48,xanthomonas
317,campestris,tata,8297.48,xanthomonas
319,oryzae,tata,8297.48,xanthomonas
321,axonopodis,tata,8297.48,xanthomonas
328,campestris,gv-1,10900.54,xanthomonas
350,translucens,rpsq,10057.5,xanthomonas
351,translucens,hfq,9949.23,xanthomonas
352,translucens,slyx,9745.87,xanthomonas
353,translucens,csra,7663.68,xanthomonas
355,translucens,rplw,11106.63,xanthomonas
356,translucens,rpsr,8989.44,xanthomonas
357,translucens,rpst,9763.52,xanthomonas
358,translucens,gros,9965.45,xanthomonas
359,translucens,rpmf,7188.04,xanthomonas
360,translucens,ihfa,11222.83,xanthomonas
361,translucens,rpsu,8628.06,xanthomonas
362,translucens,rpsp,9586.12,xanthomonas
363,translucens,xseb,9700.86,xanthomonas
364,translucens,mdcc,11264.77,xanthomonas
365,translucens,rpmj,4866.89,xanthomonas
366,translucens,rpma,9545.92,xanthomonas
367,translucens,rpmd,7162.35,xanthomonas
368,translucens,rpmg,6259.47,xanthomonas
369,translucens,nuok,10859.16,xanthomonas
370,translucens,rpmc,7207.41,xanthomonas
372,campestris,flic,8262.21,xanthomonas
373,campestris,flic,8320.25,xanthomonas
376,campestris,ilvd,10063.52,xanthomonas
377,campestris,ilvd,11883.62,xanthomonas
378,campestris,ilvd,11795.45,xanthomonas
380,arboricola,pqqd,10348.74,xanthomonas
381,arboricola,rplu,11769.65,xanthomonas
382,arboricola,rpma,9101.43,xanthomonas
383,oryzae,metb,5108.83,xanthomonas
384,campestris,nifh,10551.9,xanthomonas
386,oryzae,metb,2797.12,xanthomonas
398,arboricola,rpst,9690.42,xanthomonas
399,arboricola,rplu,11809.71,xanthomonas
403,gardneri,rpmg,6405.68,xanthomonas
409,campestris,moad,8775.87,xanthomonas
411,campestris,hupb,9357.71,xanthomonas
414,campestris,ftsl,10016.83,xanthomonas
415,campestris,glnb,11998.96,xanthomonas
422,campestris,ccmd,7807.15,xanthomonas
424,campestris,ccmd,6570.86,xanthomonas
429,oryzae,rplu,11725.64,xanthomonas
431,oryzae,rpst,9732.46,xanthomonas
436,oryzae,hfq,10178.53,xanthomonas
437,oryzae,rplu,11795.73,xanthomonas
441,oryzae,mine,9626.05,xanthomonas
443,oryzae,xseb,9650.89,xanthomonas
444,oryzae,rpmf,7149.99,xanthomonas
448,oryzae,rpsn,11485.43,xanthomonas
452,oryzae,rpme,9379.68,xanthomonas
454,oryzae,rplw,11017.58,xanthomonas
456,oryzae,pqqd,10297.72,xanthomonas
461,oryzae,pqqd,10355.8,xanthomonas
465,oryzae,rpsj,11844.72,xanthomonas
466,oryzae,rpma,9087.44,xanthomonas
467,oryzae,xseb,9663.89,xanthomonas
469,oryzae,mine,9640.07,xanthomonas
470,oryzae,rpmd,7193.36,xanthomonas
472,oryzae,csra,7564.6,xanthomonas
475,oryzae,rpmf,7146.0,xanthomonas
478,oryzae,tata,8269.42,xanthomonas
481,oryzae,tata,8283.45,xanthomonas
482,oryzae,pqqd,10269.6,xanthomonas
483,oryzae,rpss,9812.54,xanthomonas
486,oryzae,slyx,8791.82,xanthomonas
488,oryzae,xseb,9706.92,xanthomonas
490,oryzae,mine,9579.99,xanthomonas
491,oryzae,rpso,10069.65,xanthomonas
492,translucens,infa,8389.7,xanthomonas
495,translucens,rpoz,11104.47,xanthomonas
496,translucens,rpsn,11521.57,xanthomonas
497,translucens,cas2,10761.52,xanthomonas
499,translucens,rpmi,7560.92,xanthomonas
502,translucens,rpmb,9091.47,xanthomonas
503,translucens,rpma,9575.94,xanthomonas
506,translucens,rplu,11767.63,xanthomonas
507,translucens,rpss,9888.67,xanthomonas
508,translucens,mine,9506.98,xanthomonas
510,translucens,rpsp,9572.09,xanthomonas
512,translucens,rpso,9964.6,xanthomonas
513,translucens,tata,8327.46,xanthomonas
514,translucens,rplx,11169.78,xanthomonas
516,translucens,ihfb,11011.75,xanthomonas
520,translucens,rpmh,5367.36,xanthomonas
521,translucens,csra,7637.6,xanthomonas
522,translucens,hfq,9963.25,xanthomonas
524,translucens,ftsl,10112.81,xanthomonas
525,translucens,slyx,9686.8,xanthomonas
531,campestris,rplx,11225.81,xanthomonas
536,perforans,rpma,9101.43,xanthomonas
540,perforans,hfq,10146.46,xanthomonas
541,perforans,rpsn,11539.52,xanthomonas
543,perforans,mdcc,11290.94,xanthomonas
544,perforans,rpss,9752.49,xanthomonas
545,perforans,ihfa,11213.77,xanthomonas
546,perforans,rpsq,10125.58,xanthomonas
547,perforans,rpmc,7237.44,xanthomonas
551,perforans,slyx,8824.94,xanthomonas
552,perforans,rplw,11016.6,xanthomonas
553,perforans,pqqd,10339.74,xanthomonas
554,perforans,tata,8297.48,xanthomonas
555,perforans,rpmb,9091.47,xanthomonas
556,perforans,rplx,11239.83,xanthomonas
557,perforans,ihfb,11401.12,xanthomonas
560,perforans,rpsp,9545.96,xanthomonas
561,perforans,rpso,10096.68,xanthomonas
562,perforans,rpsr,8959.41,xanthomonas
563,perforans,ftsl,10016.83,xanthomonas
564,perforans,rpmg,6405.68,xanthomonas
568,perforans,rpmf,7130.0,xanthomonas
