,species,gn,mw,genus
0,pseudotuberculosis,acpp,8700.66,yersinia
2,pestis,aaex,7790.53,yersinia
4,pseudotuberculosis,aaex,7790.53,yersinia
6,pestis,acpp,8700.66,yersinia
10,enterocolitica,aaex,7756.49,yersinia
16,pseudotuberculosis,acyp,10291.69,yersinia
18,pestis,acyp,10291.69,yersinia
22,enterocolitica,acyp,10210.68,yersinia
23,pestis,asr1,9813.39,yersinia
24,pestis,atpe,8256.16,yersinia
27,enterocolitica,atpe,8270.19,yersinia
29,pseudotuberculosis,atpe,8256.16,yersinia
34,pestis,cdii,8718.86,yersinia
35,enterocolitica,gros,10436.09,yersinia
36,pestis,gros,10356.99,yersinia
37,pestis,cyay,11904.03,yersinia
40,enterocolitica,csra,6852.95,yersinia
41,enterocolitica,nfo,4137.77,yersinia
42,enterocolitica,dsrb,7171.06,yersinia
43,pestis,dsrb,7040.86,yersinia
45,pestis,ftsb,11869.39,yersinia
46,pseudotuberculosis,ftsb,11869.39,yersinia
48,pestis,ftsl,11729.76,yersinia
49,pseudotuberculosis,hfq,11130.41,yersinia
50,enterocolitica,citd,10809.57,yersinia
51,enterocolitica,gros,10410.05,yersinia
53,pseudotuberculosis,gros,10356.99,yersinia
60,pestis,cspb,7511.44,yersinia
61,pseudotuberculosis,csra,6852.95,yersinia
62,pestis,csra,6852.95,yersinia
64,enterocolitica,cyay,11908.08,yersinia
67,enterocolitica,cspa,5022.52,yersinia
68,enterocolitica,cspb,7511.44,yersinia
69,pseudotuberculosis,cyay,11874.0,yersinia
74,pseudotuberculosis,dsrb,7040.86,yersinia
77,pseudotuberculosis,dsrb,6968.8,yersinia
81,pestis,xseb,9307.46,yersinia
82,pseudotuberculosis,xseb,9335.51,yersinia
83,pseudotuberculosis,xseb,9307.46,yersinia
86,pestis,feoc,9231.73,yersinia
87,pestis,fis,11196.95,yersinia
91,pseudotuberculosis,fis,11196.95,yersinia
93,enterocolitica,feoc,8858.3,yersinia
95,enterocolitica,xseb,9253.36,yersinia
100,enterocolitica,fis,11196.95,yersinia
102,enterocolitica,flgd,4927.3,yersinia
103,enterocolitica,flgm,10727.2,yersinia
104,pseudotuberculosis,feoc,9231.73,yersinia
108,pestis,flie,10714.31,yersinia
117,enterocolitica,flgm,10731.19,yersinia
127,enterocolitica,flie,10788.46,yersinia
128,enterocolitica,fliv,10447.14,yersinia
129,pestis,hfq,11130.41,yersinia
135,enterocolitica,hfq,11143.41,yersinia
136,pestis,hfq,11071.34,yersinia
139,pestis,hspq,11763.02,yersinia
140,pseudotuberculosis,hspq,11763.02,yersinia
141,enterocolitica,ystc,7638.64,yersinia
142,pseudotuberculosis,infa,8235.58,yersinia
143,pestis,infa,8235.58,yersinia
146,enterocolitica,ystb,7669.92,yersinia
151,enterocolitica,ysta,7493.7,yersinia
152,enterocolitica,hspq,11910.26,yersinia
153,kristensenii,yst,7068.26,yersinia
155,pestis,ihfa,11185.8,yersinia
156,pseudotuberculosis,ihfa,11185.8,yersinia
157,enterocolitica,ihfb,10546.12,yersinia
158,pestis,ihfb,10560.1,yersinia
159,pseudotuberculosis,ihfb,10560.1,yersinia
165,enterocolitica,ihfa,11185.8,yersinia
169,pestis,isca,11589.05,yersinia
176,enterocolitica,infa,8235.58,yersinia
178,enterocolitica,isca,11571.05,yersinia
179,pseudotuberculosis,isca,11589.05,yersinia
186,enterocolitica,mdti,11923.52,yersinia
187,pseudotuberculosis,mdti,11934.59,yersinia
188,pestis,mdti,11916.55,yersinia
189,pseudotuberculosis,mine,10332.0,yersinia
193,pestis,mine,10332.0,yersinia
197,pestis,mgrb,5386.47,yersinia
198,enterocolitica,mine,10332.0,yersinia
200,enterocolitica,nuok,10879.16,yersinia
201,pestis,nuok,10880.14,yersinia
202,pseudotuberculosis,nuok,10880.14,yersinia
207,enterocolitica,pard,8856.18,yersinia
208,pestis,pard,8865.19,yersinia
213,pestis,lcrs,10337.9,yersinia
214,pestis,thrl,2364.66,yersinia
216,pestis,hisl,1943.1,yersinia
217,pseudotuberculosis,lcrs,10337.9,yersinia
218,enterocolitica,lsrg,11049.72,yersinia
219,pseudotuberculosis,lsrg,11097.86,yersinia
220,enterocolitica,thrl,2336.6,yersinia
222,pestis,lsrg,11097.86,yersinia
226,pestis,lpp,8317.4,yersinia
228,pseudotuberculosis,lpp,8317.4,yersinia
235,pseudotuberculosis,mdti,11916.55,yersinia
240,enterocolitica,muts,4327.92,yersinia
241,enterocolitica,nlpd,10667.1,yersinia
246,pseudotuberculosis,prib,11533.18,yersinia
247,pestis,prib,11632.31,yersinia
248,enterocolitica,prib,11646.34,yersinia
250,pseudotuberculosis,prib,11632.31,yersinia
252,pseudotuberculosis,slyx,8522.77,yersinia
253,pestis,slyx,8522.77,yersinia
256,enterocolitica,slyx,8457.73,yersinia
269,pestis,yacg,7899.82,yersinia
270,pseudotuberculosis,yacg,7899.82,yersinia
333,pseudotuberculosis,rplw,11230.07,yersinia
334,enterocolitica,rpma,9181.62,yersinia
335,pseudotuberculosis,rpma,9123.54,yersinia
336,pestis,rpma,9123.54,yersinia
337,pseudotuberculosis,rpmd,6545.8,yersinia
338,pestis,rplu,11644.45,yersinia
339,pseudotuberculosis,rplx,11347.28,yersinia
340,pestis,rplx,11347.28,yersinia
342,pestis,rply,10406.01,yersinia
343,pseudotuberculosis,rply,10406.01,yersinia
344,pestis,rpmb,9026.59,yersinia
346,pseudotuberculosis,rpmb,9026.59,yersinia
348,pestis,rpme,9794.91,yersinia
349,pseudotuberculosis,rpme,9794.91,yersinia
350,pestis,rpme,7781.9,yersinia
351,pestis,rplw,11230.07,yersinia
358,pestis,rpmf,6176.02,yersinia
360,enterocolitica,rpmg,6357.57,yersinia
361,enterocolitica,rpmh,5426.43,yersinia
362,pseudotuberculosis,rpmh,5426.43,yersinia
363,pestis,rpmh,5426.43,yersinia
364,pestis,rpmi,7318.92,yersinia
