,species,gn,mw,genus
0,vulnificus,acpp,8632.49,vibrio
1,harveyi,acpp,8531.39,vibrio
2,cholerae,acyp,10278.65,vibrio
3,vulnificus,acyp,10261.86,vibrio
4,parahaemolyticus,acpp,8531.39,vibrio
5,vulnificus,acyp,10245.81,vibrio
6,campbellii,acpp,8531.39,vibrio
7,fischeri,acyp,10408.88,vibrio
8,cholerae,acpp,8662.52,vibrio
10,cholerae,acyp,10225.61,vibrio
11,parahaemolyticus,acyp,10161.72,vibrio
12,fischeri,atpe,8706.63,vibrio
13,cholerae,atpe,8694.64,vibrio
15,parahaemolyticus,atpe,8635.55,vibrio
17,vulnificus,atpe,8694.64,vibrio
19,alginolyticus,bola,11624.13,vibrio
20,alginolyticus,atpe,8635.55,vibrio
21,cholerae,cep,8480.24,vibrio
22,vulnificus,gros,10294.85,vibrio
23,cholerae,gros,10593.22,vibrio
24,parahaemolyticus,gros,10249.9,vibrio
25,parahaemolyticus,gros,10563.14,vibrio
26,fischeri,gros,10252.77,vibrio
27,cholerae,cyay,11860.21,vibrio
28,vulnificus,cyay,11954.26,vibrio
30,cholerae,hupa,9490.99,vibrio
31,cholerae,hupb,9365.67,vibrio
32,campbellii,csra,7112.24,vibrio
33,parahaemolyticus,csra,7112.24,vibrio
34,vulnificus,erpa,11992.43,vibrio
35,fischeri,ftsb,10890.32,vibrio
36,tasmaniensis,ftsb,10869.42,vibrio
37,parahaemolyticus,ftsb,10870.33,vibrio
38,tasmaniensis,glpe,11817.19,vibrio
39,harveyi,gros,10874.67,vibrio
41,vulnificus,gros,10535.11,vibrio
42,campbellii,gros,10249.9,vibrio
43,cholerae,citd,10777.32,vibrio
44,cholerae,citd,10768.31,vibrio
45,tasmaniensis,gros,10390.0,vibrio
46,cholerae,gros,10294.85,vibrio
50,fischeri,csra,7109.27,vibrio
51,vulnificus,csra,6967.12,vibrio
52,cholerae,cspv,7628.59,vibrio
53,cholerae,cspa,7628.63,vibrio
54,cholerae,csra,7055.18,vibrio
55,tasmaniensis,csra,7122.27,vibrio
56,campbellii,cyay,11951.43,vibrio
57,cholerae,cspd,8328.38,vibrio
64,proteolyticus,hupa,9448.86,vibrio
66,parahaemolyticus,erpa,11915.28,vibrio
67,vulnificus,erpa,11962.4,vibrio
68,campbellii,xseb,8851.79,vibrio
69,campbellii,erpa,11927.38,vibrio
70,cholerae,xseb,8910.91,vibrio
71,vulnificus,xseb,8755.75,vibrio
73,fischeri,xseb,8842.81,vibrio
74,tasmaniensis,xseb,8846.82,vibrio
75,fischeri,fis,11046.79,vibrio
78,tasmaniensis,fis,11097.78,vibrio
80,parahaemolyticus,xseb,8878.86,vibrio
86,cholerae,fis,11111.81,vibrio
87,campbellii,fis,11111.81,vibrio
90,vulnificus,fis,11111.81,vibrio
95,campbellii,ftsb,10998.33,vibrio
96,vulnificus,ftsb,10908.39,vibrio
100,cholerae,ftsb,10986.65,vibrio
103,parahaemolyticus,fis,11111.81,vibrio
104,campbellii,glpe,11847.2,vibrio
105,vulnificus,glpe,11792.17,vibrio
107,cholerae,grx,9881.28,vibrio
108,parahaemolyticus,glpe,11845.23,vibrio
109,vulnificus,hfq,9674.05,vibrio
110,cholerae,hfq,9769.2,vibrio
