,species,gn,mw,genus
0,garvieae,rpmj,4449.48,lactococcus
1,garvieae,rpmh,5176.18,lactococcus
2,garvieae,rpmg,5497.55,lactococcus
3,garvieae,rpmg,5548.61,lactococcus
4,garvieae,rpmg,6007.07,lactococcus
5,garvieae,rpmd,6338.58,lactococcus
6,garvieae,rpmf,6651.61,lactococcus
7,garvieae,rpsz,7134.59,lactococcus
8,garvieae,rpmb,7200.44,lactococcus
10,garvieae,rpsu,7263.57,lactococcus
12,garvieae,rpmi,7855.38,lactococcus
13,garvieae,rpmc,7942.31,lactococcus
14,garvieae,xseb,8161.33,lactococcus
15,garvieae,rpst,8243.47,lactococcus
16,garvieae,infa,8269.68,lactococcus
17,garvieae,acpp,8360.19,lactococcus
23,garvieae,purs,9080.5,lactococcus
25,garvieae,rpme,9162.32,lactococcus
26,garvieae,rpsr,9308.04,lactococcus
27,garvieae,dltc,9365.56,lactococcus
29,garvieae,gros,9868.5,lactococcus
30,garvieae,rpma,10011.45,lactococcus
32,garvieae,rpsq,10176.82,lactococcus
35,garvieae,rpsp,10416.08,lactococcus
36,garvieae,rpso,10494.16,lactococcus
37,garvieae,rpss,10590.18,lactococcus
38,garvieae,rplw,10839.63,lactococcus
39,garvieae,rplx,10862.81,lactococcus
42,garvieae,rpsf,11232.75,lactococcus
43,garvieae,rplu,11330.16,lactococcus
44,garvieae,gatc,11380.86,lactococcus
47,garvieae,rpsj,11741.75,lactococcus
50,raffinolactis,rpmh,5255.28,lactococcus
51,raffinolactis,rpmg,6007.07,lactococcus
52,raffinolactis,rpmd,6224.52,lactococcus
53,raffinolactis,rpmf,6316.29,lactococcus
54,raffinolactis,rpsu,6960.1,lactococcus
56,raffinolactis,rpmb,6974.25,lactococcus
58,raffinolactis,rpmi,7792.26,lactococcus
59,raffinolactis,rpmc,7798.05,lactococcus
60,raffinolactis,xseb,7939.12,lactococcus
63,raffinolactis,infa,8292.73,lactococcus
64,raffinolactis,acpp,8368.27,lactococcus
67,raffinolactis,dltc,8895.12,lactococcus
69,raffinolactis,rpst,9013.44,lactococcus
70,raffinolactis,rpme,9016.06,lactococcus
72,raffinolactis,acpp,9144.22,lactococcus
73,raffinolactis,rpsr,9346.0,lactococcus
77,raffinolactis,gros,10085.69,lactococcus
78,raffinolactis,rpsq,10098.75,lactococcus
81,raffinolactis,rpma,10309.83,lactococcus
82,raffinolactis,rpsp,10456.12,lactococcus
83,raffinolactis,rpso,10506.17,lactococcus
84,raffinolactis,rplw,10537.39,lactococcus
85,raffinolactis,rpss,10606.26,lactococcus
86,raffinolactis,gatc,10822.14,lactococcus
87,raffinolactis,rplx,10889.73,lactococcus
90,raffinolactis,rplu,11295.24,lactococcus
91,raffinolactis,rpsf,11356.85,lactococcus
92,raffinolactis,hise,11497.93,lactococcus
96,raffinolactis,rpsj,11624.6,lactococcus
103,garvieae,rpsu,6917.12,lactococcus
113,garvieae,rpst,8273.5,lactococcus
114,garvieae,infa,8297.69,lactococcus
118,garvieae,purs,9140.48,lactococcus
124,garvieae,gros,9907.58,lactococcus
126,garvieae,rpma,10041.47,lactococcus
130,garvieae,rpsp,10402.05,lactococcus
131,garvieae,rpso,10463.14,lactococcus
134,garvieae,rplw,10867.65,lactococcus
138,garvieae,rpsf,11202.72,lactococcus
140,garvieae,gatc,11268.73,lactococcus
149,piscium,rpmj,4425.44,lactococcus
150,piscium,rpmh,5239.28,lactococcus
151,piscium,rpmg,5513.46,lactococcus
152,piscium,rpmg,5528.63,lactococcus
153,piscium,rpmg,5983.0,lactococcus
154,piscium,rpmd,6255.49,lactococcus
155,piscium,rpmf,6342.37,lactococcus
156,piscium,rpsu,6960.1,lactococcus
157,piscium,rpmb,6974.25,lactococcus
159,piscium,rpsz,7140.59,lactococcus
161,piscium,sece,7497.2,lactococcus
162,piscium,rpmc,7768.07,lactococcus
163,piscium,rpmi,7792.26,lactococcus
