,species,gn,mw,genus
0,abikoensis,rpob,11336.96,streptomyces
1,achromogenes,rubr,8594.13,streptomyces
2,achromogenes,rubr,8541.05,streptomyces
3,achromogenes,tomn,7063.07,streptomyces
4,achromogenes,rpob,11290.88,streptomyces
5,acidiscabies,rpob,11322.93,streptomyces
6,acidiscabies,rpob,11349.95,streptomyces
7,acidiscabies,rpob,11321.94,streptomyces
8,acidiscabies,gatc,10686.05,streptomyces
9,acidiscabies,rpoz,9592.89,streptomyces
10,acidiscabies,infa,8410.9,streptomyces
11,acidiscabies,rpmc,8402.61,streptomyces
12,acidiscabies,rpmd,7002.11,streptomyces
13,acidiscabies,acpm,8642.7,streptomyces
14,acidiscabies,rpma,8841.01,streptomyces
15,acidiscabies,whib,9878.17,streptomyces
16,acidiscabies,rpsq,10788.48,streptomyces
17,acidiscabies,hup,9821.21,streptomyces
18,acidiscabies,rpss,10497.34,streptomyces
19,acidiscabies,rpsf,11199.97,streptomyces
20,acidiscabies,ureb,10829.33,streptomyces
21,acidiscabies,purs,9528.92,streptomyces
22,acidiscabies,rpsr,9261.88,streptomyces
23,acidiscabies,rpmj,4415.43,streptomyces
24,acidiscabies,rpso,10762.57,streptomyces
25,acidiscabies,nuok,10736.94,streptomyces
26,acidiscabies,rpmi,7022.28,streptomyces
27,acidiscabies,rpsr,9027.68,streptomyces
28,acidiscabies,whmd,8902.04,streptomyces
29,acidiscabies,tata,9668.23,streptomyces
30,acidiscabies,rpst,9529.1,streptomyces
31,acidiscabies,rpsj,11521.5,streptomyces
32,acidiscabies,sece,10534.42,streptomyces
33,acidiscabies,acyp,10007.23,streptomyces
34,acidiscabies,rplx,11491.28,streptomyces
35,acidiscabies,rpmf,6588.78,streptomyces
36,acidiscabies,hise,9957.32,streptomyces
37,acidiscabies,rpmf,6339.46,streptomyces
38,acidiscabies,rpsn,6963.4,streptomyces
39,acidiscabies,rplu,11647.47,streptomyces
40,acidiscabies,urea,11076.8,streptomyces
41,acidiscabies,xseb,8222.01,streptomyces
42,acidiscabies,whib,10462.17,streptomyces
43,acidiscabies,clps,11897.5,streptomyces
44,acidiscabies,emre,10118.06,streptomyces
45,acidiscabies,gros,10957.54,streptomyces
46,acidiscabies,rpmh,10827.26,streptomyces
47,acidiscabies,tata,10222.88,streptomyces
48,acidiscabies,rpmb,6648.69,streptomyces
49,acidiscabies,pup,7971.41,streptomyces
50,acidiscabies,rpme,7982.09,streptomyces
51,acidiscabies,xseb,8236.03,streptomyces
52,acidiscabies,crga,9208.93,streptomyces
53,acidiscabies,crga,9181.91,streptomyces
54,acidiscabies,pup,8962.5,streptomyces
55,acidiscabies,gros,10944.54,streptomyces
56,acidiscabies,clps,11644.2,streptomyces
57,acidiscabies,rpme,8031.16,streptomyces
58,acidiscabies,hiuh,11077.48,streptomyces
59,acidiscabies,cas2,10885.44,streptomyces
60,acidiscabies,whib,11820.35,streptomyces
61,acidiscabies,rpmh,5296.25,streptomyces
62,actuosus,nosm,5364.01,streptomyces
63,afghaniensis,sece,10401.29,streptomyces
64,afghaniensis,rpmj,4401.4,streptomyces
65,afghaniensis,rpmc,8444.65,streptomyces
66,afghaniensis,gatc,10765.19,streptomyces
67,afghaniensis,rpoz,9694.98,streptomyces
68,afghaniensis,rplu,11694.39,streptomyces
69,afghaniensis,urea,11106.83,streptomyces
70,afghaniensis,rpmd,6887.96,streptomyces
71,afghaniensis,rpsr,9079.58,streptomyces
72,afghaniensis,whib,9259.47,streptomyces
73,afghaniensis,rpmf,6603.75,streptomyces
74,afghaniensis,rpme,9434.59,streptomyces
75,afghaniensis,rbpa,10583.67,streptomyces
76,afghaniensis,rpmh,5282.22,streptomyces
77,afghaniensis,hise,9961.36,streptomyces
78,afghaniensis,rpst,9510.14,streptomyces
79,afghaniensis,nuok,10720.94,streptomyces
80,afghaniensis,pup,7927.4,streptomyces
81,afghaniensis,whib,9323.57,streptomyces
82,afghaniensis,acpp,8916.99,streptomyces
83,afghaniensis,clps,11902.47,streptomyces
84,afghaniensis,xseb,8966.87,streptomyces
85,afghaniensis,rpsr,8497.0,streptomyces
86,afghaniensis,ureb,10803.27,streptomyces
87,afghaniensis,rpso,10754.5,streptomyces
88,afghaniensis,purs,9615.02,streptomyces
89,afghaniensis,rpme,9243.05,streptomyces
90,afghaniensis,whib,10627.16,streptomyces
91,afghaniensis,nuok,10614.9,streptomyces
92,afghaniensis,whib,9639.93,streptomyces
93,afghaniensis,purs,8744.93,streptomyces
94,afghaniensis,purs,9615.96,streptomyces
95,afghaniensis,gros,10946.47,streptomyces
96,afghaniensis,rpmi,7081.35,streptomyces
97,afghaniensis,rpsq,10821.51,streptomyces
98,afghaniensis,rpme,7930.06,streptomyces
99,afghaniensis,tata,9886.49,streptomyces
100,afghaniensis,crcb,11855.88,streptomyces
101,afghaniensis,whib,9033.07,streptomyces
102,afghaniensis,tata,8569.95,streptomyces
103,afghaniensis,rpsf,11100.84,streptomyces
104,afghaniensis,whib,9866.12,streptomyces
105,afghaniensis,rpsz,7296.76,streptomyces
106,afghaniensis,rpsn,11592.21,streptomyces
107,afghaniensis,crga,9196.94,streptomyces
108,afghaniensis,rpmb,6608.62,streptomyces
109,afghaniensis,rpmg,6406.47,streptomyces
110,afghaniensis,rpss,10543.32,streptomyces
111,afghaniensis,whib,10093.78,streptomyces
112,afghaniensis,rpsj,9793.46,streptomyces
113,afghaniensis,rpmg,6458.39,streptomyces
114,afghaniensis,rpma,8817.98,streptomyces
115,afghaniensis,rpmb,8773.16,streptomyces
116,afghaniensis,infa,8410.9,streptomyces
117,albireticuli,rpob,11336.96,streptomyces
118,albofaciens,rpob,11288.91,streptomyces
119,alboflavus,rpob,11349.95,streptomyces
120,albogriseolus,rpob,11376.98,streptomyces
121,albolongus,rpob,11322.93,streptomyces
122,alboniger,rplu,11163.85,streptomyces
123,alboniger,rpmc,7313.37,streptomyces
124,alboniger,rpoz,7827.95,streptomyces
125,alboniger,rpmg,6090.22,streptomyces
126,alboniger,rpst,8977.22,streptomyces
127,alboniger,rpme,9967.92,streptomyces
128,alboniger,rpss,10559.27,streptomyces
129,alboniger,rpsr,8972.62,streptomyces
130,alboniger,rpmh,5341.42,streptomyces
131,alboniger,rpsn,7225.65,streptomyces
132,alboniger,gros,9783.09,streptomyces
133,alboniger,rpmf,6878.99,streptomyces
134,alboniger,rpsp,10839.57,streptomyces
135,alboniger,rpsu,6801.94,streptomyces
136,alboniger,rplw,11055.97,streptomyces
137,alboniger,rpmd,6441.7,streptomyces
138,alboniger,acpp,8578.38,streptomyces
139,alboniger,rpma,10361.71,streptomyces
140,alboniger,rpsj,11607.58,streptomyces
141,alboniger,infa,8352.78,streptomyces
142,alboniger,rpmb,7045.14,streptomyces
143,alboniger,rpso,10499.05,streptomyces
144,alboniger,xseb,9041.09,streptomyces
145,alboniger,rpsf,11728.2,streptomyces
146,alboniger,rpmi,7887.18,streptomyces
147,alboniger,rpsq,10289.93,streptomyces
148,alboniger,rpob,11349.95,streptomyces
149,alboniger,sece,6614.9,streptomyces
150,alboniger,acpp,8726.68,streptomyces
151,alboviridis,rpob,11349.95,streptomyces
152,albulus,rpob,11288.91,streptomyces
153,albulus,infa,8424.97,streptomyces
154,albulus,rpsn,6963.4,streptomyces
155,albulus,rpmj,4389.43,streptomyces
156,albulus,whib,9915.26,streptomyces
157,albulus,rpsr,8961.57,streptomyces
158,albulus,whib,9802.01,streptomyces
159,albulus,sece,10517.41,streptomyces
160,albulus,rbpa,10569.64,streptomyces
161,albulus,whib,9941.23,streptomyces
162,albulus,gros,10990.57,streptomyces
163,albulus,rplu,11579.35,streptomyces
164,albulus,rpmg,6492.39,streptomyces
165,albulus,rplw,11558.32,streptomyces
166,albulus,urea,11016.71,streptomyces
167,albulus,rplu,11603.37,streptomyces
168,albulus,whib,11588.08,streptomyces
169,albulus,whib,9643.94,streptomyces
170,albulus,rpmd,6931.03,streptomyces
171,albulus,pup,7975.45,streptomyces
172,albulus,rpmf,6553.73,streptomyces
173,albulus,rpme,9599.7,streptomyces
174,albulus,rpmb,6622.65,streptomyces
175,albulus,purs,8180.41,streptomyces
176,albulus,rpmc,8428.65,streptomyces
177,albulus,rpso,10843.62,streptomyces
178,albulus,urea,11089.8,streptomyces
179,albulus,hise,9894.31,streptomyces
180,albulus,rpmf,6400.46,streptomyces
181,albulus,rpsr,9458.87,streptomyces
182,albulus,rpsq,10777.5,streptomyces
183,albulus,xseb,8486.42,streptomyces
184,albulus,rpmh,5268.19,streptomyces
185,albulus,rpmb,8788.11,streptomyces
186,albulus,rpsr,8985.61,streptomyces
187,albulus,rpme,8090.25,streptomyces
188,albulus,rplx,11665.44,streptomyces
189,albulus,gatc,10725.13,streptomyces
190,albulus,rpmh,5267.16,streptomyces
191,albulus,rpss,10573.35,streptomyces
192,albulus,nuok,10658.87,streptomyces
193,albulus,rpsf,11185.94,streptomyces
194,albulus,rpmg,6406.47,streptomyces
195,albulus,acpp,8929.99,streptomyces
196,albulus,rpsj,11521.5,streptomyces
197,albulus,rpsn,11665.4,streptomyces
198,albulus,crga,9220.0,streptomyces
199,albulus,rpst,9222.78,streptomyces
200,albulus,gatc,10743.1,streptomyces
201,albulus,rpmi,7082.44,streptomyces
202,albulus,whib,9152.21,streptomyces
203,albulus,rpma,8931.09,streptomyces
204,albulus,ureb,10803.32,streptomyces
205,albulus,tata,9759.47,streptomyces
206,albulus,rpme,8145.26,streptomyces
207,albulus,clps,11357.78,streptomyces
208,albulus,rpmc,8403.6,streptomyces
209,albulus,rpoz,9808.14,streptomyces
210,albulus,rpoz,9723.04,streptomyces
211,albulus,rpmb,8820.2,streptomyces
