,species,gn,mw,genus
0,pneumophila,acyp,10582.23,legionella
1,pneumophila,acyp,10568.21,legionella
2,pneumophila,acyp,10581.33,legionella
3,pneumophila,acyp,10582.28,legionella
4,pneumophila,gros,10475.28,legionella
7,pneumophila,csra,7187.21,legionella
8,pneumophila,grla,9843.49,legionella
10,jeonii,gros,10618.45,legionella
14,pneumophila,xseb,8611.49,legionella
15,pneumophila,xseb,8625.52,legionella
22,pneumophila,hfq,9528.07,legionella
26,pneumophila,infa,8341.75,legionella
28,pneumophila,ihfa,11199.18,legionella
30,pneumophila,ihfa,10986.89,legionella
34,pneumophila,mine,10234.68,legionella
35,pneumophila,nuok,11219.59,legionella
47,pneumophila,rplu,11755.98,legionella
48,pneumophila,rpma,10099.47,legionella
49,pneumophila,rpmd,6566.81,legionella
50,pneumophila,rpmf,7341.22,legionella
51,pneumophila,rpmg,6314.59,legionella
52,pneumophila,rpmh,5322.41,legionella
54,pneumophila,rplu,11725.96,legionella
55,pneumophila,rpmc,7372.81,legionella
56,pneumophila,rpme,8567.9,legionella
59,pneumophila,rplw,11259.19,legionella
61,pneumophila,rpmb,9083.83,legionella
69,pneumophila,rpmj,4310.31,legionella
70,pneumophila,rpmi,7506.91,legionella
92,pneumophila,rpoz,7671.79,legionella
94,pneumophila,rpsn,11755.04,legionella
95,pneumophila,rpsj,11937.85,legionella
96,pneumophila,rpsp,9939.56,legionella
97,pneumophila,rpsq,9637.39,legionella
102,pneumophila,rpsu,9351.89,legionella
103,pneumophila,rpss,10319.1,legionella
104,pneumophila,rpst,9714.47,legionella
106,pneumophila,rpsn,11813.08,legionella
108,pneumophila,rpso,10844.33,legionella
110,pneumophila,rpsr,8754.2,legionella
124,pneumophila,rpso,10770.29,legionella
129,pneumophila,tata,6555.67,legionella
130,pneumophila,tata,6529.58,legionella
133,pneumophila,yacg,8054.02,legionella
145,pneumophila,yacg,8014.89,legionella
146,pneumophila,yacg,8111.11,legionella
147,pneumophila,yacg,8068.09,legionella
148,pneumophila,rpob,11076.61,legionella
149,santicrucis,rpob,11076.61,legionella
151,brunensis,rpob,11032.56,legionella
152,maceachernii,rpob,11032.56,legionella
153,pneumophila,ccmd,8830.55,legionella
154,pneumophila,tata,6543.61,legionella
155,pneumophila,rpob,11159.75,legionella
156,pneumophila,gspa,8560.61,legionella
157,pneumophila,rpob,11092.61,legionella
158,pneumophila,rpob,11090.64,legionella
159,pneumophila,rpob,11592.22,legionella
160,pneumophila,rpob,11060.61,legionella
161,pneumophila,gspa,8641.91,legionella
162,pneumophila,gspa,8512.64,legionella
163,pneumophila,rpob,11102.69,legionella
164,pneumophila,rpob,11075.67,legionella
165,pneumophila,rpob,11103.63,legionella
166,pneumophila,rpme,4363.04,legionella
167,pneumophila,gspa,8670.88,legionella
168,pneumophila,rpob,11094.65,legionella
169,pneumophila,gspa,8560.72,legionella
170,pneumophila,rpob,10963.47,legionella
171,rubrilucens,rpob,10991.5,legionella
172,quinlivanii,rpob,11144.73,legionella
173,pneumophila,gspa,8530.67,legionella
174,pneumophila,rpob,11136.66,legionella
175,pneumophila,rpob,11130.71,legionella
