,species,gn,mw,genus
1,aminovorans,tata,6422.63,bacillus
2,aminovorans,rpsq,10144.86,bacillus
3,aminovorans,rpsf,11435.02,bacillus
4,aminovorans,rplx,11210.22,bacillus
5,aminovorans,gatc,10885.21,bacillus
6,aminovorans,rpmf,6435.7,bacillus
7,aminovorans,rpma,10311.74,bacillus
9,aminovorans,rpsu,6908.1,bacillus
10,aminovorans,purs,9595.85,bacillus
12,aminovorans,tata,6945.03,bacillus
14,aminovorans,rpsn,7276.83,bacillus
18,aminovorans,acpp,8561.51,bacillus
19,aminovorans,rpss,10671.31,bacillus
20,aminovorans,sece,6816.25,bacillus
21,aminovorans,rpmj,4333.4,bacillus
22,aminovorans,rpmi,7579.03,bacillus
23,aminovorans,rpmh,5198.18,bacillus
24,aminovorans,rpso,10630.19,bacillus
25,aminovorans,infa,8229.59,bacillus
26,aminovorans,urea,11119.94,bacillus
28,aminovorans,rpmd,6831.96,bacillus
31,aminovorans,gros,10171.69,bacillus
33,aminovorans,rpmg,5849.81,bacillus
34,aminovorans,rpsj,11695.72,bacillus
38,aminovorans,sspi,7441.41,bacillus
39,aminovorans,tata,7272.69,bacillus
40,aminovorans,flie,11329.19,bacillus
41,aminovorans,spov,11763.19,bacillus
42,aminovorans,rpme,7826.89,bacillus
43,aminovorans,rpsp,10311.97,bacillus
45,aminovorans,rpmg,5340.29,bacillus
46,aminovorans,rpmc,7627.83,bacillus
47,aminovorans,rpst,9228.78,bacillus
49,aminovorans,rplw,10898.72,bacillus
50,aminovorans,rpsn,10509.45,bacillus
51,aminovorans,tata,6220.22,bacillus
54,aminovorans,ureb,11760.3,bacillus
55,aminovorans,csra,7988.35,bacillus
56,aminovorans,moad,8337.29,bacillus
59,aminovorans,cbin,9928.54,bacillus
60,aminovorans,rpsr,9079.71,bacillus
63,aminovorans,rpmb,6944.24,bacillus
65,aminovorans,hfq,9417.87,bacillus
66,aminovorans,tata,6894.24,bacillus
67,aminovorans,xseb,8806.0,bacillus
68,aminovorans,rpsr,9022.66,bacillus
70,aminovorans,csra,7974.33,bacillus
71,aminovorans,xseb,8816.98,bacillus
72,aminovorans,crcb,11112.14,bacillus
75,aminovorans,rplu,11355.21,bacillus
76,aminovorans,rpmb,6944.19,bacillus
77,aminovorans,tata,6335.31,bacillus
79,aminovorans,hfq,9546.0,bacillus
81,aminovorans,urea,11088.93,bacillus
85,aminovorans,rplw,10856.68,bacillus
87,aminovorans,ureb,11662.11,bacillus
89,aminovorans,crcb,11155.28,bacillus
92,aminovorans,cbin,9972.59,bacillus
93,aminovorans,rpsn,10381.3,bacillus
94,aminovorans,rplu,11383.26,bacillus
96,aminovorans,rpoz,8673.93,bacillus
