,species,gn,mw,genus
0,pneumoniae,acpp,9010.07,chlamydia
1,trachomatis,acpp,8701.65,chlamydia
2,abortus,acpp,8794.78,chlamydia
4,felis,acpp,8825.79,chlamydia
5,muridarum,acpp,8721.68,chlamydia
6,trachomatis,acpp,8720.69,chlamydia
8,trachomatis,gros,11182.85,chlamydia
9,trachomatis,gros,11168.83,chlamydia
10,trachomatis,gros,11181.87,chlamydia
11,felis,gros,11220.86,chlamydia
12,pneumoniae,gros,11316.03,chlamydia
13,muridarum,gros,11182.85,chlamydia
15,phage,orf5,11468.86,chlamydia
16,trachomatis,hup,11410.51,chlamydia
17,pneumoniae,hup,11473.61,chlamydia
18,muridarum,hup,11410.51,chlamydia
19,muridarum,gatc,11083.72,chlamydia
20,trachomatis,gatc,11073.63,chlamydia
22,pneumoniae,gatc,11352.89,chlamydia
25,trachomatis,omca,9278.73,chlamydia
26,trachomatis,omca,9205.72,chlamydia
27,trachomatis,rpma,8916.27,chlamydia
28,muridarum,rpmb,10111.28,chlamydia
29,trachomatis,rpmb,10145.25,chlamydia
30,trachomatis,rpmc,8294.71,chlamydia
31,muridarum,rpmg,6327.52,chlamydia
32,pneumoniae,rpmg,6355.5,chlamydia
33,pneumoniae,rpmh,5548.52,chlamydia
34,trachomatis,rpmh,5463.41,chlamydia
35,trachomatis,rpma,8944.32,chlamydia
36,pneumoniae,rpmc,8196.59,chlamydia
37,felis,rpme,11972.74,chlamydia
38,abortus,rpmi,7315.84,chlamydia
39,trachomatis,rpmi,7342.83,chlamydia
40,felis,rpma,8972.34,chlamydia
41,felis,rpmb,10134.29,chlamydia
42,trachomatis,rpmc,8282.66,chlamydia
43,abortus,rpmj,5120.07,chlamydia
44,trachomatis,rpmj,5163.1,chlamydia
47,abortus,rpmc,8204.76,chlamydia
48,trachomatis,rpmg,6285.48,chlamydia
50,felis,rpmi,7315.84,chlamydia
52,pneumoniae,rpmf,6687.89,chlamydia
53,trachomatis,rpmf,6483.64,chlamydia
54,muridarum,rpma,8944.32,chlamydia
56,muridarum,rpmj,5163.1,chlamydia
58,abortus,rpmf,6775.9,chlamydia
59,muridarum,rpmf,6510.67,chlamydia
60,trachomatis,rpmg,6313.5,chlamydia
61,pneumoniae,rpma,9133.54,chlamydia
63,trachomatis,rpmb,10127.21,chlamydia
64,felis,rpmc,8192.61,chlamydia
65,abortus,rpmb,10072.24,chlamydia
67,muridarum,rpmc,8284.63,chlamydia
69,abortus,rpmg,6327.48,chlamydia
72,pneumoniae,rpmb,10364.47,chlamydia
73,felis,rpmf,6753.89,chlamydia
76,felis,rpmh,5490.44,chlamydia
77,muridarum,rpmh,5408.33,chlamydia
79,muridarum,rpmi,7342.83,chlamydia
80,pneumoniae,rpmi,7359.89,chlamydia
81,trachomatis,rpsj,11868.97,chlamydia
83,felis,rpmj,5135.08,chlamydia
84,pneumoniae,rpmj,5121.06,chlamydia
85,pneumoniae,trxa,11292.12,chlamydia
86,muridarum,trxa,11147.04,chlamydia
87,trachomatis,trxa,11197.06,chlamydia
99,trachomatis,xseb,8357.58,chlamydia
100,muridarum,xseb,8341.58,chlamydia
102,trachomatis,xseb,8361.57,chlamydia
103,felis,xseb,8860.92,chlamydia
104,trachomatis,xseb,8382.59,chlamydia
105,abortus,xseb,8959.07,chlamydia
106,pneumoniae,xseb,8808.98,chlamydia
107,abortus,infa,8368.07,chlamydia
108,pneumoniae,infa,8354.99,chlamydia
109,trachomatis,infa,8413.03,chlamydia
110,muridarum,infa,8413.03,chlamydia
111,phage,orf8,4669.65,chlamydia
112,trachomatis,incf,10436.66,chlamydia
113,felis,infa,8368.03,chlamydia
117,pneumoniae,omca,9409.97,chlamydia
118,muridarum,omca,9341.88,chlamydia
119,pneumoniae,ptsh,11859.62,chlamydia
120,muridarum,ptsh,11147.82,chlamydia
121,trachomatis,ptsh,11597.29,chlamydia
122,abortus,rpma,8991.29,chlamydia
123,abortus,rpsn,11644.82,chlamydia
124,felis,rpsq,9699.33,chlamydia
125,pneumoniae,rpsq,9888.72,chlamydia
126,abortus,rpsu,6605.95,chlamydia
128,muridarum,rpsr,9400.1,chlamydia
129,trachomatis,rpsr,9402.08,chlamydia
132,trachomatis,rpsn,11715.81,chlamydia
133,felis,rpsj,11825.94,chlamydia
134,abortus,rpsj,11825.94,chlamydia
135,trachomatis,rpso,10400.05,chlamydia
136,abortus,rpst,10780.96,chlamydia
137,pneumoniae,rpst,11148.16,chlamydia
138,felis,rpsn,11644.82,chlamydia
139,muridarum,rpsn,11701.83,chlamydia
140,abortus,rpsq,9555.2,chlamydia
