,species,gn,mw,genus
0,multocida,acpp,8583.55,pasteurella
1,multocida,acyp,10284.67,pasteurella
2,multocida,atpe,8721.59,pasteurella
3,multocida,gros,10311.88,pasteurella
4,multocida,csra,6918.13,pasteurella
5,multocida,cyay,11795.02,pasteurella
6,multocida,hup,9306.83,pasteurella
7,multocida,xseb,9273.4,pasteurella
9,multocida,fis,11222.95,pasteurella
10,multocida,ftsb,11072.81,pasteurella
11,multocida,hfq,10956.26,pasteurella
12,multocida,infa,8325.79,pasteurella
13,multocida,ihfb,10682.35,pasteurella
14,multocida,ihfa,11077.76,pasteurella
15,multocida,oadg,9438.21,pasteurella
16,multocida,slyx,8657.9,pasteurella
27,multocida,rpma,9123.45,pasteurella
28,multocida,rplu,11409.21,pasteurella
29,multocida,rplx,11239.18,pasteurella
30,multocida,rpmd,6677.99,pasteurella
31,multocida,rply,10550.13,pasteurella
32,multocida,rpme,10124.45,pasteurella
33,multocida,rpmi,7438.06,pasteurella
34,multocida,rpmb,8956.56,pasteurella
35,multocida,rpmg,6548.8,pasteurella
36,multocida,rpmj,4279.25,pasteurella
37,multocida,rpme,7760.92,pasteurella
38,multocida,rpmf,6433.32,pasteurella
39,multocida,rplw,11207.93,pasteurella
40,multocida,rpmc,7148.29,pasteurella
41,multocida,rpmh,5098.06,pasteurella
42,multocida,rpoz,10116.57,pasteurella
43,multocida,rpsq,9759.53,pasteurella
44,multocida,rpss,10259.17,pasteurella
45,multocida,rpso,10183.81,pasteurella
46,multocida,rpsu,8505.85,pasteurella
47,multocida,rpsj,11766.62,pasteurella
48,multocida,rpsn,11646.62,pasteurella
49,multocida,rpsp,9130.51,pasteurella
50,multocida,rpsr,8942.39,pasteurella
51,multocida,rpst,9866.66,pasteurella
52,multocida,tata,8203.47,pasteurella
53,multocida,trxa,11476.32,pasteurella
54,multocida,trpr,11773.57,pasteurella
55,multocida,tusa,9238.85,pasteurella
57,multocida,zapa,11399.17,pasteurella
62,multocida,yacg,7796.83,pasteurella
64,multocida,zapb,8485.49,pasteurella
65,multocida,rpl2,10550.13,pasteurella
67,multocida,acpp,8511.49,pasteurella
68,multocida,hima,11091.79,pasteurella
69,multocida,rps1,9759.53,pasteurella
73,multocida,rps1,7760.09,pasteurella
74,multocida,rps2,9866.66,pasteurella
75,multocida,rpl1,8987.7,pasteurella
79,multocida,rpl3,6529.75,pasteurella
80,multocida,slyx,8779.06,pasteurella
82,multocida,hupa,9334.89,pasteurella
83,multocida,cas2,10871.74,pasteurella
84,multocida,lapa,11053.47,pasteurella
85,multocida,rpmj,5258.33,pasteurella
86,multocida,rpmc,7129.24,pasteurella
87,multocida,cas2,11888.08,pasteurella
88,multocida,yacg,7826.86,pasteurella
89,multocida,ihfb,10712.38,pasteurella
90,multocida,rplu,11439.24,pasteurella
91,multocida,rpmj,5307.4,pasteurella
92,multocida,tusa,9307.96,pasteurella
93,multocida,tusa,9252.88,pasteurella
95,multocida,slyx,8629.84,pasteurella
98,multocida,tusa,9226.8,pasteurella
101,multocida,rpme,7730.89,pasteurella
102,multocida,rpsp,9144.58,pasteurella
103,multocida,ftsb,11044.75,pasteurella
108,multocida,trpr,11953.78,pasteurella
110,multocida,yacg,7756.79,pasteurella
117,multocida,slyx,8612.9,pasteurella
118,multocida,rpsq,9745.5,pasteurella
121,multocida,rpsp,9172.63,pasteurella
123,multocida,ihfa,11088.81,pasteurella
124,multocida,prib,11972.83,pasteurella
125,multocida,rpoz,10188.59,pasteurella
126,multocida,rpsn,11674.67,pasteurella
130,multocida,rpso,10209.84,pasteurella
132,multocida,rply,10561.16,pasteurella
133,multocida,rpma,9125.42,pasteurella
136,multocida,rpmf,6392.22,pasteurella
139,multocida,rpme,7771.99,pasteurella
140,multocida,cyay,11894.25,pasteurella
141,multocida,ihfb,10773.4,pasteurella
142,multocida,hfq,10941.29,pasteurella
145,multocida,tusa,9162.71,pasteurella
146,multocida,xseb,9192.38,pasteurella
147,multocida,rpmb,9014.6,pasteurella
148,multocida,rpmd,6661.99,pasteurella
149,multocida,lapa,10951.36,pasteurella
150,multocida,csra,7012.15,pasteurella
151,multocida,moad,8897.36,pasteurella
152,multocida,oadg,9392.14,pasteurella
153,multocida,acpp,8573.51,pasteurella
155,multocida,rplx,11283.19,pasteurella
158,bettyae,infa,8325.79,pasteurella
160,bettyae,rpmb,8883.36,pasteurella
161,bettyae,rpmh,5098.06,pasteurella
162,bettyae,rplx,11369.37,pasteurella
163,bettyae,trpr,11731.75,pasteurella
164,bettyae,rpst,9486.21,pasteurella
165,bettyae,ihfb,10733.37,pasteurella
166,bettyae,prib,11262.07,pasteurella
167,bettyae,moad,8704.05,pasteurella
168,bettyae,rplu,11411.27,pasteurella
169,bettyae,trxa,11662.6,pasteurella
171,bettyae,rpmf,6392.22,pasteurella
172,bettyae,tusa,9173.67,pasteurella
173,bettyae,rpmc,7176.26,pasteurella
178,bettyae,zapb,8453.5,pasteurella
179,bettyae,ccmd,7871.09,pasteurella
182,bettyae,rplw,11201.85,pasteurella
183,bettyae,ftsb,10881.5,pasteurella
184,bettyae,slyx,8641.93,pasteurella
185,bettyae,rpsj,11766.62,pasteurella
186,bettyae,lapa,10997.3,pasteurella
187,bettyae,rpsr,8956.42,pasteurella
188,bettyae,rpmg,6548.76,pasteurella
189,bettyae,hup,9393.91,pasteurella
190,bettyae,hfq,10263.7,pasteurella
191,bettyae,fis,11197.89,pasteurella
192,bettyae,rply,10667.23,pasteurella
195,bettyae,rpma,9112.43,pasteurella
197,bettyae,tata,8123.47,pasteurella
198,bettyae,cyay,11881.2,pasteurella
199,bettyae,acpp,8587.54,pasteurella
200,bettyae,rpso,10181.74,pasteurella
207,bettyae,rpsp,9128.58,pasteurella
209,bettyae,rpmi,7452.09,pasteurella
210,bettyae,gros,10296.91,pasteurella
211,bettyae,ihfa,11006.68,pasteurella
212,bettyae,oadg,8151.93,pasteurella
213,bettyae,xseb,9346.54,pasteurella
215,bettyae,rpsn,11777.79,pasteurella
216,bettyae,rpsu,8505.85,pasteurella
220,bettyae,rpsq,9813.49,pasteurella
221,bettyae,csra,7082.16,pasteurella
222,bettyae,rsfs,11490.09,pasteurella
