,species,gn,mw,genus
0,palustris,acpp,8572.64,rhodopseudomonas
1,palustris,acpp,8542.62,rhodopseudomonas
2,palustris,acyp,10931.5,rhodopseudomonas
4,palustris,acyp,10849.39,rhodopseudomonas
5,palustris,acpp,8554.67,rhodopseudomonas
8,palustris,acyp,10433.93,rhodopseudomonas
9,palustris,acyp,10781.45,rhodopseudomonas
10,palustris,gros,10624.38,rhodopseudomonas
11,palustris,citd,10491.11,rhodopseudomonas
12,palustris,gros,11164.06,rhodopseudomonas
13,palustris,gros,10180.82,rhodopseudomonas
14,palustris,clps,11533.46,rhodopseudomonas
15,palustris,cown,10739.13,rhodopseudomonas
16,palustris,cown,10836.25,rhodopseudomonas
17,palustris,cown,11016.38,rhodopseudomonas
18,palustris,cown,10932.45,rhodopseudomonas
19,palustris,cown,10977.52,rhodopseudomonas
21,palustris,gatc,10340.79,rhodopseudomonas
22,palustris,gatc,10383.86,rhodopseudomonas
23,palustris,gatc,10291.72,rhodopseudomonas
24,palustris,gatc,10415.9,rhodopseudomonas
25,palustris,gatc,10296.78,rhodopseudomonas
26,palustris,gatc,10370.82,rhodopseudomonas
27,palustris,puca,6393.55,rhodopseudomonas
28,palustris,puca,6824.06,rhodopseudomonas
29,palustris,puca,6364.73,rhodopseudomonas
30,palustris,pucb,5731.58,rhodopseudomonas
31,palustris,puca,6556.75,rhodopseudomonas
32,palustris,puca,6343.49,rhodopseudomonas
33,palustris,pucb,5281.08,rhodopseudomonas
34,palustris,pucb,5775.72,rhodopseudomonas
35,palustris,pucb,5787.69,rhodopseudomonas
36,palustris,nuok,11043.42,rhodopseudomonas
37,palustris,nuok,10374.33,rhodopseudomonas
38,palustris,nuok,10281.09,rhodopseudomonas
39,palustris,nuok,10421.47,rhodopseudomonas
40,palustris,pqqd,11217.81,rhodopseudomonas
43,palustris,rplw,10908.68,rhodopseudomonas
44,palustris,rpmc,7981.21,rhodopseudomonas
45,palustris,rpme,8608.65,rhodopseudomonas
46,palustris,rpme,8580.63,rhodopseudomonas
47,palustris,rpmg,6366.66,rhodopseudomonas
48,palustris,rpmh,5118.16,rhodopseudomonas
49,palustris,rpmb,11161.06,rhodopseudomonas
50,palustris,rpmd,7224.55,rhodopseudomonas
51,palustris,rpmf,6949.08,rhodopseudomonas
52,palustris,rpma,9417.77,rhodopseudomonas
53,palustris,rpma,9580.97,rhodopseudomonas
54,palustris,rpmc,7908.16,rhodopseudomonas
55,palustris,rpmc,7889.05,rhodopseudomonas
56,palustris,rpmd,7152.46,rhodopseudomonas
57,palustris,rpmi,7481.01,rhodopseudomonas
58,palustris,rpmj,5065.05,rhodopseudomonas
59,palustris,rplw,10987.85,rhodopseudomonas
60,palustris,rplx,11253.09,rhodopseudomonas
61,palustris,rpma,9436.77,rhodopseudomonas
62,palustris,rpma,9478.85,rhodopseudomonas
63,palustris,rpmj,5064.02,rhodopseudomonas
64,palustris,rplx,11019.88,rhodopseudomonas
65,palustris,rpmd,7129.29,rhodopseudomonas
66,palustris,rpmf,6936.08,rhodopseudomonas
67,palustris,rpmf,6924.02,rhodopseudomonas
68,palustris,rpmi,7484.98,rhodopseudomonas
70,palustris,rpmc,7981.26,rhodopseudomonas
71,palustris,rpme,8567.63,rhodopseudomonas
73,palustris,rpmg,6338.6,rhodopseudomonas
74,palustris,rpmg,6368.63,rhodopseudomonas
75,palustris,rpmh,5120.13,rhodopseudomonas
76,palustris,rpmi,7547.1,rhodopseudomonas
77,palustris,rplw,10940.68,rhodopseudomonas
78,palustris,rplx,11129.98,rhodopseudomonas
79,palustris,rpmd,7131.31,rhodopseudomonas
81,palustris,rpmh,5090.11,rhodopseudomonas
84,palustris,rplx,11241.12,rhodopseudomonas
85,palustris,rpmb,10978.86,rhodopseudomonas
87,palustris,rpmd,7182.47,rhodopseudomonas
89,palustris,rpma,9534.87,rhodopseudomonas
90,palustris,rpmb,10802.62,rhodopseudomonas
91,palustris,rpmb,11100.06,rhodopseudomonas
93,palustris,rpmf,6993.13,rhodopseudomonas
95,palustris,rpme,8328.45,rhodopseudomonas
96,palustris,rpme,8528.58,rhodopseudomonas
97,palustris,rpmj,5062.05,rhodopseudomonas
99,palustris,rpmg,6380.64,rhodopseudomonas
100,palustris,rpmg,6352.63,rhodopseudomonas
102,palustris,rpmi,7575.15,rhodopseudomonas
103,palustris,rpmj,5063.04,rhodopseudomonas
104,palustris,rpmj,5078.05,rhodopseudomonas
106,palustris,rpsj,11668.58,rhodopseudomonas
109,palustris,rpsj,11654.55,rhodopseudomonas
110,palustris,slyx,8270.17,rhodopseudomonas
111,palustris,slyx,7894.65,rhodopseudomonas
112,palustris,slyx,7927.79,rhodopseudomonas
113,palustris,slyx,8018.85,rhodopseudomonas
115,palustris,tata,8313.68,rhodopseudomonas
116,palustris,tata,8337.75,rhodopseudomonas
117,palustris,tata,8366.66,rhodopseudomonas
118,palustris,tata,8460.77,rhodopseudomonas
120,palustris,tata,8427.79,rhodopseudomonas
121,palustris,urea,11087.94,rhodopseudomonas
122,palustris,ureb,11360.07,rhodopseudomonas
123,palustris,urea,11035.9,rhodopseudomonas
125,palustris,ureb,11042.64,rhodopseudomonas
126,palustris,urea,11107.97,rhodopseudomonas
127,palustris,urea,10943.82,rhodopseudomonas
128,palustris,ureb,11433.97,rhodopseudomonas
129,palustris,ureb,11195.77,rhodopseudomonas
130,palustris,ureb,11137.74,rhodopseudomonas
131,palustris,urea,11150.01,rhodopseudomonas
132,palustris,ureb,11098.61,rhodopseudomonas
156,palustris,xseb,9268.56,rhodopseudomonas
157,palustris,xseb,9273.47,rhodopseudomonas
158,palustris,xseb,8932.12,rhodopseudomonas
160,palustris,xseb,9282.55,rhodopseudomonas
161,palustris,fer1,6728.8,rhodopseudomonas
162,palustris,hfq,9150.62,rhodopseudomonas
163,palustris,hfq,9166.62,rhodopseudomonas
166,palustris,hise,11670.37,rhodopseudomonas
167,palustris,hfq,9196.64,rhodopseudomonas
169,palustris,infa,10602.28,rhodopseudomonas
170,palustris,ihfa,11758.74,rhodopseudomonas
171,palustris,ihfb,11485.06,rhodopseudomonas
172,palustris,ihfb,11369.88,rhodopseudomonas
173,palustris,ihfb,11254.79,rhodopseudomonas
174,palustris,infa,10693.34,rhodopseudomonas
175,palustris,infa,10677.34,rhodopseudomonas
176,palustris,ihfb,11674.14,rhodopseudomonas
177,palustris,infa,10577.22,rhodopseudomonas
178,palustris,ihfb,11374.86,rhodopseudomonas
180,palustris,mine,9191.89,rhodopseudomonas
181,palustris,nuok,10323.35,rhodopseudomonas
183,palustris,nuok,10253.1,rhodopseudomonas
188,palustris,pqqd,11408.15,rhodopseudomonas
189,palustris,pqqd,11368.15,rhodopseudomonas
190,palustris,pqqd,11303.12,rhodopseudomonas
191,palustris,rplw,10925.71,rhodopseudomonas
192,palustris,rpmb,10844.7,rhodopseudomonas
195,palustris,rplx,11158.01,rhodopseudomonas
197,palustris,rpsr,9124.9,rhodopseudomonas
198,palustris,rpst,9709.35,rhodopseudomonas
199,palustris,rpss,10231.85,rhodopseudomonas
200,palustris,rpsn,11463.65,rhodopseudomonas
201,palustris,rpso,10220.8,rhodopseudomonas
202,palustris,rpso,10166.79,rhodopseudomonas
203,palustris,rpsn,11480.59,rhodopseudomonas
204,palustris,rpsn,11534.68,rhodopseudomonas
205,palustris,rpsn,11447.6,rhodopseudomonas
206,palustris,rpsr,9120.91,rhodopseudomonas
207,palustris,rpsr,9094.88,rhodopseudomonas
208,palustris,rpss,10219.79,rhodopseudomonas
212,palustris,rpst,9778.49,rhodopseudomonas
213,palustris,rpsu,11081.08,rhodopseudomonas
214,palustris,rpss,10247.85,rhodopseudomonas
216,palustris,rpso,10142.72,rhodopseudomonas
218,palustris,rpsq,9671.22,rhodopseudomonas
220,palustris,rpsr,9136.91,rhodopseudomonas
222,palustris,rpss,10261.87,rhodopseudomonas
223,palustris,rpst,9594.17,rhodopseudomonas
224,palustris,rpsn,11436.57,rhodopseudomonas
225,palustris,rpsn,11464.57,rhodopseudomonas
226,palustris,rpso,10094.6,rhodopseudomonas
227,palustris,rpso,10122.65,rhodopseudomonas
228,palustris,rpsq,9685.31,rhodopseudomonas
229,palustris,rpsu,11050.07,rhodopseudomonas
230,palustris,rpsu,10063.9,rhodopseudomonas
233,palustris,rpsq,9681.23,rhodopseudomonas
236,palustris,rpst,9830.59,rhodopseudomonas
237,palustris,rpst,9498.01,rhodopseudomonas
238,palustris,rpsu,11150.15,rhodopseudomonas
239,palustris,rpsu,11041.02,rhodopseudomonas
254,palustris,sece,7025.45,rhodopseudomonas
255,palustris,rpma,9595.0,rhodopseudomonas
257,palustris,flie,10592.12,rhodopseudomonas
258,palustris,urea,11093.98,rhodopseudomonas
262,palustris,rpmc,7951.23,rhodopseudomonas
263,palustris,gatc,10401.83,rhodopseudomonas
266,palustris,pqqd,11246.05,rhodopseudomonas
271,palustris,cas2,11048.63,rhodopseudomonas
273,palustris,rpmf,6965.08,rhodopseudomonas
275,palustris,ihfb,11630.13,rhodopseudomonas
280,palustris,purs,8490.9,rhodopseudomonas
281,palustris,hise,11712.4,rhodopseudomonas
282,palustris,rpst,9724.32,rhodopseudomonas
285,palustris,rpsu,10899.95,rhodopseudomonas
286,palustris,rpmj,5035.02,rhodopseudomonas
288,palustris,rpso,10038.62,rhodopseudomonas
291,palustris,rpsq,9743.35,rhodopseudomonas
293,palustris,rpsu,10047.9,rhodopseudomonas
294,palustris,rsfs,10771.4,rhodopseudomonas
297,palustris,gros,10610.36,rhodopseudomonas
298,palustris,moad,8983.34,rhodopseudomonas
299,palustris,clps,11376.29,rhodopseudomonas
301,palustris,rpsn,11389.56,rhodopseudomonas
302,palustris,pqqa,2953.61,rhodopseudomonas
306,palustris,rpmb,10852.59,rhodopseudomonas
309,palustris,tata,8322.6,rhodopseudomonas
310,palustris,cown,11044.48,rhodopseudomonas
311,palustris,ureb,11092.68,rhodopseudomonas
313,palustris,yacg,6926.82,rhodopseudomonas
314,palustris,xseb,9285.52,rhodopseudomonas
316,palustris,rpmi,7543.08,rhodopseudomonas
318,palustris,nuok,11013.39,rhodopseudomonas
320,palustris,nuok,10406.39,rhodopseudomonas
321,palustris,gros,11121.98,rhodopseudomonas
323,palustris,purs,8333.69,rhodopseudomonas
324,palustris,nuok,11030.37,rhodopseudomonas
326,palustris,sece,7085.55,rhodopseudomonas
329,palustris,moad,9214.59,rhodopseudomonas
331,palustris,clps,11421.49,rhodopseudomonas
334,palustris,hise,11578.29,rhodopseudomonas
340,palustris,flie,10404.93,rhodopseudomonas
341,palustris,hupi,7672.63,rhodopseudomonas
343,palustris,purs,8419.78,rhodopseudomonas
348,palustris,suge,11061.37,rhodopseudomonas
350,palustris,fixu,7247.59,rhodopseudomonas
353,palustris,sece,9332.04,rhodopseudomonas
355,palustris,this,6958.83,rhodopseudomonas
356,palustris,rsfs,10815.45,rhodopseudomonas
358,palustris,moad,9119.5,rhodopseudomonas
361,palustris,hupa,11220.41,rhodopseudomonas
371,palustris,trxa,11253.18,rhodopseudomonas
391,palustris,yacg,6584.45,rhodopseudomonas
393,palustris,nuok,10833.21,rhodopseudomonas
397,palustris,gros,10594.4,rhodopseudomonas
398,palustris,clps,11467.37,rhodopseudomonas
399,palustris,sece,7397.88,rhodopseudomonas
402,palustris,rplw,10910.74,rhodopseudomonas
405,palustris,moad,9130.47,rhodopseudomonas
411,palustris,infa,10703.38,rhodopseudomonas
413,palustris,gros,11161.98,rhodopseudomonas
414,palustris,hise,11451.96,rhodopseudomonas
415,palustris,flie,10653.16,rhodopseudomonas
416,palustris,flie,11020.59,rhodopseudomonas
418,palustris,purs,8279.62,rhodopseudomonas
428,palustris,flie,10385.86,rhodopseudomonas
429,palustris,gros,11207.08,rhodopseudomonas
432,palustris,gros,10550.3,rhodopseudomonas
437,palustris,flie,10672.16,rhodopseudomonas
440,palustris,mdcc,10620.07,rhodopseudomonas
442,palustris,rpsj,11611.53,rhodopseudomonas
443,palustris,hise,11646.26,rhodopseudomonas
444,palustris,tata,8639.03,rhodopseudomonas
448,palustris,nuok,11305.77,rhodopseudomonas
454,palustris,flie,10842.51,rhodopseudomonas
458,palustris,gatc,10312.8,rhodopseudomonas
459,palustris,flie,10662.19,rhodopseudomonas
462,palustris,mdcc,11183.83,rhodopseudomonas
463,palustris,sece,7344.88,rhodopseudomonas
469,palustris,ihfa,11815.7,rhodopseudomonas
471,palustris,rpmf,7009.13,rhodopseudomonas
472,palustris,hise,11663.24,rhodopseudomonas
474,palustris,xseb,9257.43,rhodopseudomonas
475,palustris,rpme,8560.73,rhodopseudomonas
476,palustris,gros,11206.1,rhodopseudomonas
477,palustris,rpsq,9727.28,rhodopseudomonas
478,palustris,purs,8317.64,rhodopseudomonas
479,palustris,gros,10626.36,rhodopseudomonas
480,palustris,ureb,11385.97,rhodopseudomonas
481,palustris,nuok,10415.38,rhodopseudomonas
483,palustris,mdcc,11126.66,rhodopseudomonas
486,palustris,rpmd,7127.39,rhodopseudomonas
487,palustris,ihfb,11283.84,rhodopseudomonas
488,palustris,sece,7392.86,rhodopseudomonas
489,palustris,clps,11357.16,rhodopseudomonas
499,palustris,rpsu,10899.89,rhodopseudomonas
501,palustris,acpp,8599.67,rhodopseudomonas
503,palustris,rplw,11090.96,rhodopseudomonas
505,palustris,slyx,8383.25,rhodopseudomonas
506,palustris,rpso,10226.91,rhodopseudomonas
507,palustris,yacg,6689.49,rhodopseudomonas
508,palustris,purs,8600.98,rhodopseudomonas
512,palustris,rpsn,11439.53,rhodopseudomonas
514,palustris,rpst,9761.5,rhodopseudomonas
516,palustris,gros,11324.19,rhodopseudomonas
517,palustris,rpmi,7485.02,rhodopseudomonas
522,palustris,rpmc,7974.2,rhodopseudomonas
525,palustris,clps,11852.77,rhodopseudomonas
532,palustris,slyx,8327.17,rhodopseudomonas
536,palustris,rpma,9636.03,rhodopseudomonas
539,palustris,moad,9011.35,rhodopseudomonas
540,palustris,rplx,11212.1,rhodopseudomonas
542,palustris,rpsr,9110.88,rhodopseudomonas
543,palustris,gros,10583.37,rhodopseudomonas
544,palustris,xseb,9046.2,rhodopseudomonas
546,palustris,nuok,11393.74,rhodopseudomonas
549,palustris,moad,9111.51,rhodopseudomonas
550,palustris,yacg,6621.38,rhodopseudomonas
