,species,gn,mw,genus
0,abortus,cydx,5875.85,brucella
1,melitensis,acpp,8301.26,brucella
2,canis,acpp,8301.26,brucella
3,suis,acpp,8301.26,brucella
4,suis,acpx,10360.74,brucella
7,abortus,acpp,8301.26,brucella
9,ovis,acpp,8301.26,brucella
10,melitensis,acpx,10360.74,brucella
12,canis,gros,10393.02,brucella
13,abortus,gros,10393.02,brucella
14,suis,gros,10393.02,brucella
17,melitensis,gros,10393.02,brucella
19,melitensis,gatc,10316.88,brucella
20,abortus,gatc,10302.85,brucella
21,melitensis,gatc,10302.85,brucella
23,ovis,gros,10349.01,brucella
25,suis,xseb,9322.52,brucella
26,melitensis,xseb,9322.52,brucella
27,melitensis,flie,11510.14,brucella
29,ovis,flie,11538.19,brucella
30,suis,flie,11510.14,brucella
31,abortus,flie,11510.14,brucella
35,canis,flie,11510.14,brucella
37,ovis,gatc,10302.85,brucella
38,canis,gatc,10302.85,brucella
39,suis,gatc,10302.85,brucella
41,melitensis,hfq,8854.31,brucella
42,suis,hfq,8854.31,brucella
43,abortus,hise,11252.72,brucella
44,melitensis,hise,11252.72,brucella
45,suis,hise,11252.72,brucella
46,abortus,hfq,8854.31,brucella
49,canis,hfq,8854.31,brucella
52,ovis,hise,11252.72,brucella
54,ovis,hfq,8854.31,brucella
58,canis,hise,11252.72,brucella
59,abortus,infa,8371.91,brucella
60,ovis,infa,8371.91,brucella
61,canis,ihfb,10567.01,brucella
62,suis,ihfb,10567.01,brucella
63,melitensis,infa,8371.91,brucella
64,melitensis,ihfa,11971.87,brucella
65,abortus,ihfb,10566.07,brucella
67,suis,infa,8371.91,brucella
70,melitensis,ihfb,10536.08,brucella
71,abortus,ihfa,11971.87,brucella
72,ovis,ihfb,10567.01,brucella
75,canis,ihfa,11971.87,brucella
76,suis,ihfa,11971.87,brucella
79,canis,infa,8337.89,brucella
80,suis,infa,8337.89,brucella
82,suis,ihfa,11999.93,brucella
83,suis,mine,10088.69,brucella
84,melitensis,mine,10088.69,brucella
85,abortus,mine,10088.69,brucella
86,canis,mine,10088.69,brucella
88,canis,nuok,10942.16,brucella
89,abortus,nuok,10942.16,brucella
90,melitensis,nuok,10942.16,brucella
91,ovis,nuok,10942.16,brucella
94,suis,nuok,10942.16,brucella
97,ovis,mine,10088.69,brucella
102,suis,phhb,11054.52,brucella
109,melitensis,phhb,11054.52,brucella
110,abortus,slyx,7872.94,brucella
111,melitensis,slyx,7872.94,brucella
112,suis,slyx,7871.99,brucella
113,canis,slyx,7872.94,brucella
114,suis,slyx,7872.94,brucella
119,abortus,yacg,6354.22,brucella
129,abortus,rplw,10517.28,brucella
130,canis,rpmb,10869.44,brucella
131,ovis,rpme,8182.26,brucella
132,melitensis,rpmf,6789.85,brucella
133,abortus,rpma,9376.6,brucella
134,ovis,rpma,9376.6,brucella
135,melitensis,rpmd,7172.47,brucella
136,canis,rpmf,6789.85,brucella
137,suis,rpmf,6789.85,brucella
139,ovis,rplw,10535.32,brucella
140,abortus,rplx,11208.07,brucella
141,abortus,rpmd,7172.47,brucella
142,abortus,rpme,8182.26,brucella
143,abortus,rpmg,6399.64,brucella
