,species,gn,mw,genus
0,aeruginosa,pchb,11432.11,pseudomonas
1,putida,acpp,8725.75,pseudomonas
2,entomophila,acpp,8684.57,pseudomonas
3,putida,acpp,8711.73,pseudomonas
4,aeruginosa,acpp,8740.72,pseudomonas
5,aeruginosa,acpp,8950.95,pseudomonas
6,fluorescens,acpp,8642.58,pseudomonas
7,stutzeri,acpp,8698.6,pseudomonas
8,putida,acpp,8700.57,pseudomonas
9,putida,tdnl,6927.09,pseudomonas
10,fluorescens,nahj,7107.22,pseudomonas
12,aeruginosa,acyp,10324.81,pseudomonas
13,putida,xylh,6969.07,pseudomonas
14,putida,xylh,6942.04,pseudomonas
15,putida,nahj,7122.23,pseudomonas
16,stutzeri,nahj,6882.97,pseudomonas
17,mendocina,acpp,8671.57,pseudomonas
18,putida,acpp,8714.64,pseudomonas
19,aeruginosa,acyp,10312.69,pseudomonas
21,syringae,acpp,8613.54,pseudomonas
22,putida,arcd,1643.9,pseudomonas
23,syringae,arne,11741.21,pseudomonas
24,aeruginosa,atpe,8608.48,pseudomonas
25,fluorescens,atpe,8608.48,pseudomonas
29,syringae,atpe,8608.48,pseudomonas
30,entomophila,atpe,8608.48,pseudomonas
31,putida,atpe,8608.48,pseudomonas
33,aeruginosa,baub,10393.66,pseudomonas
38,phage,viii,4630.52,pseudomonas
39,fragi,capa,7015.86,pseudomonas
40,savastanoi,atpe,8608.48,pseudomonas
42,putida,bnzc,11905.63,pseudomonas
44,putida,bedb,11939.64,pseudomonas
45,fragi,capb,7726.69,pseudomonas
46,phage,viii,8376.98,pseudomonas
47,putida,cbpm,11557.33,pseudomonas
48,syringae,capb,7726.69,pseudomonas
49,resinovorans,cara,11366.98,pseudomonas
50,entomophila,cbpm,11647.37,pseudomonas
51,putida,cbpm,11602.39,pseudomonas
52,putida,cbpm,11591.29,pseudomonas
53,aeruginosa,catc,11314.02,pseudomonas
54,putida,catc,11115.77,pseudomonas
55,fluorescens,helc,8988.73,pseudomonas
56,fluorescens,ccmd,6697.91,pseudomonas
57,savastanoi,gros,10267.77,pseudomonas
58,putida,gros,10223.71,pseudomonas
59,stutzeri,gros,10267.77,pseudomonas
60,putida,gros,10253.74,pseudomonas
61,aeruginosa,ccmd,6721.74,pseudomonas
62,stutzeri,gros,10265.75,pseudomonas
63,aeruginosa,gros,10266.78,pseudomonas
65,putida,cbpm,11607.3,pseudomonas
67,putida,gros,10265.8,pseudomonas
68,putida,gros,10279.82,pseudomonas
69,aeruginosa,nirm,10966.7,pseudomonas
70,stutzeri,nirm,10796.83,pseudomonas
71,aeruginosa,cyay,11942.06,pseudomonas
72,putida,pchc,11933.75,pseudomonas
73,aeruginosa,hupb,9086.61,pseudomonas
74,putida,csra,7271.49,pseudomonas
75,mendocina,csra,6810.87,pseudomonas
76,stutzeri,csra,6881.95,pseudomonas
77,phage,vi,9639.67,pseudomonas
78,aeruginosa,ftsl,11138.1,pseudomonas
79,aeruginosa,gatc,10442.82,pseudomonas
80,savastanoi,gatc,10502.92,pseudomonas
81,entomophila,gatc,10516.91,pseudomonas
82,putida,gatc,10391.8,pseudomonas
83,putida,gatc,10446.92,pseudomonas
84,aeruginosa,fptb,9569.37,pseudomonas
85,mendocina,gatc,10441.83,pseudomonas
87,syringae,gatc,10502.92,pseudomonas
89,fluorescens,gatc,10297.66,pseudomonas
90,fluorescens,gatc,10229.54,pseudomonas
92,aeruginosa,glpe,11935.01,pseudomonas
93,savastanoi,glpe,11651.89,pseudomonas
94,syringae,hfq,9353.78,pseudomonas
95,aeruginosa,hcna,11427.14,pseudomonas
96,mendocina,gros,10235.76,pseudomonas
97,syringae,gros,10267.77,pseudomonas
99,entomophila,gros,10251.77,pseudomonas
101,fluorescens,gros,10251.77,pseudomonas
102,fluorescens,gros,10220.75,pseudomonas
104,syringae,csra,6877.98,pseudomonas
105,protegens,csra,6953.11,pseudomonas
106,aeruginosa,csra,6908.97,pseudomonas
107,aeruginosa,cyay,11977.15,pseudomonas
108,aeruginosa,cspa,7605.54,pseudomonas
109,syringae,csra,7017.09,pseudomonas
110,syringae,csra,6953.11,pseudomonas
113,carboxydohydrogena,cutl,440.52,pseudomonas
114,aeruginosa,hupa,9695.19,pseudomonas
115,fluorescens,hupb,9105.52,pseudomonas
116,carboxydohydrogena,cuts,419.55,pseudomonas
117,carboxydohydrogena,cutm,1815.15,pseudomonas
119,fluorescens,xseb,8905.89,pseudomonas
120,putida,xseb,8715.73,pseudomonas
121,fluorescens,xseb,8874.88,pseudomonas
122,entomophila,xseb,8729.76,pseudomonas
123,aeruginosa,xseb,8972.93,pseudomonas
125,putida,xseb,8729.76,pseudomonas
126,syringae,xseb,9079.06,pseudomonas
131,putida,naht,11912.66,pseudomonas
136,aeruginosa,flie,11793.67,pseudomonas
137,fluorescens,flie,11697.41,pseudomonas
138,fluorescens,flie,11853.7,pseudomonas
141,putida,xseb,8743.79,pseudomonas
142,fluorescens,xseb,8847.81,pseudomonas
143,syringae,xseb,9093.09,pseudomonas
150,putida,flie,11877.81,pseudomonas
151,syringae,flie,11690.46,pseudomonas
153,entomophila,flie,11883.75,pseudomonas
158,aeruginosa,pil,2414.62,pseudomonas
159,savastanoi,flie,11690.51,pseudomonas
161,aeruginosa,flie,11879.76,pseudomonas
162,fluorescens,flie,11830.64,pseudomonas
164,putida,flie,11848.71,pseudomonas
165,phage,v,8903.15,pseudomonas
167,aeruginosa,ftsb,10874.54,pseudomonas
169,aeruginosa,flie,11851.71,pseudomonas
170,aeruginosa,gatc,10529.9,pseudomonas
171,aeruginosa,glpe,11963.06,pseudomonas
172,putida,glpe,11906.19,pseudomonas
173,putida,glpe,11720.92,pseudomonas
174,entomophila,glpe,11628.78,pseudomonas
176,syringae,glpe,11778.01,pseudomonas
178,fluorescens,gatc,10279.55,pseudomonas
180,aeruginosa,grx,9192.7,pseudomonas
181,fluorescens,glpe,11925.1,pseudomonas
182,mendocina,glpe,11864.96,pseudomonas
183,putida,glpe,11779.05,pseudomonas
184,syringae,glpe,11607.76,pseudomonas
186,fluorescens,glpe,11753.95,pseudomonas
187,fluorescens,glpe,11725.96,pseudomonas
188,savastanoi,hfq,9353.78,pseudomonas
189,aeruginosa,hfq,9103.53,pseudomonas
190,aeruginosa,hfq,9067.5,pseudomonas
191,fluorescens,hfq,9397.83,pseudomonas
192,mendocina,hfq,9479.86,pseudomonas
193,putida,hfq,9431.81,pseudomonas
194,mendocina,hise,11995.55,pseudomonas
195,syringae,hise,11935.48,pseudomonas
196,savastanoi,hise,11936.46,pseudomonas
197,stutzeri,hise,11865.38,pseudomonas
198,stutzeri,hfq,9311.66,pseudomonas
