,species,gn,mw,genus
1,nodulosum,nad3,5687.92,lecanicillium
3,longisporum,nad3,5699.93,lecanicillium
5,muscarium,nd4l,9802.06,lecanicillium
6,muscarium,nad3,5703.87,lecanicillium
7,muscarium,atp9,7522.12,lecanicillium
8,muscarium,nad3,5661.84,lecanicillium
9,fungicola,nad3,5978.24,lecanicillium
11,psalliotae,nad3,5661.84,lecanicillium
13,psalliotae,nad3,5703.92,lecanicillium
14,muscarium,nad3,5687.92,lecanicillium
16,psalliotae,nad3,5687.92,lecanicillium
17,longisporum,nad3,5687.92,lecanicillium
