,species,gn,mw,genus
0,canadensis,acpp,9903.4,rickettsia
1,prowazekii,acpp,9887.45,rickettsia
2,conorii,acpp,9903.45,rickettsia
3,rickettsii,acpp,9903.4,rickettsia
4,canadensis,omp,8372.26,rickettsia
5,africae,acpp,9903.45,rickettsia
6,bellii,acpp,9773.24,rickettsia
7,massiliae,acpp,9903.45,rickettsia
8,typhi,acpp,9887.45,rickettsia
9,bellii,acpp,9164.53,rickettsia
10,felis,acpp,9903.45,rickettsia
11,akari,atpe,7668.27,rickettsia
12,prowazekii,atpe,7686.29,rickettsia
13,africae,atpe,7734.31,rickettsia
14,felis,atpe,7686.31,rickettsia
15,peacockii,atpe,7704.28,rickettsia
16,bellii,atpc,11786.74,rickettsia
17,conorii,atpe,7704.28,rickettsia
18,bellii,atpe,7683.33,rickettsia
19,typhi,atpe,7670.29,rickettsia
22,canadensis,atpe,7631.23,rickettsia
23,prowazekii,gros,10450.26,rickettsia
24,akari,gros,10530.4,rickettsia
25,canadensis,gros,10511.35,rickettsia
26,peacockii,gros,10535.46,rickettsia
27,bellii,gros,10515.34,rickettsia
28,rickettsii,gros,10521.39,rickettsia
29,conorii,cspa,7770.77,rickettsia
30,typhi,cspa,7911.04,rickettsia
31,akari,cyay,11442.86,rickettsia
32,felis,cyay,11515.03,rickettsia
33,rickettsii,cyay,11688.12,rickettsia
35,africae,cyay,11689.06,rickettsia
36,conorii,cyay,11689.06,rickettsia
37,peacockii,cyay,11644.09,rickettsia
38,typhi,cyay,11923.56,rickettsia
39,prowazekii,rp52,9813.33,rickettsia
40,bellii,hup,11301.93,rickettsia
41,prowazekii,hup,11155.79,rickettsia
42,africae,gatc,11385.08,rickettsia
43,prowazekii,gatc,11344.19,rickettsia
44,typhi,gatc,11372.2,rickettsia
45,bellii,gatc,11497.27,rickettsia
46,conorii,gatc,11321.04,rickettsia
47,rickettsii,gatc,11327.05,rickettsia
48,felis,gatc,11344.1,rickettsia
49,canadensis,gatc,11366.06,rickettsia
51,bellii,gatc,11526.31,rickettsia
52,peacockii,gatc,11369.08,rickettsia
54,felis,gros,10572.48,rickettsia
55,conorii,gros,10536.4,rickettsia
56,typhi,gros,10476.3,rickettsia
57,prowazekii,cspa,7784.79,rickettsia
58,felis,cspa,7832.88,rickettsia
59,bellii,cyay,10879.15,rickettsia
60,prowazekii,cyay,11960.56,rickettsia
61,bellii,cspa,7663.7,rickettsia
63,conorii,hup,11163.79,rickettsia
64,typhi,hup,11118.75,rickettsia
66,felis,hup,11149.77,rickettsia
67,akari,xseb,9149.56,rickettsia
68,rickettsii,xseb,9133.56,rickettsia
69,africae,xseb,9147.63,rickettsia
70,prowazekii,xseb,9202.6,rickettsia
71,bellii,xseb,9117.41,rickettsia
72,felis,xseb,9119.42,rickettsia
73,canadensis,xseb,9159.53,rickettsia
74,massiliae,xseb,9116.55,rickettsia
75,typhi,xseb,9201.52,rickettsia
77,conorii,xseb,9133.56,rickettsia
78,peacockii,xseb,9133.56,rickettsia
80,amblyommii,fmt,8297.61,rickettsia
81,rhipicephali,fmt,8260.57,rickettsia
82,australis,fmt,8240.52,rickettsia
83,montanensis,fmt,8283.63,rickettsia
84,parkeri,fmt,8313.61,rickettsia
85,akari,fmt,8191.57,rickettsia
86,rickettsii,fmt,8286.59,rickettsia
87,sibirica,fmt,8269.58,rickettsia
88,felis,grxc,11917.85,rickettsia
89,akari,gatc,11302.07,rickettsia
90,conorii,grxc,11331.13,rickettsia
91,typhi,grxc,11662.46,rickettsia
92,bellii,grxc,11160.99,rickettsia
93,prowazekii,grxc,10850.66,rickettsia
94,felis,grxc,11396.38,rickettsia
97,prowazekii,rp70,10640.78,rickettsia
100,bellii,infa,8285.75,rickettsia
101,rickettsii,infa,8240.73,rickettsia
104,felis,infa,8236.68,rickettsia
105,prowazekii,infa,8224.67,rickettsia
106,conorii,infa,8240.73,rickettsia
107,akari,infa,8182.59,rickettsia
108,canadensis,infa,8237.67,rickettsia
109,massiliae,infa,8469.09,rickettsia
110,typhi,infa,8210.64,rickettsia
111,conorii,sece,7829.49,rickettsia
112,bellii,secg,10646.64,rickettsia
113,bellii,sece,7725.36,rickettsia
114,parkeri,sece,7829.49,rickettsia
115,rickettsii,sece,7817.44,rickettsia
116,conorii,secg,10680.69,rickettsia
118,prowazekii,rp69,9080.49,rickettsia
119,prowazekii,rp76,10971.84,rickettsia
124,prowazekii,rp81,8528.95,rickettsia
128,prowazekii,rp08,6744.18,rickettsia
130,prowazekii,rp86,11932.77,rickettsia
133,prowazekii,rp26,11775.55,rickettsia
134,prowazekii,rplu,11976.16,rickettsia
135,felis,rplw,11384.55,rickettsia
136,massiliae,rpma,9455.92,rickettsia
137,rickettsii,rpma,9322.84,rickettsia
138,typhi,rpmb,11048.69,rickettsia
139,canadensis,rpmd,7170.62,rickettsia
140,prowazekii,rpmd,7184.67,rickettsia
141,akari,rpmf,7473.62,rickettsia
142,felis,rpmf,7503.64,rickettsia
143,rickettsii,rpmf,7487.73,rickettsia
144,bellii,rpmg,6618.98,rickettsia
