,species,gn,mw,genus
0,meliloti,pqqa,3567.17,rhizobium
1,meliloti,rpmj,5005.03,rhizobium
2,meliloti,rpmh,5211.27,rhizobium
6,meliloti,ccmd,6024.0,rhizobium
8,meliloti,rpmg,6302.48,rhizobium
9,meliloti,fdxn,6828.93,rhizobium
11,meliloti,rpmf,6947.06,rhizobium
12,meliloti,sece,7318.63,rhizobium
13,meliloti,rpmi,7385.91,rhizobium
14,meliloti,cspa,7424.28,rhizobium
15,meliloti,tata,7443.69,rhizobium
16,meliloti,rpmc,7482.73,rhizobium
17,meliloti,rpmd,7541.0,rhizobium
18,meliloti,yacg,7783.61,rhizobium
20,meliloti,rpme,8192.23,rhizobium
21,meliloti,slyx,8306.35,rhizobium
22,meliloti,acpp,8340.34,rhizobium
23,meliloti,infa,8341.81,rhizobium
24,meliloti,purs,8460.88,rhizobium
26,meliloti,rpsu,8470.04,rhizobium
29,meliloti,rpsq,8991.41,rhizobium
31,meliloti,hfq,9053.52,rhizobium
32,meliloti,xseb,9259.41,rhizobium
33,meliloti,hupb,9303.45,rhizobium
34,meliloti,rpsu,9317.15,rhizobium
35,meliloti,rpsr,9451.15,rhizobium
36,meliloti,rpst,9462.06,rhizobium
37,meliloti,rpma,9489.87,rhizobium
38,meliloti,moad,9551.84,rhizobium
39,meliloti,mine,9711.27,rhizobium
40,meliloti,acpp,9741.02,rhizobium
41,meliloti,nodf,9771.01,rhizobium
43,meliloti,rpso,10133.67,rhizobium
44,meliloti,phaf,10144.3,rhizobium
46,meliloti,acyp,10200.42,rhizobium
48,meliloti,gatc,10407.95,rhizobium
49,meliloti,rpss,10444.12,rhizobium
50,meliloti,rplw,10444.18,rhizobium
51,meliloti,soxd,10458.77,rhizobium
52,meliloti,gros,10574.15,rhizobium
53,meliloti,rpmb,10576.26,rhizobium
54,meliloti,gros,10587.19,rhizobium
55,meliloti,suge,10685.06,rhizobium
56,meliloti,acpx,10703.14,rhizobium
57,meliloti,pqqd,10712.28,rhizobium
59,meliloti,ureb,10886.43,rhizobium
60,meliloti,nuok,10921.23,rhizobium
61,meliloti,fixx,10937.61,rhizobium
63,meliloti,nuok,11050.34,rhizobium
64,meliloti,urea,11127.98,rhizobium
