,species,gn,mw,genus
0,dysenteriae,stxb,9743.19,shigella
1,dysenteriae,acpp,8639.54,shigella
2,boydii,aaex,7846.62,shigella
3,dysenteriae,aaex,7846.62,shigella
4,sonnei,aaex,7846.62,shigella
5,flexneri,aaex,7846.62,shigella
6,dysenteriae,acpp,8775.26,shigella
8,boydii,acpp,8639.54,shigella
9,sonnei,acpp,8639.54,shigella
10,flexneri,acrz,5300.47,shigella
11,flexneri,acpp,8775.26,shigella
13,flexneri,acpp,8639.54,shigella
14,flexneri,yccx,10327.84,shigella
16,boydii,yccx,10327.84,shigella
17,boydii,atpe,8256.16,shigella
18,flexneri,atpe,8256.16,shigella
19,flexneri,asr,10460.1,shigella
20,dysenteriae,atpe,8256.16,shigella
21,sonnei,atpe,8256.16,shigella
24,flexneri,bola,11993.7,shigella
25,boydii,cbpm,11512.26,shigella
27,sonnei,cbpm,11512.26,shigella
28,flexneri,ccmd,7745.16,shigella
29,flexneri,cbpm,11512.26,shigella
30,dysenteriae,gros,10386.97,shigella
31,flexneri,ceda,9376.84,shigella
33,flexneri,cspe,7463.46,shigella
34,dysenteriae,csra,6855.91,shigella
35,sonnei,csra,6855.91,shigella
36,flexneri,ecnb,4809.54,shigella
37,boydii,dsrb,6945.85,shigella
38,flexneri,ftsb,11607.12,shigella
39,sonnei,ftsb,11622.09,shigella
40,boydii,hfq,11196.43,shigella
41,flexneri,hcac,11328.82,shigella
42,sonnei,hcac,11328.82,shigella
43,boydii,hcac,11358.84,shigella
44,sonnei,citd,10689.31,shigella
45,flexneri,cnu,8416.59,shigella
47,sonnei,ceda,9376.84,shigella
48,flexneri,gros,10386.97,shigella
49,boydii,citd,10730.32,shigella
50,flexneri,citd,10670.26,shigella
51,boydii,citd,10749.36,shigella
52,boydii,gros,10386.97,shigella
55,sonnei,gros,10386.97,shigella
56,sonnei,cnu,8416.59,shigella
57,flexneri,citd,10689.31,shigella
58,boydii,cnu,8416.59,shigella
60,dysenteriae,cnu,8416.59,shigella
61,flexneri,repa,10037.79,shigella
62,boydii,csra,6855.91,shigella
63,flexneri,cptb,10529.13,shigella
64,flexneri,cspa,7403.29,shigella
65,flexneri,csph,7720.04,shigella
67,boydii,cspa,4983.44,shigella
68,flexneri,cspc,7368.36,shigella
69,flexneri,cspd,7969.0,shigella
70,flexneri,cspg,7780.74,shigella
71,flexneri,csra,6855.91,shigella
73,flexneri,hupa,9535.0,shigella
74,flexneri,hupb,9225.59,shigella
75,flexneri,dini,8948.99,shigella
77,flexneri,dsrb,6929.85,shigella
78,sonnei,dsrb,6945.85,shigella
79,dysenteriae,dsrb,6945.85,shigella
81,flexneri,euts,11649.6,shigella
82,boydii,xseb,8951.94,shigella
83,flexneri,xseb,8951.94,shigella
84,dysenteriae,xseb,8951.94,shigella
85,sonnei,xseb,8977.98,shigella
87,flexneri,fixx,10507.02,shigella
88,flexneri,flie,11154.86,shigella
89,dysenteriae,feoc,8660.19,shigella
91,boydii,feoc,8660.19,shigella
92,boydii,yggx,10952.57,shigella
