,species,gn,mw,genus
0,johnsoniae,acpp,8577.55,flavobacterium
1,johnsoniae,aqpz,8159.5,flavobacterium
2,psychrophilum,infa,8092.54,flavobacterium
3,johnsoniae,infa,8108.54,flavobacterium
4,psychrophilum,nuok,11801.11,flavobacterium
5,johnsoniae,nuok,11637.85,flavobacterium
6,johnsoniae,rpmb,8839.48,flavobacterium
7,psychrophilum,rpmi,7441.14,flavobacterium
8,johnsoniae,rpmd,6630.99,flavobacterium
9,johnsoniae,rpmg,6918.2,flavobacterium
10,johnsoniae,rplx,11413.47,flavobacterium
11,johnsoniae,rpmc,7175.44,flavobacterium
12,psychrophilum,rpma,9248.62,flavobacterium
13,psychrophilum,rpmd,6693.04,flavobacterium
14,psychrophilum,rpmf,7524.75,flavobacterium
15,psychrophilum,rpmj,4584.58,flavobacterium
16,johnsoniae,rpmf,7499.65,flavobacterium
17,johnsoniae,rpmj,4543.53,flavobacterium
18,psychrophilum,rplx,11310.37,flavobacterium
19,psychrophilum,rpmb,8867.53,flavobacterium
20,psychrophilum,rpmg,6848.11,flavobacterium
21,johnsoniae,rpma,9401.78,flavobacterium
22,psychrophilum,rpmc,7167.53,flavobacterium
23,johnsoniae,rpmi,7496.15,flavobacterium
24,psychrophilum,rpso,10542.34,flavobacterium
25,johnsoniae,rpsj,11424.63,flavobacterium
26,johnsoniae,rpso,10512.27,flavobacterium
27,psychrophilum,rpsj,11410.61,flavobacterium
28,psychrophilum,rpsr,11332.36,flavobacterium
29,psychrophilum,rpsu,7690.21,flavobacterium
30,psychrophilum,rpsn,10151.0,flavobacterium
31,johnsoniae,rpsr,11354.45,flavobacterium
32,johnsoniae,rpsu,7417.79,flavobacterium
33,johnsoniae,rpss,10257.86,flavobacterium
34,johnsoniae,rpsn,10187.97,flavobacterium
35,psychrophilum,rpss,10153.8,flavobacterium
36,johnsoniae,rpst,9416.14,flavobacterium
37,psychrophilum,rpst,9472.16,flavobacterium
38,johnsoniae,tata,6376.62,flavobacterium
39,psychrophilum,tata,6217.45,flavobacterium
40,johnsoniae,urea,11079.84,flavobacterium
42,columnare,cas2,11749.61,flavobacterium
43,columnare,rplx,11161.22,flavobacterium
44,columnare,rplw,10631.42,flavobacterium
45,columnare,rpsu,7544.77,flavobacterium
46,columnare,tata,6311.5,flavobacterium
47,columnare,rpma,9250.59,flavobacterium
48,columnare,rpmc,7185.41,flavobacterium
49,columnare,rpsq,9943.82,flavobacterium
50,columnare,rpmh,6343.53,flavobacterium
51,columnare,rpsj,9630.37,flavobacterium
52,columnare,infa,8122.57,flavobacterium
55,columnare,rpso,10483.11,flavobacterium
56,columnare,sece,7448.61,flavobacterium
57,columnare,gros,9801.41,flavobacterium
58,hibernum,rplw,10688.49,flavobacterium
78,reichenbachii,rpsj,11424.63,flavobacterium
79,reichenbachii,infa,8108.54,flavobacterium
80,reichenbachii,nuok,11621.85,flavobacterium
81,reichenbachii,rpmc,7133.36,flavobacterium
