,species,gn,mw,genus
0,phaeobacteroides,acpp,8864.03,chlorobium
1,chlorochromatii,acpp,8838.02,chlorobium
2,luteolum,acpp,8848.98,chlorobium
3,tepidum,acpp,8975.18,chlorobium
4,limicola,acpp,8778.93,chlorobium
5,tepidum,acyp,10258.79,chlorobium
6,phaeovibrioides,acpp,8820.96,chlorobium
7,limicola,atpc,9375.82,chlorobium
8,tepidum,atpc,9340.75,chlorobium
10,limicola,gros,10294.89,chlorobium
11,tepidum,gros,10165.8,chlorobium
12,phaeovibrioides,gros,10192.84,chlorobium
13,tepidum,cas2,11213.9,chlorobium
14,luteolum,gros,10148.83,chlorobium
15,phaeobacteroides,gros,10265.89,chlorobium
16,phaeobacteroides,gros,10184.73,chlorobium
17,tepidum,csmf,7742.77,chlorobium
18,tepidum,csma,8289.47,chlorobium
19,tepidum,csmb,7608.72,chlorobium
20,phaeovibrioides,csma,5452.2,chlorobium
21,tepidum,csme,8954.06,chlorobium
22,tepidum,fcca,11437.97,chlorobium
23,limicola,gatc,10682.05,chlorobium
24,phaeobacteroides,gatc,10736.13,chlorobium
25,phaeobacteroides,gatc,10750.23,chlorobium
26,luteolum,gatc,10815.12,chlorobium
27,phaeovibrioides,gatc,10652.88,chlorobium
28,chlorochromatii,gatc,10829.37,chlorobium
29,tepidum,gatc,10669.11,chlorobium
30,tepidum,nuok,11590.01,chlorobium
31,phaeobacteroides,rpma,8832.03,chlorobium
32,phaeobacteroides,rpmh,6307.33,chlorobium
33,limicola,rpma,8789.08,chlorobium
34,phaeovibrioides,rpma,8726.0,chlorobium
35,tepidum,rpmc,8083.43,chlorobium
36,phaeobacteroides,rpmd,6929.23,chlorobium
37,phaeobacteroides,rpmi,7666.18,chlorobium
38,chlorochromatii,rpmj,4587.59,chlorobium
39,luteolum,rplw,11647.51,chlorobium
40,phaeovibrioides,rplx,8930.62,chlorobium
41,tepidum,rplx,8968.71,chlorobium
42,phaeobacteroides,rpmb,8394.96,chlorobium
43,phaeobacteroides,rpmg,7011.2,chlorobium
44,tepidum,rpmg,7039.25,chlorobium
45,tepidum,rpma,8806.05,chlorobium
46,luteolum,rpmb,8299.87,chlorobium
47,phaeovibrioides,rpmg,6991.23,chlorobium
48,limicola,rpmh,6256.39,chlorobium
49,phaeobacteroides,rpmh,6155.13,chlorobium
50,tepidum,rpmh,6157.19,chlorobium
51,chlorochromatii,rpmi,7459.9,chlorobium
52,phaeovibrioides,rpmj,4571.59,chlorobium
53,chlorochromatii,rpme,7920.11,chlorobium
54,phaeobacteroides,rpme,8453.72,chlorobium
55,phaeobacteroides,rpmf,6984.05,chlorobium
56,chlorochromatii,rplw,11357.2,chlorobium
57,limicola,rplw,11409.24,chlorobium
58,chlorochromatii,rpma,8805.14,chlorobium
59,limicola,rpmd,6929.25,chlorobium
60,chlorochromatii,rpmg,7038.27,chlorobium
61,luteolum,rpmg,7014.2,chlorobium
62,luteolum,rpmi,7663.16,chlorobium
