,species,gn,mw,genus
0,fetus,acpp,8481.74,campylobacter
1,jejuni,acpp,8569.81,campylobacter
2,concisus,acpp,8589.82,campylobacter
3,jejuni,acpp,8597.86,campylobacter
4,curvus,acpp,8565.82,campylobacter
6,hominis,acpp,8819.1,campylobacter
7,jejuni,acpp,8611.89,campylobacter
9,lari,acpp,8710.98,campylobacter
10,concisus,atpe,10079.22,campylobacter
11,curvus,atpe,10075.23,campylobacter
12,lari,atpe,10749.99,campylobacter
13,jejuni,atpe,11387.79,campylobacter
14,hominis,atpe,9408.34,campylobacter
15,fetus,atpe,9977.06,campylobacter
17,jejuni,atpe,11399.84,campylobacter
18,jejuni,atpe,11435.83,campylobacter
19,jejuni,atpe,11417.81,campylobacter
20,concisus,gros,9271.73,campylobacter
21,fetus,gros,9403.93,campylobacter
22,jejuni,gros,9490.12,campylobacter
23,lari,gros,9617.26,campylobacter
24,jejuni,gros,9458.05,campylobacter
26,jejuni,clps,10918.75,campylobacter
27,hominis,gros,9470.0,campylobacter
29,jejuni,clps,10936.79,campylobacter
30,curvus,gros,9299.74,campylobacter
34,jejuni,clps,10934.79,campylobacter
35,jejuni,hup,10273.96,campylobacter
37,fetus,gatc,10701.26,campylobacter
38,jejuni,gatc,10689.34,campylobacter
39,jejuni,gatc,10717.39,campylobacter
41,curvus,gatc,10521.07,campylobacter
43,concisus,gatc,10693.13,campylobacter
44,jejuni,gatc,10702.42,campylobacter
45,lari,gatc,10850.38,campylobacter
46,concisus,nuok,10918.22,campylobacter
47,curvus,nuok,10914.17,campylobacter
48,hominis,nuok,11196.49,campylobacter
49,hominis,rpmb,6889.17,campylobacter
50,jejuni,rpmb,7195.49,campylobacter
51,hominis,rpmg,6521.76,campylobacter
52,jejuni,rpmg,6156.32,campylobacter
53,curvus,rpma,9309.69,campylobacter
54,jejuni,rpma,9284.66,campylobacter
55,fetus,rpmb,7140.47,campylobacter
57,curvus,rpmc,6987.42,campylobacter
58,jejuni,rpmc,7033.51,campylobacter
59,jejuni,rpmh,5244.3,campylobacter
60,lari,rpmi,7227.84,campylobacter
61,jejuni,rpmj,4364.42,campylobacter
62,curvus,rplv,11907.05,campylobacter
63,fetus,rplw,10505.31,campylobacter
64,jejuni,rplw,10524.31,campylobacter
65,jejuni,rplw,10554.34,campylobacter
66,lari,rpmb,7166.43,campylobacter
67,hominis,rpmi,7203.8,campylobacter
68,jejuni,rpmi,7211.84,campylobacter
69,fetus,rpmi,7222.76,campylobacter
72,fetus,rpmg,6336.53,campylobacter
75,concisus,rpmi,7153.68,campylobacter
77,jejuni,rpmi,7153.8,campylobacter
78,lari,rplu,11658.78,campylobacter
79,concisus,rplw,10453.15,campylobacter
82,concisus,rpmf,5615.59,campylobacter
83,jejuni,rpmf,5627.66,campylobacter
85,hominis,rplv,11927.01,campylobacter
86,jejuni,rplw,10567.38,campylobacter
87,jejuni,rpmg,6190.34,campylobacter
89,hominis,rpmh,5276.25,campylobacter
90,lari,rpmh,5273.38,campylobacter
91,curvus,rpmi,7094.61,campylobacter
92,jejuni,rpmi,7210.86,campylobacter
94,jejuni,rpmf,5613.63,campylobacter
97,lari,rpmj,4364.42,campylobacter
98,fetus,rplx,8157.8,campylobacter
99,jejuni,rplx,8295.97,campylobacter
100,fetus,rpma,9377.73,campylobacter
102,concisus,rpmb,7055.31,campylobacter
103,jejuni,rpmb,7181.51,campylobacter
106,jejuni,rplu,11608.69,campylobacter
108,curvus,rplx,8376.04,campylobacter
109,hominis,rplx,8180.88,campylobacter
110,jejuni,rplx,8282.97,campylobacter
111,lari,rpma,9283.68,campylobacter
112,curvus,rpmb,7055.31,campylobacter
114,curvus,rpme,7518.78,campylobacter
115,hominis,rpme,7470.7,campylobacter
116,jejuni,rpme,7476.73,campylobacter
117,fetus,rpmf,5661.68,campylobacter
120,hominis,rplu,11516.51,campylobacter
122,curvus,rplw,10495.31,campylobacter
125,lari,rplw,10610.36,campylobacter
126,concisus,rpme,7547.78,campylobacter
127,jejuni,rpme,7318.57,campylobacter
129,fetus,rpme,7511.68,campylobacter
132,lari,rpme,7433.7,campylobacter
133,hominis,rpmf,5602.61,campylobacter
135,lari,rpmf,5667.77,campylobacter
137,concisus,rpmh,5273.38,campylobacter
138,fetus,rpmh,5217.27,campylobacter
139,curvus,rpoz,7632.94,campylobacter
140,jejuni,rpoz,8317.59,campylobacter
141,fetus,rpsj,11675.75,campylobacter
142,jejuni,rpsj,11672.76,campylobacter
144,fetus,tata,7850.2,campylobacter
145,jejuni,tata,8684.94,campylobacter
147,concisus,tata,8014.34,campylobacter
150,lari,tata,8949.54,campylobacter
151,jejuni,tata,8656.97,campylobacter
152,curvus,tata,7592.07,campylobacter
158,jejuni,flie,10830.24,campylobacter
159,curvus,infa,8302.82,campylobacter
160,hominis,infa,8332.84,campylobacter
161,jejuni,infa,8300.84,campylobacter
162,fetus,infa,8316.84,campylobacter
165,concisus,infa,8316.84,campylobacter
168,fetus,nuok,11384.82,campylobacter
169,concisus,rplv,11948.1,campylobacter
170,fetus,rplv,11892.91,campylobacter
171,concisus,rplx,8197.8,campylobacter
176,fetus,rplu,11522.47,campylobacter
177,jejuni,rplu,11594.67,campylobacter
179,concisus,rpmc,7216.53,campylobacter
181,lari,rpmc,6993.45,campylobacter
182,hominis,rplw,10496.43,campylobacter
184,concisus,rpma,9307.68,campylobacter
185,hominis,rpma,9325.65,campylobacter
189,hominis,rpsq,9509.46,campylobacter
190,jejuni,rpsu,8673.35,campylobacter
191,concisus,rpoz,7599.89,campylobacter
192,jejuni,rpsj,11686.79,campylobacter
193,lari,rpsj,11703.8,campylobacter
194,lari,rpsz,6915.41,campylobacter
195,curvus,rpso,10207.1,campylobacter
196,jejuni,rpso,10226.06,campylobacter
198,curvus,rpsr,10287.15,campylobacter
200,lari,rpoz,8157.51,campylobacter
201,hominis,rpsj,11618.73,campylobacter
203,concisus,rpsz,6871.4,campylobacter
204,hominis,rpsz,6885.32,campylobacter
205,jejuni,rpsz,6956.51,campylobacter
208,hominis,rpsp,8800.27,campylobacter
210,fetus,rpsz,6859.34,campylobacter
213,curvus,rpsz,6871.4,campylobacter
214,concisus,rpst,10117.82,campylobacter
215,jejuni,rpsp,8678.16,campylobacter
217,curvus,rpsq,9519.28,campylobacter
218,jejuni,rpsq,9549.41,campylobacter
219,fetus,rpsr,10305.19,campylobacter
220,jejuni,rpsr,10271.15,campylobacter
221,hominis,rpss,10554.46,campylobacter
222,jejuni,rpss,10453.29,campylobacter
223,fetus,rpsu,8689.31,campylobacter
229,jejuni,rpsq,9549.45,campylobacter
230,hominis,rpst,10053.71,campylobacter
231,jejuni,rpst,9817.48,campylobacter
233,lari,rpsp,8753.28,campylobacter
238,lari,rpsr,10200.05,campylobacter
239,concisus,rpss,10437.25,campylobacter
242,lari,rpss,10436.35,campylobacter
244,concisus,rpso,10238.11,campylobacter
245,fetus,rpso,10089.95,campylobacter
247,lari,rpso,10268.05,campylobacter
248,fetus,rpsp,8760.23,campylobacter
249,hominis,rpsu,8632.25,campylobacter
250,concisus,rpsq,9574.36,campylobacter
253,curvus,rpst,10149.82,campylobacter
254,jejuni,rpst,9798.44,campylobacter
255,lari,rpst,9873.55,campylobacter
258,curvus,rpsu,8687.38,campylobacter
260,hominis,rpso,10156.82,campylobacter
261,jejuni,rpso,10268.14,campylobacter
264,concisus,rpsr,10284.15,campylobacter
265,hominis,rpsr,10357.28,campylobacter
267,fetus,rpss,10408.32,campylobacter
270,fetus,rpst,9872.53,campylobacter
271,jejuni,rpst,9816.5,campylobacter
272,upsaliensis,lyss,1218.37,campylobacter
276,concisus,flie,10583.11,campylobacter
284,concisus,gros,9257.7,campylobacter
287,concisus,rplx,8211.83,campylobacter
289,concisus,rpsr,10285.14,campylobacter
293,fetus,cas_,11909.87,campylobacter
294,fetus,suge,11026.17,campylobacter
295,fetus,rplu,11645.66,campylobacter
296,fetus,rpss,10439.22,campylobacter
297,fetus,rpmb,7065.33,campylobacter
298,fetus,ykkd,11763.54,campylobacter
299,fetus,rpss,10446.26,campylobacter
300,hominis,rpmc,6988.4,campylobacter
301,fetus,rpma,9313.68,campylobacter
302,fetus,hup,10807.81,campylobacter
303,fetus,gatc,10801.31,campylobacter
304,fetus,yedf,8732.19,campylobacter
305,fetus,purs,8256.56,campylobacter
306,fetus,purs,8255.57,campylobacter
309,concisus,rplu,11754.8,campylobacter
317,concisus,purs,8424.8,campylobacter
320,concisus,rpmg,6025.19,campylobacter
321,concisus,sece,6761.42,campylobacter
323,concisus,rplv,11976.11,campylobacter
324,concisus,rpmi,7167.75,campylobacter
326,concisus,rpsu,9083.81,campylobacter
327,concisus,rpmj,4323.36,campylobacter
331,fetus,rplu,11513.48,campylobacter
332,fetus,tata,8314.85,campylobacter
333,fetus,rpmf,5560.53,campylobacter
334,fetus,rpmh,5232.28,campylobacter
335,fetus,nuok,11445.85,campylobacter
336,fetus,rpme,7401.57,campylobacter
337,fetus,rplv,11829.81,campylobacter
338,fetus,rplx,8184.74,campylobacter
339,fetus,clps,10960.79,campylobacter
340,fetus,rpst,10137.8,campylobacter
341,fetus,trx,11481.31,campylobacter
342,fetus,rpsj,11647.73,campylobacter
343,fetus,groe,9510.98,campylobacter
345,fetus,purs,8512.86,campylobacter
346,fetus,rpmg,6057.23,campylobacter
347,fetus,rpsr,10359.22,campylobacter
349,fetus,rpsp,8783.28,campylobacter
350,fetus,rpoz,8096.59,campylobacter
353,fetus,cas2,11633.79,campylobacter
356,fetus,rpso,10365.15,campylobacter
357,fetus,ygea,11673.71,campylobacter
358,fetus,sece,6690.15,campylobacter
359,fetus,rpmc,6963.23,campylobacter
362,fetus,cas2,10185.13,campylobacter
363,fetus,rplw,10472.34,campylobacter
364,hominis,gatc,10970.56,campylobacter
365,fetus,rpsn,6889.37,campylobacter
367,fetus,rpmi,7134.63,campylobacter
368,fetus,rpmj,4318.39,campylobacter
369,hominis,rpoz,8507.92,campylobacter
370,fetus,rpsu,8646.18,campylobacter
371,fetus,rpsz,6887.4,campylobacter
372,hominis,tata,7063.36,campylobacter
373,hominis,tata,7084.4,campylobacter
374,fetus,rpmi,7245.79,campylobacter
375,hominis,cas,11514.41,campylobacter
376,fetus,clps,11219.47,campylobacter
377,hominis,trx,11509.39,campylobacter
379,hominis,clps,11226.27,campylobacter
381,hominis,sece,6638.0,campylobacter
383,hominis,purs,8571.07,campylobacter
384,fetus,clps,11189.45,campylobacter
386,fetus,rpmb,7176.49,campylobacter
388,lari,rplu,11630.73,campylobacter
389,lari,gatc,10807.38,campylobacter
391,fetus,purs,8286.58,campylobacter
392,fetus,cas_,10816.45,campylobacter
393,fetus,clps,11203.48,campylobacter
394,lari,rpoz,8171.54,campylobacter
395,lari,flie,10830.09,campylobacter
396,lari,fdhu,8340.66,campylobacter
398,lari,nuok,10791.12,campylobacter
399,lari,acpp,8682.92,campylobacter
401,lari,clps,11089.82,campylobacter
404,lari,rpmg,6126.29,campylobacter
407,lari,sece,6834.36,campylobacter
409,lari,rpst,9916.58,campylobacter
410,lari,rplx,8055.69,campylobacter
411,lari,infa,8358.88,campylobacter
412,lari,rpsr,10186.03,campylobacter
413,lari,trx,11335.04,campylobacter
414,lari,hup,10254.96,campylobacter
415,lari,rpsq,9562.45,campylobacter
416,lari,gros,9645.31,campylobacter
417,lari,rpss,10394.27,campylobacter
422,lari,rplw,10596.33,campylobacter
423,lari,rpma,9238.61,campylobacter
424,lari,tata,8961.6,campylobacter
425,lari,rpsu,8673.35,campylobacter
429,lari,xseb,6706.72,campylobacter
430,lari,purs,8764.23,campylobacter
433,ureolyticus,rpoz,8244.57,campylobacter
434,ureolyticus,rpmc,7389.85,campylobacter
435,jejuni,flie,10804.2,campylobacter
436,ureolyticus,gatc,10842.58,campylobacter
437,jejuni,rpmc,7006.49,campylobacter
438,jejuni,rplu,11638.72,campylobacter
440,jejuni,rpoz,8329.64,campylobacter
441,ureolyticus,urea,11221.13,campylobacter
442,jejuni,rpsp,8680.14,campylobacter
443,jejuni,gatc,10676.25,campylobacter
444,jejuni,rplx,8324.06,campylobacter
447,jejuni,sece,6731.24,campylobacter
448,ureolyticus,rpsu,9042.71,campylobacter
450,ureolyticus,rpmf,5560.53,campylobacter
451,ureolyticus,rpma,9374.63,campylobacter
454,ureolyticus,rpso,10357.04,campylobacter
456,ureolyticus,rpmb,7058.38,campylobacter
459,ureolyticus,rpmi,7277.78,campylobacter
462,ureolyticus,rpss,10574.48,campylobacter
464,jejuni,purs,9246.85,campylobacter
467,ureolyticus,rpsn,6962.42,campylobacter
468,jejuni,tata,8712.99,campylobacter
471,ureolyticus,rpmh,5229.28,campylobacter
473,ureolyticus,rpst,10286.78,campylobacter
474,ureolyticus,rpmg,6085.22,campylobacter
475,jejuni,rpmi,7225.87,campylobacter
477,jejuni,nuok,10834.15,campylobacter
478,ureolyticus,tata,7829.35,campylobacter
479,ureolyticus,hup,10567.41,campylobacter
480,ureolyticus,rplw,10427.25,campylobacter
482,ureolyticus,ureb,11678.19,campylobacter
483,ureolyticus,rpsj,11902.94,campylobacter
484,ureolyticus,rpme,7538.86,campylobacter
485,ureolyticus,trx,11624.45,campylobacter
486,jejuni,rpmb,7167.48,campylobacter
487,jejuni,rpsz,6942.48,campylobacter
488,jejuni,infa,8316.84,campylobacter
489,jejuni,rpma,9283.68,campylobacter
490,ureolyticus,groe,9742.25,campylobacter
491,jejuni,groe,9458.05,campylobacter
508,jejuni,rpsn,6956.51,campylobacter
512,jejuni,sece,6745.27,campylobacter
515,jejuni,nuok,10848.22,campylobacter
518,ureolyticus,fdhu,8923.35,campylobacter
520,ureolyticus,rpsp,8855.3,campylobacter
522,ureolyticus,rplx,8256.8,campylobacter
523,ureolyticus,clps,11806.87,campylobacter
525,ureolyticus,infa,8316.84,campylobacter
526,ureolyticus,rpsr,10408.29,campylobacter
528,ureolyticus,nuok,11315.59,campylobacter
529,ureolyticus,rpmj,4323.3,campylobacter
530,ureolyticus,purs,8650.19,campylobacter
531,jejuni,gros,9461.05,campylobacter
532,ureolyticus,rpsq,9703.6,campylobacter
533,ureolyticus,xseb,7684.86,campylobacter
534,jejuni,clps,10979.9,campylobacter
537,jejuni,rpme,7490.75,campylobacter
538,ureolyticus,acpp,8338.49,campylobacter
539,ureolyticus,sece,6811.35,campylobacter
540,upsaliensis,rpmh,5315.42,campylobacter
541,upsaliensis,rpso,10311.25,campylobacter
545,lari,flie,10744.04,campylobacter
546,lari,rpmg,6140.32,campylobacter
547,lari,nuok,11348.88,campylobacter
549,lari,clps,11165.96,campylobacter
550,lari,purs,8745.25,campylobacter
