,species,gn,mw,genus
0,coli,aaex,7846.62,escherichia
1,coli,aaex,7793.57,escherichia
6,fergusonii,aaex,7846.62,escherichia
10,coli,acpp,8639.54,escherichia
13,coli,acrz,5300.47,escherichia
18,coli,yccx,10257.74,escherichia
19,coli,yccx,10299.78,escherichia
22,coli,aaex,7860.64,escherichia
30,coli,yccx,10253.73,escherichia
42,coli,arir,9694.04,escherichia
43,coli,arir,9696.01,escherichia
47,coli,arfa,8171.4,escherichia
48,coli,appx,3597.5,escherichia
49,coli,asr,10490.13,escherichia
50,coli,asr,10591.27,escherichia
52,coli,arir,9737.07,escherichia
55,coli,asr,10561.25,escherichia
56,coli,asr,10559.23,escherichia
58,coli,asr,10543.28,escherichia
60,coli,asr,10531.22,escherichia
62,coli,asr,10476.1,escherichia
63,coli,atpe,8256.16,escherichia
68,coli,yfju,11823.6,escherichia
77,coli,blr,4556.31,escherichia
81,coli,bdm,7986.84,escherichia
87,coli,azuc,3408.19,escherichia
88,coli,bfd,7362.67,escherichia
89,coli,bhsa,8815.06,escherichia
94,fergusonii,atpe,8256.16,escherichia
95,coli,bola,11993.7,escherichia
96,coli,bsss,9663.79,escherichia
102,coli,bord,10447.31,escherichia
103,coli,ygbf,10518.29,escherichia
104,coli,cbpm,11512.26,escherichia
107,coli,cbpm,11443.15,escherichia
108,coli,ccdb,11706.56,escherichia
115,coli,ccda,8372.37,escherichia
119,coli,ccmd,7745.16,escherichia
123,coli,gros,10386.97,escherichia
128,coli,ceda,9376.84,escherichia
139,coli,ceda,9461.9,escherichia
145,coli,chab,8944.84,escherichia
146,coli,ccda,8319.36,escherichia
147,coli,ccdb,11747.65,escherichia
150,coli,ceda,9408.9,escherichia
155,coli,cdii,8856.0,escherichia
156,coli,cvac,10310.6,escherichia
158,coli,csgc,11968.71,escherichia
160,coli,cspb,7716.74,escherichia
161,coli,cspc,7402.38,escherichia
162,coli,cspe,7463.46,escherichia
163,coli,cspg,7780.74,escherichia
164,coli,cspi,7683.75,escherichia
165,coli,csra,6855.91,escherichia
166,coli,cydx,4041.71,escherichia
174,coli,hupb,9225.59,escherichia
175,coli,ecna,4359.21,escherichia
176,coli,ecnb,4809.54,escherichia
177,coli,elab,11305.7,escherichia
178,coli,emre,11958.41,escherichia
182,coli,frmr,10317.75,escherichia
187,coli,ftsb,11621.11,escherichia
188,coli,ftsb,11622.09,escherichia
196,coli,glgs,7921.95,escherichia
197,coli,glgs,7891.93,escherichia
208,coli,grxc,9137.53,escherichia
209,coli,hfq,11166.4,escherichia
212,coli,hcac,11328.82,escherichia
213,coli,hdea,11857.66,escherichia
215,coli,cnu,8416.59,escherichia
216,coli,citd,10689.31,escherichia
218,coli,citd,10703.34,escherichia
240,coli,chiq,11998.69,escherichia
241,coli,chps,9271.62,escherichia
245,fergusonii,gros,10386.97,escherichia
248,phage,com,7413.75,escherichia
249,coli,repa,9405.96,escherichia
253,fergusonii,citd,10579.26,escherichia
256,coli,cptb,10547.17,escherichia
258,coli,csgc,11966.67,escherichia
259,coli,cspa,7403.29,escherichia
261,coli,cspd,7969.0,escherichia
268,coli,cspf,7562.73,escherichia
269,coli,csph,7720.04,escherichia
280,fergusonii,csra,6855.91,escherichia
294,coli,dinq,4882.06,escherichia
295,coli,dinj,9405.81,escherichia
296,coli,hupa,9535.0,escherichia
299,coli,dini,8948.99,escherichia
303,coli,dsrb,6945.85,escherichia
305,coli,z330,9378.68,escherichia
315,coli,dinq,3020.84,escherichia
