,species,gn,mw,genus
0,ducreyi,acpp,8496.56,haemophilus
1,parasuis,acpp,8497.46,haemophilus
2,influenzae,acpp,8583.55,haemophilus
6,somnus,acpp,8583.55,haemophilus
7,influenzae,arfa,8153.62,haemophilus
8,influenzae,atpe,8641.42,haemophilus
9,somnus,atpe,8696.5,haemophilus
10,parasuis,atpe,8713.53,haemophilus
11,ducreyi,atpe,8715.5,haemophilus
14,influenzae,atpe,8664.46,haemophilus
15,influenzae,ccmd,7847.11,haemophilus
16,influenzae,gros,10354.91,haemophilus
17,somnus,gros,10325.91,haemophilus
18,influenzae,gros,10311.88,haemophilus
19,influenzae,gros,10339.93,haemophilus
20,influenzae,cyay,11652.93,haemophilus
21,somnus,cyay,11722.14,haemophilus
23,influenzae,csra,7038.14,haemophilus
24,ducreyi,csra,6847.0,haemophilus
25,parasuis,csra,6828.98,haemophilus
26,influenzae,cyay,11675.96,haemophilus
28,influenzae,ftsb,10890.5,haemophilus
29,ducreyi,ftsb,10909.61,haemophilus
30,influenzae,glpe,11993.59,haemophilus
31,ducreyi,hfq,11164.79,haemophilus
32,influenzae,hfq,10279.66,haemophilus
33,influenzae,citd,10183.75,haemophilus
34,influenzae,citd,10243.8,haemophilus
35,influenzae,citd,10243.87,haemophilus
36,ducreyi,citd,10217.8,haemophilus
37,influenzae,citd,10213.77,haemophilus
38,ducreyi,gros,10250.88,haemophilus
39,influenzae,gros,10327.88,haemophilus
40,parasuis,gros,10171.78,haemophilus
41,influenzae,csra,7024.12,haemophilus
44,influenzae,cspd,7958.03,haemophilus
45,influenzae,hup,9420.85,haemophilus
46,influenzae,xseb,9511.56,haemophilus
47,influenzae,xseb,9453.53,haemophilus
48,ducreyi,xseb,8508.52,haemophilus
49,parasuis,xseb,8592.73,haemophilus
50,influenzae,xseb,8874.99,haemophilus
52,influenzae,fis,11176.92,haemophilus
54,influenzae,fis,11166.88,haemophilus
55,somnus,fis,11108.84,haemophilus
56,influenzae,xseb,9483.51,haemophilus
58,parasuis,fis,11263.04,haemophilus
61,influenzae,ftsb,10915.55,haemophilus
62,parasuis,ftsb,10969.56,haemophilus
64,ducreyi,fis,11089.9,haemophilus
66,somnus,ftsb,11378.23,haemophilus
71,influenzae,grxa,9670.25,haemophilus
72,influenzae,grxd,11940.99,haemophilus
73,influenzae,grxd,11930.96,haemophilus
74,influenzae,hfq,10249.63,haemophilus
76,somnus,hfq,10945.52,haemophilus
77,parasuis,hfq,10350.87,haemophilus
79,influenzae,infa,8284.74,haemophilus
80,somnus,infa,8284.74,haemophilus
81,ducreyi,ihfb,10487.27,haemophilus
82,influenzae,ihfb,10454.05,haemophilus
