,species,gn,mw,genus
0,baumannii,acpp,8668.64,acinetobacter
2,calcoaceticus,acea,1709.98,acinetobacter
3,calcoaceticus,ahpf,1927.97,acinetobacter
4,baylyi,acpp,8668.64,acinetobacter
5,calcoaceticus,acpp,3017.44,acinetobacter
6,calcoaceticus,ahpc,2836.11,acinetobacter
7,baumannii,atpe,8360.12,acinetobacter
12,baylyi,atpe,8360.12,acinetobacter
14,lwoffii,catc,11047.64,acinetobacter
15,baylyi,catc,11286.88,acinetobacter
16,lwoffii,catc,11129.7,acinetobacter
17,baylyi,gros,10160.65,acinetobacter
18,baumannii,gros,10156.66,acinetobacter
20,baumannii,erpa,11941.22,acinetobacter
21,calcoaceticus,clpb,2319.35,acinetobacter
23,calcoaceticus,grol,2482.87,acinetobacter
26,baylyi,clps,11919.43,acinetobacter
27,baumannii,csra,9846.09,acinetobacter
31,baylyi,csra,7866.29,acinetobacter
35,calcoaceticus,dnak,2666.07,acinetobacter
36,baumannii,erpa,11927.19,acinetobacter
38,baylyi,erpa,11966.31,acinetobacter
48,calcoaceticus,htpg,1768.7,acinetobacter
49,baylyi,infa,8504.88,acinetobacter
50,baumannii,ihfa,11177.72,acinetobacter
51,baylyi,ihfa,11074.6,acinetobacter
55,baumannii,infa,8491.88,acinetobacter
58,baumannii,mine,10282.83,acinetobacter
60,baylyi,mine,10379.91,acinetobacter
63,baumannii,nuok,11178.49,acinetobacter
68,baylyi,nuok,11178.49,acinetobacter
69,calcoaceticus,mdcc,11031.77,acinetobacter
70,calcoaceticus,merp,9636.25,acinetobacter
74,baylyi,pqqa,2719.18,acinetobacter
75,baylyi,pqqd,11492.22,acinetobacter
76,baumannii,pqqa,2938.42,acinetobacter
77,baumannii,pqqd,10761.18,acinetobacter
79,calcoaceticus,pqqd,10806.31,acinetobacter
82,baumannii,pqqd,10748.18,acinetobacter
83,calcoaceticus,pqqa,2938.42,acinetobacter
86,baylyi,yacg,7771.7,acinetobacter
98,baumannii,rplu,11474.35,acinetobacter
99,baylyi,rpma,9001.26,acinetobacter
100,baumannii,rpma,9056.38,acinetobacter
101,baumannii,rpmb,9103.71,acinetobacter
102,baylyi,rpmd,6637.83,acinetobacter
103,baumannii,rpme,9750.9,acinetobacter
105,baylyi,rpme,8315.63,acinetobacter
106,baumannii,rpme,8327.68,acinetobacter
108,baylyi,rplv,11919.07,acinetobacter
109,baylyi,rplw,11560.39,acinetobacter
110,baumannii,rplx,11167.92,acinetobacter
112,baylyi,rply,10924.57,acinetobacter
118,baumannii,rpmg,6090.28,acinetobacter
119,baumannii,rpmh,5175.19,acinetobacter
120,baylyi,rpmi,7477.13,acinetobacter
121,baumannii,rpmi,7402.03,acinetobacter
122,baumannii,rpmj,4265.18,acinetobacter
128,baumannii,rpmd,6641.78,acinetobacter
130,baumannii,rplw,11588.41,acinetobacter
131,baumannii,rply,10896.55,acinetobacter
134,baumannii,rpmc,7434.67,acinetobacter
136,baylyi,rplu,11436.3,acinetobacter
138,baumannii,rplv,11937.11,acinetobacter
140,baumannii,rpmf,7079.85,acinetobacter
142,baylyi,rpmj,4265.18,acinetobacter
144,baumannii,rplw,11604.45,acinetobacter
145,baumannii,rply,10924.61,acinetobacter
156,baylyi,rpmg,6090.28,acinetobacter
159,baylyi,rpme,9580.69,acinetobacter
165,baylyi,rpmc,7433.68,acinetobacter
183,baumannii,rpmh,5189.21,acinetobacter
186,baylyi,rpmb,9103.71,acinetobacter
192,baylyi,rplx,11302.92,acinetobacter
195,baylyi,rpmf,7075.86,acinetobacter
198,baylyi,rpmh,5175.19,acinetobacter
200,baumannii,rpoz,10444.82,acinetobacter
202,baylyi,rpoz,10542.82,acinetobacter
204,baumannii,rpsn,11414.4,acinetobacter
205,baumannii,rpso,10124.57,acinetobacter
208,baumannii,rpsj,11700.55,acinetobacter
210,baylyi,rpsq,9566.17,acinetobacter
211,baumannii,rpsr,8992.45,acinetobacter
212,baumannii,rpst,9699.37,acinetobacter
213,baumannii,rpsp,9199.53,acinetobacter
214,baumannii,rpsq,9524.09,acinetobacter
230,baumannii,rpss,10183.92,acinetobacter
232,baumannii,rpsu,8450.98,acinetobacter
235,baylyi,rpsp,9341.69,acinetobacter
238,baylyi,rpss,10194.94,acinetobacter
241,baylyi,rpsn,11414.4,acinetobacter
242,baumannii,rpsn,11442.45,acinetobacter
247,baylyi,rpsr,8976.45,acinetobacter
249,baylyi,rpst,9843.5,acinetobacter
251,baylyi,rpsu,8450.98,acinetobacter
253,baylyi,rpsj,11716.55,acinetobacter
255,baylyi,rpso,10124.57,acinetobacter
266,baylyi,ruba,6199.03,acinetobacter
267,baumannii,tata,7746.96,acinetobacter
272,baumannii,tata,7718.9,acinetobacter
273,baumannii,urea,10967.81,acinetobacter
274,baumannii,ureb,11213.81,acinetobacter
276,baylyi,urea,10834.64,acinetobacter
279,baumannii,ureb,11699.26,acinetobacter
281,baumannii,ureb,11747.35,acinetobacter
282,baylyi,ureb,10997.44,acinetobacter
283,baumannii,urea,10966.87,acinetobacter
355,junii,gros,10284.02,acinetobacter
