,species,gn,mw,genus
0,uraniireducens,acpp,8565.34,geobacter
1,daltonii,acpp,8579.37,geobacter
2,lovleyi,acpp,8530.38,geobacter
3,uraniireducens,acyp,10121.47,geobacter
4,sulfurreducens,acpp,8606.39,geobacter
5,sulfurreducens,acyp,10288.66,geobacter
6,metallireducens,acyp,10610.15,geobacter
7,bemidjiensis,acpp,8607.42,geobacter
8,metallireducens,acpp,8563.37,geobacter
9,daltonii,atpe,9293.34,geobacter
10,sulfurreducens,atpe,9444.53,geobacter
11,bemidjiensis,atpe,9323.32,geobacter
12,lovleyi,atpe,9404.47,geobacter
13,metallireducens,atpe,9371.43,geobacter
14,uraniireducens,atpe,9307.37,geobacter
15,sulfurreducens,gros,10536.25,geobacter
16,uraniireducens,gros,10688.49,geobacter
17,sulfurreducens,cas2,11172.2,geobacter
18,daltonii,gros,10717.42,geobacter
19,lovleyi,gros,10540.24,geobacter
20,metallireducens,gros,10535.26,geobacter
21,bemidjiensis,gros,10590.23,geobacter
22,lovleyi,cown,11448.87,geobacter
23,metallireducens,csra,8765.21,geobacter
24,uraniireducens,csra,8980.27,geobacter
25,sulfurreducens,csra,8892.42,geobacter
27,daltonii,gatc,10517.03,geobacter
28,sulfurreducens,gatc,10675.0,geobacter
29,metallireducens,gatc,10366.8,geobacter
30,lovleyi,gatc,10656.02,geobacter
31,bemidjiensis,gatc,10413.85,geobacter
32,uraniireducens,gatc,10437.91,geobacter
33,uraniireducens,gvpa,7604.88,geobacter
34,sulfurreducens,nuok,11188.7,geobacter
35,metallireducens,nuok,11068.43,geobacter
36,bemidjiensis,nuok,11061.35,geobacter
37,bemidjiensis,nuok,11068.41,geobacter
38,uraniireducens,nuok,11057.56,geobacter
39,lovleyi,nuok,11037.07,geobacter
40,sulfurreducens,rpma,9325.73,geobacter
41,daltonii,rpmd,6428.62,geobacter
42,sulfurreducens,rpmd,6396.73,geobacter
43,bemidjiensis,rpme,8303.48,geobacter
44,lovleyi,rpme,7546.8,geobacter
45,bemidjiensis,rpmg,6048.08,geobacter
46,bemidjiensis,rpmh,5725.88,geobacter
47,metallireducens,rpmh,5766.9,geobacter
48,daltonii,rpma,9294.66,geobacter
49,lovleyi,rpmb,6853.97,geobacter
50,sulfurreducens,rplw,10838.52,geobacter
51,sulfurreducens,rpmb,6879.07,geobacter
52,metallireducens,rpmd,6244.59,geobacter
53,bemidjiensis,rpmi,7249.68,geobacter
54,metallireducens,rpmc,7092.22,geobacter
55,bemidjiensis,rplu,11240.31,geobacter
56,daltonii,rplx,11845.07,geobacter
57,metallireducens,rpma,9327.7,geobacter
58,lovleyi,rpmc,7165.28,geobacter
59,daltonii,rpmi,7368.8,geobacter
60,lovleyi,rplw,10690.41,geobacter
61,sulfurreducens,rpmc,7032.21,geobacter
62,lovleyi,rpmh,5724.86,geobacter
63,uraniireducens,rpmh,5683.8,geobacter
64,sulfurreducens,rpmi,7359.83,geobacter
65,metallireducens,rpmj,4280.31,geobacter
66,bemidjiensis,rpmd,6549.85,geobacter
67,uraniireducens,rpmd,6470.77,geobacter
68,lovleyi,rpmj,4238.23,geobacter
69,metallireducens,rplu,11220.32,geobacter
70,uraniireducens,rplw,10519.24,geobacter
71,lovleyi,rplx,11957.14,geobacter
72,metallireducens,rpmb,6976.14,geobacter
73,uraniireducens,rpmb,6945.21,geobacter
74,lovleyi,rpmf,6601.88,geobacter
75,sulfurreducens,rpmf,6629.86,geobacter
76,sulfurreducens,rplu,11317.38,geobacter
77,bemidjiensis,rplw,10329.99,geobacter
78,metallireducens,rplw,10829.56,geobacter
79,bemidjiensis,rplx,11772.01,geobacter
80,sulfurreducens,rplx,11896.17,geobacter
81,lovleyi,rpma,9208.58,geobacter
82,uraniireducens,rpma,9381.76,geobacter
83,bemidjiensis,rpmc,7040.17,geobacter
84,lovleyi,rpmd,6477.76,geobacter
85,daltonii,rpme,7455.69,geobacter
86,metallireducens,rpme,7531.7,geobacter
87,sulfurreducens,rpme,7405.65,geobacter
88,uraniireducens,rpme,7442.65,geobacter
89,daltonii,rplu,11164.18,geobacter
90,bemidjiensis,rpma,9245.64,geobacter
91,daltonii,rpmb,6919.13,geobacter
92,metallireducens,rpmf,6627.89,geobacter
93,metallireducens,rpmi,7410.81,geobacter
94,bemidjiensis,rpmj,4236.31,geobacter
95,lovleyi,rpmi,7348.74,geobacter
96,uraniireducens,rpmi,7406.9,geobacter
97,metallireducens,rpoz,7665.08,geobacter
98,uraniireducens,rpoz,7727.2,geobacter
99,daltonii,rpoz,7773.23,geobacter
100,daltonii,rpsj,11482.53,geobacter
101,lovleyi,rpoz,7631.07,geobacter
102,metallireducens,tata,6565.84,geobacter
110,daltonii,xseb,8702.99,geobacter
111,sulfurreducens,xseb,8698.04,geobacter
112,lovleyi,xseb,8703.86,geobacter
113,metallireducens,xseb,8623.96,geobacter
114,lovleyi,flie,10785.35,geobacter
115,uraniireducens,xseb,8687.98,geobacter
116,bemidjiensis,xseb,8570.79,geobacter
117,lovleyi,hise,11782.4,geobacter
118,daltonii,hypa,11673.59,geobacter
119,uraniireducens,hypa,11956.69,geobacter
120,metallireducens,hypa,11956.8,geobacter
121,sulfurreducens,hypa,11790.6,geobacter
122,sulfurreducens,infa,8186.61,geobacter
123,metallireducens,infa,8172.58,geobacter
124,uraniireducens,infa,8229.72,geobacter
125,metallireducens,nuok,11133.62,geobacter
126,sulfurreducens,nuok,11024.38,geobacter
127,daltonii,nuok,11254.87,geobacter
128,uraniireducens,nuok,11131.44,geobacter
129,daltonii,nuok,11115.44,geobacter
130,lovleyi,rplu,11126.17,geobacter
131,uraniireducens,rplu,11179.19,geobacter
132,bemidjiensis,rpmb,6938.23,geobacter
133,daltonii,rpmc,7070.2,geobacter
134,bemidjiensis,rpsp,9893.58,geobacter
135,daltonii,rpss,10374.19,geobacter
136,lovleyi,rpss,10287.11,geobacter
137,bemidjiensis,rpsj,11498.53,geobacter
138,sulfurreducens,rpsj,11495.53,geobacter
139,metallireducens,rpsz,7100.59,geobacter
140,lovleyi,rpso,10493.3,geobacter
141,lovleyi,rpsp,9877.45,geobacter
142,sulfurreducens,rpsq,9948.63,geobacter
143,uraniireducens,rpsr,10579.28,geobacter
144,metallireducens,rpsj,11509.56,geobacter
145,bemidjiensis,rpsz,7161.68,geobacter
146,bemidjiensis,rpoz,7525.01,geobacter
147,sulfurreducens,rpoz,7804.2,geobacter
148,lovleyi,rpsj,11513.55,geobacter
149,metallireducens,rpso,10563.41,geobacter
150,uraniireducens,rpso,10415.11,geobacter
151,uraniireducens,rpsp,9964.64,geobacter
152,metallireducens,rpst,9598.3,geobacter
153,sulfurreducens,rpso,10540.42,geobacter
154,daltonii,rpsq,9945.64,geobacter
155,bemidjiensis,rpsr,10607.33,geobacter
156,sulfurreducens,rpss,10290.1,geobacter
157,metallireducens,rpsp,9881.53,geobacter
158,lovleyi,rpsq,9848.57,geobacter
159,uraniireducens,rpsu,7607.27,geobacter
160,bemidjiensis,rpso,10314.05,geobacter
161,sulfurreducens,rpsu,7705.38,geobacter
162,daltonii,rpsz,7086.56,geobacter
163,lovleyi,rpsz,7117.63,geobacter
164,sulfurreducens,rpsz,7070.56,geobacter
165,uraniireducens,rpsz,7070.56,geobacter
166,sulfurreducens,rpsp,9890.53,geobacter
167,metallireducens,rpsq,10053.63,geobacter
168,bemidjiensis,rpss,10403.23,geobacter
169,metallireducens,rpss,10330.16,geobacter
170,uraniireducens,rpss,10429.27,geobacter
171,daltonii,rpst,9517.05,geobacter
172,daltonii,rpsp,9922.6,geobacter
173,uraniireducens,rpst,9501.05,geobacter
174,lovleyi,rpst,9709.35,geobacter
175,sulfurreducens,rpst,9750.5,geobacter
176,sulfurreducens,rpsu,8126.6,geobacter
177,daltonii,rpsu,7649.31,geobacter
178,metallireducens,rpsu,7657.37,geobacter
179,daltonii,rpso,10355.06,geobacter
180,bemidjiensis,rpsq,9822.55,geobacter
181,daltonii,rpsr,10561.31,geobacter
182,bemidjiensis,rpst,9534.1,geobacter
183,bemidjiensis,rpsu,7607.27,geobacter
184,lovleyi,rpsu,7766.4,geobacter
186,bemidjiensis,yacg,6906.78,geobacter
189,sulfurreducens,yacg,6696.4,geobacter
190,daltonii,yacg,7013.9,geobacter
193,pickeringii,rplu,11220.24,geobacter
194,pickeringii,hfq,8475.81,geobacter
196,pickeringii,rpmc,7139.33,geobacter
198,pickeringii,gatc,10558.96,geobacter
200,pickeringii,gros,10504.2,geobacter
201,pickeringii,rpmi,7302.76,geobacter
202,pickeringii,rpmh,5695.86,geobacter
203,pickeringii,rpsq,9964.67,geobacter
205,pickeringii,csra,8935.42,geobacter
206,pickeringii,flie,10778.33,geobacter
208,pickeringii,rpoz,7766.15,geobacter
211,pickeringii,rpsp,9928.56,geobacter
212,pickeringii,sece,6813.33,geobacter
213,pickeringii,nuok,11196.76,geobacter
214,pickeringii,rpsr,11811.71,geobacter
216,pickeringii,tata,6385.65,geobacter
