,species,gn,mw,genus
0,asparagiforme],rpsu,6947.04,clostridium
1,asparagiforme],spov,10674.36,clostridium
2,asparagiforme],rpsj,11916.01,clostridium
4,asparagiforme],rpst,10149.08,clostridium
5,asparagiforme],rpma,10602.17,clostridium
6,asparagiforme],rpmi,7471.05,clostridium
7,asparagiforme],citd,11508.23,clostridium
8,asparagiforme],rpmc,7691.88,clostridium
10,asparagiforme],gros,10169.9,clostridium
13,asparagiforme],rpmf,6745.06,clostridium
14,asparagiforme],rpsr,10236.16,clostridium
15,asparagiforme],rplm,10716.58,clostridium
18,asparagiforme],acpp,8514.62,clostridium
19,asparagiforme],infa,8221.61,clostridium
21,asparagiforme],mine,8813.54,clostridium
23,asparagiforme],rpoz,9527.69,clostridium
24,asparagiforme],rpmb,6736.96,clostridium
26,asparagiforme],citd,10878.52,clostridium
28,asparagiforme],cas2,10862.68,clostridium
29,asparagiforme],rpsf,11165.86,clostridium
31,asparagiforme],sece,9584.5,clostridium
32,asparagiforme],rpme,10246.78,clostridium
34,asparagiforme],rplu,11100.86,clostridium
36,asparagiforme],xseb,8761.8,clostridium
39,asparagiforme],rpmd,6564.92,clostridium
41,asparagiforme],trxa,11919.88,clostridium
44,asparagiforme],rpsq,10372.32,clostridium
45,asparagiforme],rplx,10796.75,clostridium
51,asparagiforme],rpsp,9072.59,clostridium
52,asparagiforme],rpss,10524.28,clostridium
54,asparagiforme],gutb,11157.06,clostridium
56,asparagiforme],rplw,11129.23,clostridium
58,asparagiforme],rpmg,6025.16,clostridium
59,asparagiforme],hup,9760.26,clostridium
60,cellulolyticum,rub,5658.34,clostridium
61,clostridioforme,rpsn,7224.67,clostridium
62,clostridioforme,xseb,8763.79,clostridium
63,clostridioforme,gros,10141.85,clostridium
64,clostridioforme,rpmi,7501.12,clostridium
65,clostridioforme,rpsr,10250.19,clostridium
66,clostridioforme,rpmc,7747.87,clostridium
69,clostridioforme,rpmd,6448.87,clostridium
77,clostridioforme,rpmf,6759.05,clostridium
78,clostridioforme,rpsj,11846.91,clostridium
79,clostridioforme,infa,8219.64,clostridium
80,clostridioforme,secg,9584.47,clostridium
81,clostridioforme,hup,9783.3,clostridium
82,clostridioforme,rpme,7674.72,clostridium
83,clostridioforme,rplx,10896.84,clostridium
87,clostridioforme,rd,5897.64,clostridium
88,clostridioforme,rplu,11070.83,clostridium
89,clostridioforme,rpst,9100.69,clostridium
91,clostridioforme,rpsp,9022.57,clostridium
93,clostridioforme,rpma,10633.19,clostridium
94,clostridioforme,ynzc,8262.23,clostridium
95,clostridioforme,rpso,10110.85,clostridium
98,clostridioforme,rpss,10524.28,clostridium
99,clostridioforme,yccx,10969.74,clostridium
100,clostridioforme,rpsf,11152.86,clostridium
101,clostridioforme,cas2,10851.59,clostridium
103,clostridioforme,rpmb,6821.08,clostridium
105,clostridioforme,rpsq,9745.61,clostridium
109,clostridioforme,rplw,11085.14,clostridium
110,propionicum,rpmf,6533.9,clostridium
111,propionicum,gros,10380.12,clostridium
112,propionicum,rplx,11181.21,clostridium
113,propionicum,rpst,9428.44,clostridium
115,propionicum,rpma,10574.05,clostridium
116,propionicum,rpsn,7147.63,clostridium
117,propionicum,rpsr,8942.67,clostridium
118,propionicum,rpmb,7732.28,clostridium
119,propionicum,rd,5994.95,clostridium
120,propionicum,hup,9750.34,clostridium
121,propionicum,rpsf,10905.68,clostridium
122,propionicum,xseb,9104.36,clostridium
124,propionicum,sece,9497.12,clostridium
128,propionicum,yidd,8080.69,clostridium
130,propionicum,rpmd,6445.69,clostridium
131,propionicum,rpoz,11064.66,clostridium
132,propionicum,rpmi,7639.2,clostridium
133,propionicum,mine,10793.5,clostridium
134,propionicum,rpmh,5240.37,clostridium
135,propionicum,rpsp,8985.46,clostridium
136,propionicum,rpsj,11587.71,clostridium
138,propionicum,rpsu,6924.11,clostridium
140,propionicum,rplw,10984.93,clostridium
141,propionicum,rpme,7721.93,clostridium
142,propionicum,infa,8233.73,clostridium
143,propionicum,rplu,11044.89,clostridium
144,propionicum,rpsq,9933.71,clostridium
146,propionicum,suge,11524.15,clostridium
148,propionicum,rpmc,7848.03,clostridium
149,symbiosum,spov,11068.7,clostridium
151,symbiosum,rpmc,7703.9,clostridium
152,symbiosum,rpsq,9778.65,clostridium
153,symbiosum,clps,11661.75,clostridium
154,symbiosum,cas2,11328.09,clostridium
155,symbiosum,gros,10238.97,clostridium
158,symbiosum,rpmi,7451.04,clostridium
159,symbiosum,rpmj,4307.3,clostridium
160,symbiosum,rpso,10054.8,clostridium
161,symbiosum,rpsj,11886.03,clostridium
162,symbiosum,citd,10591.31,clostridium
163,symbiosum,xseb,9881.04,clostridium
164,symbiosum,infa,8259.87,clostridium
165,symbiosum,acpp,8613.78,clostridium
166,symbiosum,citd,10781.64,clostridium
167,symbiosum,rpsf,11065.74,clostridium
168,symbiosum,rpme,7716.8,clostridium
169,symbiosum,tata,10682.24,clostridium
173,symbiosum,rplw,11197.22,clostridium
174,symbiosum,rplu,10970.78,clostridium
175,symbiosum,citd,11522.22,clostridium
176,symbiosum,rpsp,8955.43,clostridium
177,symbiosum,tata,6517.69,clostridium
179,symbiosum,rpss,10439.13,clostridium
180,symbiosum,rplx,10847.77,clostridium
181,symbiosum,mine,10727.5,clostridium
182,symbiosum,sece,7281.66,clostridium
183,symbiosum,rpmf,6772.13,clostridium
184,symbiosum,rpmb,6680.89,clostridium
189,symbiosum,rpmd,6592.01,clostridium
190,symbiosum,acpp,8587.65,clostridium
192,symbiosum,rpst,9190.88,clostridium
194,litorale,trxa,11652.6,clostridium
197,papyrosolvens,spov,9406.78,clostridium
198,papyrosolvens,flie,11434.1,clostridium
200,papyrosolvens,rpoz,7730.02,clostridium
202,papyrosolvens,rpsr,11204.1,clostridium
203,papyrosolvens,xseb,8880.08,clostridium
204,papyrosolvens,mine,10601.44,clostridium
205,papyrosolvens,rpmj,4295.39,clostridium
208,papyrosolvens,hfq,9100.59,clostridium
209,papyrosolvens,rpsp,9228.84,clostridium
210,papyrosolvens,sece,8621.38,clostridium
211,papyrosolvens,cas2,11141.91,clostridium
212,papyrosolvens,rpsz,7163.72,clostridium
214,papyrosolvens,rpss,10465.19,clostridium
215,papyrosolvens,rpma,10153.95,clostridium
216,papyrosolvens,rpmg,5955.06,clostridium
217,papyrosolvens,csra,8184.64,clostridium
218,papyrosolvens,rpmh,5348.45,clostridium
219,papyrosolvens,rpsj,11751.88,clostridium
220,papyrosolvens,rpsu,6850.05,clostridium
221,papyrosolvens,rpmb,6919.13,clostridium
222,papyrosolvens,rpsq,9890.77,clostridium
223,papyrosolvens,rpst,9250.1,clostridium
224,papyrosolvens,rpmi,7479.93,clostridium
225,papyrosolvens,gros,10160.88,clostridium
226,papyrosolvens,cbin,10375.3,clostridium
227,papyrosolvens,acpp,8395.51,clostridium
229,papyrosolvens,gatc,11084.43,clostridium
230,papyrosolvens,rpmc,7757.15,clostridium
233,papyrosolvens,rpso,10101.83,clostridium
234,papyrosolvens,infa,8146.54,clostridium
236,cellulosi,rplu,11498.35,clostridium
237,cellulosi,rpst,8897.63,clostridium
238,cellulosi,rpoz,8784.89,clostridium
239,cellulosi,rpmi,7548.09,clostridium
240,cellulosi,rpmg,6048.22,clostridium
241,cellulosi,rpsq,10010.8,clostridium
242,cellulosi,flie,10868.26,clostridium
243,cellulosi,csra,8683.16,clostridium
244,cellulosi,rpsp,9101.78,clostridium
245,cellulosi,gatc,10345.12,clostridium
246,cellulosi,sece,9675.59,clostridium
248,cellulosi,rpsj,11785.94,clostridium
249,cellulosi,rpme,7660.93,clostridium
250,cellulosi,hfq,9088.53,clostridium
251,cellulosi,infa,8167.54,clostridium
253,cellulosi,gros,10382.95,clostridium
254,cellulosi,rplx,11729.19,clostridium
255,cellulosi,rpmf,6842.14,clostridium
257,cellulosi,cas2,11017.81,clostridium
259,cellulosi,xseb,8609.95,clostridium
260,cellulosi,rpmb,7122.44,clostridium
261,cellulosi,rpmd,6650.72,clostridium
262,cellulosi,acpp,9467.78,clostridium
264,cellulosi,gatc,10639.95,clostridium
265,cellulosi,rplw,10988.97,clostridium
267,cellulosi,rpsf,11234.67,clostridium
268,cellulosi,rpsu,6790.99,clostridium
269,cellulosi,acpp,8789.98,clostridium
270,cellulosi,gros,10002.78,clostridium
273,celerecrescens,rpst,9291.0,clostridium
274,celerecrescens,rpsf,11082.75,clostridium
276,celerecrescens,rpmh,4983.03,clostridium
277,celerecrescens,rplu,10969.76,clostridium
281,papyrosolvens,gros,10472.24,clostridium
283,papyrosolvens,rpme,7635.87,clostridium
284,papyrosolvens,rpsf,10927.59,clostridium
286,papyrosolvens,rpmf,6902.15,clostridium
287,papyrosolvens,rplu,11285.14,clostridium
289,papyrosolvens,tlp,8959.06,clostridium
290,papyrosolvens,rpmd,6398.66,clostridium
292,papyrosolvens,acpp,8920.04,clostridium
293,celerecrescens,flie,11339.92,clostridium
294,scindens,spov,10226.78,clostridium
296,celerecrescens,spov,10706.44,clostridium
297,scindens,gros,10111.69,clostridium
298,scindens,rpmd,6391.64,clostridium
299,scindens,rpsj,11943.08,clostridium
301,celerecrescens,rpmc,7817.1,clostridium
302,scindens,rpmh,5058.1,clostridium
304,celerecrescens,gros,10296.02,clostridium
305,scindens,rpmc,7732.85,clostridium
307,scindens,rpsz,7282.75,clostridium
308,scindens,cbin,11824.86,clostridium
309,celerecrescens,infa,8223.65,clostridium
310,scindens,rpst,11738.88,clostridium
311,scindens,acpp,8346.36,clostridium
312,scindens,rpma,10417.08,clostridium
313,scindens,rpmi,7552.22,clostridium
314,celerecrescens,rpso,10013.73,clostridium
315,celerecrescens,gatc,11060.41,clostridium
316,celerecrescens,rpsp,9085.63,clostridium
317,celerecrescens,rpsj,11888.0,clostridium
318,scindens,rplx,10928.76,clostridium
319,scindens,rpmg,6392.53,clostridium
320,celerecrescens,xseb,8173.3,clostridium
321,celerecrescens,rpmi,7430.04,clostridium
322,scindens,rpsr,10145.92,clostridium
324,scindens,rpsq,9957.89,clostridium
325,scindens,gatc,10867.31,clostridium
326,scindens,rpmj,4896.95,clostridium
327,scindens,infa,8161.6,clostridium
328,celerecrescens,rpsq,9891.57,clostridium
329,celerecrescens,rplw,11040.0,clostridium
331,scindens,cas2,11737.61,clostridium
332,scindens,rpso,10287.03,clostridium
333,scindens,sece,7111.56,clostridium
334,celerecrescens,rpsu,6961.07,clostridium
335,celerecrescens,rpme,7729.77,clostridium
336,celerecrescens,acpp,8641.81,clostridium
337,scindens,rpme,7465.47,clostridium
338,scindens,rpsp,8990.44,clostridium
339,scindens,rplw,11396.36,clostridium
340,celerecrescens,rpmf,6755.15,clostridium
341,scindens,rplu,11132.79,clostridium
342,scindens,rpmf,6754.12,clostridium
343,celerecrescens,acpp,8486.5,clostridium
344,celerecrescens,rpmg,6011.13,clostridium
345,celerecrescens,rpss,10453.2,clostridium
346,celerecrescens,rpmd,6581.96,clostridium
348,scindens,rpss,10338.01,clostridium
349,celerecrescens,rpmb,6793.07,clostridium
350,scindens,rpoz,7554.78,clostridium
351,scindens,rpsf,11248.93,clostridium
352,celerecrescens,mine,10842.94,clostridium
353,celerecrescens,rpma,10666.26,clostridium
355,celerecrescens,rpsz,7210.64,clostridium
356,celerecrescens,sece,7314.69,clostridium
357,celerecrescens,citd,11054.72,clostridium
358,scindens,xseb,8750.05,clostridium
360,celerecrescens,rpoz,8979.09,clostridium
364,scindens,acpp,10863.18,clostridium
367,celerecrescens,rplx,10871.82,clostridium
368,celerecrescens,rpsr,10198.13,clostridium
369,scindens,hup,9903.52,clostridium
370,scindens,rpsu,6975.09,clostridium
374,hylemonae,flie,11414.91,clostridium
375,hylemonae,spov,10965.64,clostridium
376,hylemonae,acpp,8523.43,clostridium
378,hylemonae,rpsu,6975.09,clostridium
380,hylemonae,rpsr,10173.98,clostridium
381,hylemonae,rpoz,7785.93,clostridium
