,species,gn,mw,genus
0,aureus,acpp,8549.45,staphylococcus
3,epidermidis,acpp,8565.45,staphylococcus
6,saprophyticus,acpp,8563.48,staphylococcus
7,aureus,acyp,10160.36,staphylococcus
14,carnosus,acpp,8562.41,staphylococcus
24,haemolyticus,acpp,8565.45,staphylococcus
25,haemolyticus,acyp,10110.09,staphylococcus
31,aureus,arsr,11863.63,staphylococcus
32,aureus,atpe,6979.45,staphylococcus
34,epidermidis,atpe,6979.45,staphylococcus
37,xylosus,arsr,11865.61,staphylococcus
42,saprophyticus,atpe,6817.3,staphylococcus
46,haemolyticus,atpe,7079.61,staphylococcus
49,aureus,auca,5984.24,staphylococcus
52,carnosus,atpe,7146.68,staphylococcus
53,aureus,gros,10415.81,staphylococcus
58,epidermidis,gros,10181.6,staphylococcus
59,epidermidis,gros,10285.7,staphylococcus
62,carnosus,gros,10297.76,staphylococcus
64,aureus,hup,9626.02,staphylococcus
65,aureus,esab,9120.59,staphylococcus
67,aureus,esxa,11036.27,staphylococcus
69,aureus,gatc,11267.55,staphylococcus
71,epidermidis,gatc,11182.4,staphylococcus
74,saprophyticus,gatc,11297.57,staphylococcus
77,carnosus,gatc,11088.35,staphylococcus
78,haemolyticus,gatc,11321.51,staphylococcus
79,aureus,gatc,11309.63,staphylococcus
86,saprophyticus,isdg,11938.45,staphylococcus
87,epidermidis,gyra,10723.41,staphylococcus
92,saprophyticus,gros,10331.69,staphylococcus
97,haemolyticus,gros,10441.89,staphylococcus
98,aureus,copz,7236.96,staphylococcus
99,aureus,copz,7250.98,staphylococcus
102,epidermidis,copz,7660.61,staphylococcus
107,haemolyticus,copz,7615.52,staphylococcus
110,saprophyticus,copz,7377.2,staphylococcus
111,aureus,cspa,7321.13,staphylococcus
114,saprophyticus,cspa,7351.15,staphylococcus
122,epidermidis,cspa,7351.15,staphylococcus
125,haemolyticus,cspa,7337.13,staphylococcus
129,aureus,dltc,9063.23,staphylococcus
139,carnosus,dltc,8964.13,staphylococcus
140,saprophyticus,dltc,9036.24,staphylococcus
144,haemolyticus,dltc,8978.12,staphylococcus
149,epidermidis,dltc,9063.23,staphylococcus
150,xylosus,dltc,9155.32,staphylococcus
155,aureus,esxb,11510.12,staphylococcus
156,aureus,esxb,11492.08,staphylococcus
157,aureus,esxd,11414.82,staphylococcus
160,aureus,esxb,11521.19,staphylococcus
165,aureus,xseb,8759.71,staphylococcus
167,epidermidis,xseb,8746.74,staphylococcus
184,aureus,xseb,8787.77,staphylococcus
188,haemolyticus,xseb,8769.71,staphylococcus
190,haemolyticus,folb,9476.83,staphylococcus
197,aureus,hld,2978.55,staphylococcus
202,aureus,hld,3008.57,staphylococcus
203,aureus,infa,8279.67,staphylococcus
205,epidermidis,infa,8265.64,staphylococcus
208,aureus,icad,11783.03,staphylococcus
209,epidermidis,icad,11951.4,staphylococcus
215,aureus,icad,11769.04,staphylococcus
222,saprophyticus,infa,8279.67,staphylococcus
227,haemolyticus,infa,8265.64,staphylococcus
232,aureus,mnhf,10729.98,staphylococcus
234,epidermidis,mnhf,10943.15,staphylococcus
235,aureus,mnhf,10616.18,staphylococcus
236,epidermidis,argf,3629.2,staphylococcus
237,carnosus,adk,4254.2,staphylococcus
238,epidermidis,elka,5850.8,staphylococcus
239,gallinarum,gdma,5647.41,staphylococcus
240,simulans,nuka,6403.35,staphylococcus
241,epidermidis,epia,5632.4,staphylococcus
242,warneri,nuka,6403.35,staphylococcus
243,epidermidis,pepa,6684.75,staphylococcus
244,aureus,ermc,2209.64,staphylococcus
245,hominis,nuka,6463.47,staphylococcus
246,aureus,maze,6251.81,staphylococcus
249,epidermidis,maze,6289.95,staphylococcus
257,saprophyticus,maze,6332.03,staphylococcus
260,haemolyticus,maze,6380.11,staphylococcus
264,epidermidis,mnhf,10669.3,staphylococcus
265,haemolyticus,mnhf,10585.1,staphylococcus
268,aureus,mnhf,10756.01,staphylococcus
269,saprophyticus,mnhf,10845.94,staphylococcus
270,aureus,moad,8871.17,staphylococcus
284,saprophyticus,mnhf,10549.99,staphylococcus
295,haemolyticus,mnhf,10778.83,staphylococcus
296,aureus,psma,2259.83,staphylococcus
297,aureus,psma,2171.8,staphylococcus
300,aureus,ptsh,9495.75,staphylococcus
301,carnosus,ptsh,9510.72,staphylococcus
302,aureus,mtlf,6344.01,staphylococcus
303,aureus,psma,2277.89,staphylococcus
309,aureus,lacf,11370.03,staphylococcus
313,aureus,psma,2607.16,staphylococcus
344,epidermidis,lacf,11588.25,staphylococcus
350,saprophyticus,qoxd,10590.8,staphylococcus
351,epidermidis,qoxd,10688.91,staphylococcus
354,aureus,psma,2656.23,staphylococcus
358,xylosus,ptsh,9552.88,staphylococcus
361,aureus,qacc,11673.05,staphylococcus
362,saprophyticus,qach,11851.28,staphylococcus
375,aureus,qoxd,10686.91,staphylococcus
377,haemolyticus,qoxd,10684.83,staphylococcus
385,aureus,sece,6932.29,staphylococcus
386,aureus,secg,8399.28,staphylococcus
387,haemolyticus,secg,8403.23,staphylococcus
391,aureus,secg,8433.3,staphylococcus
392,aureus,spov,11277.73,staphylococcus
394,epidermidis,spov,11520.95,staphylococcus
395,epidermidis,secg,8419.32,staphylococcus
397,carnosus,spov,11977.36,staphylococcus
398,saprophyticus,spov,11463.9,staphylococcus
504,aureus,qoxd,10700.94,staphylococcus
507,aureus,rplw,10605.39,staphylococcus
509,saprophyticus,rplw,10511.23,staphylococcus
510,aureus,rpma,10314.77,staphylococcus
513,carnosus,rpma,10272.74,staphylococcus
514,aureus,rpmd,6553.68,staphylococcus
516,aureus,rpmf,6484.58,staphylococcus
518,aureus,rpmg,5375.3,staphylococcus
519,haemolyticus,rpmg,5856.72,staphylococcus
520,aureus,rpmg,5931.92,staphylococcus
521,epidermidis,rpmg,5390.31,staphylococcus
522,aureus,rplu,11333.07,staphylococcus
525,aureus,rplx,11536.47,staphylococcus
